學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
102學年,21至未滿22歲,1228,694,534,294,169,125,391,236,155,538,288,250,5,1,4
102學年,22歲以上,8916,4151,4765,2654,1228,1426,2790,1321,1469,3471,1602,1869,1,-,1
101學年,總計,74698,43644,31054,25939,15587,10352,24630,14221,10409,24058,13788,10270,71,48,23
101學年,未滿14歲,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
101學年,14至未滿15歲,42,29,13,42,29,13,-,-,-,-,-,-,-,-,-
101學年,15至未滿16歲,13167,7784,5383,13039,7721,5318,128,63,65,-,-,-,-,-,-
101學年,16至未滿17歲,17080,10175,6905,4374,2821,1553,12573,7272,5301,133,82,51,-,-,-
101學年,17至未滿18歲,18788,11030,7758,2344,1575,769,4073,2512,1561,12371,6943,5428,-,-,-
101學年,18至未滿19歲,7506,4838,2668,1294,854,440,2201,1437,764,4001,2540,1461,10,7,3
101學年,19至未滿20歲,3787,2353,1434,620,370,250,1177,720,457,1973,1251,722,17,12,5
101學年,20至未滿21歲,2369,1479,890,636,422,214,636,357,279,1076,687,389,21,13,8
101學年,21至未滿22歲,1641,978,663,456,288,168,523,317,206,650,363,287,12,10,2
101學年,22歲以上,10317,4977,5340,3133,1506,1627,3319,1543,1776,3854,1922,1932,11,6,5
100學年,總計,82763,48165,34598,29848,17890,11958,26100,15180,10920,26758,15054,11704,57,41,16
100學年,未滿14歲,2,-,2,1,-,1,-,-,-,1,-,1,-,-,-
100學年,14至未滿15歲,142,75,67,140,75,65,2,-,2,-,-,-,-,-,-
100學年,15至未滿16歲,15399,9129,6270,15123,9037,6086,276,92,184,-,-,-,-,-,-
100學年,16至未滿17歲,17636,10411,7225,4716,3028,1688,12757,7292,5465,163,91,72,-,-,-
100學年,17至未滿18歲,21865,12615,9250,2493,1691,802,4561,2901,1660,14811,8023,6788,-,-,-
100學年,18至未滿19歲,8225,5229,2996,1525,1005,520,2295,1478,817,4396,2741,1655,9,5,4
100學年,19至未滿20歲,4275,2687,1588,790,445,345,1236,809,427,2236,1423,813,13,10,3
100學年,20至未滿21歲,2629,1599,1030,775,485,290,700,397,303,1143,709,434,11,8,3
100學年,21至未滿22歲,1861,1082,779,598,359,239,623,370,253,628,345,283,12,8,4
100學年,22歲以上,10729,5338,5391,3687,1765,1922,3650,1841,1809,3380,1722,1658,12,10,2
