學年別,縣市別,二專總計計,二專總計男,二專總計女,二專國立計,二專國立男,二專國立女,二專私立計,二專私立男,二專私立女,二技總計計,二技總計男,二技總計女,二技國立計,二技國立男,二技國立女,二技私立計,二技私立男,二技私立女
100學年,桃園縣,326,189,137,-,-,-,326,189,137,555,178,377,-,-,-,555,178,377
100學年,新竹縣,247,83,164,-,-,-,247,83,164,171,71,100,-,-,-,171,71,100
100學年,苗栗縣,416,280,136,-,-,-,416,280,136,277,168,109,-,-,-,277,168,109
100學年,彰化縣,1143,629,514,-,-,-,1143,629,514,401,237,164,-,-,-,401,237,164
100學年,南投縣,353,193,160,-,-,-,353,193,160,249,152,97,-,-,-,249,152,97
100學年,雲林縣,1147,529,618,-,-,-,1147,529,618,835,418,417,429,279,150,406,139,267
100學年,嘉義縣,529,348,181,-,-,-,529,348,181,567,370,197,-,-,-,567,370,197
100學年,屏東縣,901,473,428,-,-,-,901,473,428,979,435,544,-,-,-,979,435,544
100學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,花蓮縣,-,-,-,-,-,-,-,-,-,131,3,128,-,-,-,131,3,128
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,1257,522,735,-,-,-,1257,522,735,889,251,638,-,-,-,889,251,638
100學年,新竹市,176,119,57,-,-,-,176,119,57,2,1,1,-,-,-,2,1,1
100學年,嘉義市,148,77,71,-,-,-,148,77,71,-,-,-,-,-,-,-,-,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,21352,11610,9742,4061,1662,2399,17291,9948,7343,17199,9044,8155,5228,3062,2166,11971,5982,5989
99學年,臺北市,3712,1979,1733,1259,439,820,2453,1540,913,3304,1935,1369,1445,1069,376,1859,866,993
99學年,高雄市,-,-,-,-,-,-,-,-,-,1246,714,532,1246,714,532,-,-,-
99學年,臺北縣,2796,1540,1256,-,-,-,2796,1540,1256,1787,861,926,-,-,-,1787,861,926
99學年,宜蘭縣,325,197,128,-,-,-,325,197,128,354,221,133,-,-,-,354,221,133
99學年,桃園縣,346,194,152,-,-,-,346,194,152,663,208,455,-,-,-,663,208,455
99學年,新竹縣,294,98,196,-,-,-,294,98,196,217,97,120,-,-,-,217,97,120
99學年,苗栗縣,349,244,105,-,-,-,349,244,105,269,139,130,-,-,-,269,139,130
99學年,臺中縣,1448,1100,348,674,494,180,774,606,168,891,707,184,608,484,124,283,223,60
99學年,彰化縣,1239,753,486,-,-,-,1239,753,486,624,378,246,-,-,-,624,378,246
99學年,南投縣,329,191,138,-,-,-,329,191,138,300,165,135,-,-,-,300,165,135
99學年,雲林縣,984,415,569,-,-,-,984,415,569,804,425,379,476,304,172,328,121,207
99學年,嘉義縣,548,366,182,-,-,-,548,366,182,591,362,229,-,-,-,591,362,229
99學年,臺南縣,1189,782,407,-,-,-,1189,782,407,618,398,220,-,-,-,618,398,220
99學年,高雄縣,2987,1714,1273,-,-,-,2987,1714,1273,1828,1114,714,-,-,-,1828,1114,714
99學年,屏東縣,896,485,411,-,-,-,896,485,411,886,379,507,-,-,-,886,379,507
99學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,花蓮縣,-,-,-,-,-,-,-,-,-,87,1,86,-,-,-,87,1,86
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,1208,497,711,-,-,-,1208,497,711,981,286,695,-,-,-,981,286,695
99學年,新竹市,164,104,60,-,-,-,164,104,60,44,23,21,-,-,-,44,23,21
99學年,臺中市,2382,877,1505,2128,729,1399,254,148,106,1705,631,1074,1453,491,962,252,140,112
99學年,嘉義市,156,74,82,-,-,-,156,74,82,-,-,-,-,-,-,-,-,-
99學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,23048,12436,10612,4401,1791,2610,18647,10645,8002,19337,10119,9218,5235,3055,2180,14102,7064,7038
98學年,臺北市,4072,2172,1900,1344,480,864,2728,1692,1036,4127,2354,1773,1395,1035,360,2732,1319,1413
98學年,高雄市,-,-,-,-,-,-,-,-,-,1280,735,545,1280,735,545,-,-,-
98學年,臺北縣,3036,1585,1451,-,-,-,3036,1585,1451,2186,1104,1082,-,-,-,2186,1104,1082
98學年,宜蘭縣,324,195,129,-,-,-,324,195,129,432,231,201,-,-,-,432,231,201
98學年,桃園縣,341,188,153,-,-,-,341,188,153,885,375,510,-,-,-,885,375,510
98學年,新竹縣,384,133,251,-,-,-,384,133,251,313,146,167,-,-,-,313,146,167
98學年,苗栗縣,394,259,135,-,-,-,394,259,135,301,142,159,-,-,-,301,142,159
98學年,臺中縣,1524,1149,375,758,549,209,766,600,166,911,713,198,615,489,126,296,224,72
98學年,彰化縣,1525,903,622,-,-,-,1525,903,622,692,437,255,-,-,-,692,437,255
98學年,南投縣,238,133,105,-,-,-,238,133,105,346,193,153,-,-,-,346,193,153
98學年,雲林縣,932,392,540,-,-,-,932,392,540,782,422,360,488,293,195,294,129,165
98學年,嘉義縣,602,390,212,-,-,-,602,390,212,629,374,255,-,-,-,629,374,255
98學年,臺南縣,1408,899,509,-,-,-,1408,899,509,800,512,288,-,-,-,800,512,288
98學年,高雄縣,3006,1742,1264,-,-,-,3006,1742,1264,1774,992,782,-,-,-,1774,992,782
98學年,屏東縣,935,510,425,-,-,-,935,510,425,851,369,482,-,-,-,851,369,482
98學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,38,14,24,-,-,-,38,14,24,50,1,49,-,-,-,50,1,49
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,1203,572,631,-,-,-,1203,572,631,1135,308,827,-,-,-,1135,308,827
98學年,新竹市,241,137,104,-,-,-,241,137,104,76,40,36,-,-,-,76,40,36
98學年,臺中市,2661,972,1689,2299,762,1537,362,210,152,1767,671,1096,1457,503,954,310,168,142
