學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
104學年,臺東縣,211,129,82,7,2,5,-,-,-,204,127,77,-,-,-,97,52,45,-,-,-,-,-,-,97,52,45,-,-,-
104學年,花蓮縣,294,143,151,8,3,5,-,-,-,281,138,143,5,2,3,107,64,43,-,-,-,-,-,-,107,64,43,-,-,-
104學年,澎湖縣,91,64,27,-,-,-,-,-,-,91,64,27,-,-,-,53,31,22,-,-,-,-,-,-,53,31,22,-,-,-
104學年,基隆市,147,86,61,-,-,-,-,-,-,144,85,59,3,1,2,62,28,34,-,-,-,-,-,-,62,28,34,-,-,-
104學年,新竹市,166,48,118,7,1,6,-,-,-,155,45,110,4,2,2,73,28,45,-,-,-,-,-,-,72,28,44,1,-,1
104學年,嘉義市,94,46,48,5,-,5,-,-,-,89,46,43,-,-,-,47,26,21,-,-,-,-,-,-,47,26,21,-,-,-
104學年,金門縣,45,23,22,-,-,-,-,-,-,45,23,22,-,-,-,26,20,6,-,-,-,-,-,-,26,20,6,-,-,-
104學年,連江縣,23,11,12,-,-,-,-,-,-,23,11,12,-,-,-,12,9,3,-,-,-,-,-,-,12,9,3,-,-,-
103學年,總計,10102,5400,4702,57,16,41,4849,2469,2380,5085,2876,2209,111,39,72,3951,1995,1956,-,-,-,1863,922,941,2021,1039,982,67,34,33
103學年,新北市,981,481,500,-,-,-,966,479,487,-,-,-,15,2,13,354,159,195,-,-,-,351,158,193,-,-,-,3,1,2
103學年,臺北市,847,382,465,13,3,10,795,365,430,-,-,-,39,14,25,355,158,197,-,-,-,345,152,193,-,-,-,10,6,4
103學年,臺中市,1170,585,585,7,3,4,1144,577,567,-,-,-,19,5,14,422,228,194,-,-,-,419,227,192,-,-,-,3,1,2
103學年,臺南市,762,434,328,7,3,4,751,429,322,-,-,-,4,2,2,316,166,150,-,-,-,309,162,147,-,-,-,7,4,3
103學年,高雄市,1193,619,574,-,-,-,1193,619,574,-,-,-,-,-,-,444,225,219,-,-,-,439,223,216,-,-,-,5,2,3
103學年,宜蘭縣,250,156,94,-,-,-,-,-,-,250,156,94,-,-,-,126,78,48,-,-,-,-,-,-,126,78,48,-,-,-
