學年別,領域別,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
101學年,社會科學、商業及法律,32,9,-,23,36,3,-,33,5,3,-,2,118,33,-,85,943,224,2,717,860,430,3,427,151,111,-,40
101學年,科學,26,3,-,23,19,2,-,17,-,-,-,-,54,4,-,50,439,140,3,296,376,212,5,159,142,119,-,23
101學年,工程、製造及營造,32,2,-,30,35,6,-,29,4,4,-,-,83,33,-,50,797,272,1,524,771,423,2,346,236,171,-,65
101學年,農學,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,100,69,-,31,89,78,-,11,34,33,-,1
101學年,醫藥衛生及社福,51,2,-,49,35,2,-,33,2,-,-,2,95,5,-,90,266,31,-,235,240,84,1,155,98,50,-,48
101學年,服務,54,4,-,50,67,7,-,60,3,1,-,2,80,15,-,65,500,77,6,417,178,83,9,86,12,10,2,-
101學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,-,3,3,1,-,2,1,-,-,1
100學年,總計,273,29,-,244,219,25,-,194,25,11,-,14,514,112,-,402,3826,1082,24,2720,3264,1820,48,1396,809,605,5,199
100學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,99,75,6,18,285,234,17,34,58,55,2,1
100學年,人文及藝術,54,7,-,47,10,1,-,9,3,2,-,1,73,20,-,53,690,204,6,480,480,280,10,190,88,65,1,22
100學年,社會科學、商業及法律,41,9,-,32,34,3,-,31,9,3,-,6,121,32,-,89,964,220,2,742,850,425,3,422,152,112,-,40
100學年,科學,27,3,-,24,23,2,-,21,2,1,-,1,52,4,-,48,431,140,3,288,380,217,5,158,144,119,-,25
100學年,工程、製造及營造,43,2,-,41,39,7,-,32,4,4,-,-,97,37,-,60,814,268,1,545,773,423,2,348,227,163,-,64
100學年,農學,3,2,-,1,3,3,-,-,-,-,-,-,1,1,-,-,100,67,-,33,91,79,-,12,33,32,-,1
100學年,醫藥衛生及社福,51,2,-,49,37,2,-,35,3,-,-,3,96,4,-,92,260,31,-,229,235,85,2,148,95,50,-,45
100學年,服務,54,4,-,50,73,7,-,66,4,1,-,3,73,14,-,59,462,72,6,384,167,76,9,82,11,9,2,-
100學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,1,3,1,-,2,1,-,-,1
99學年,總計,275,31,-,244,253,34,-,219,25,9,-,16,643,133,-,510,3809,1084,22,2703,3302,1870,48,1384,801,607,4,190
99學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,76,7,17,313,254,24,35,62,59,3,-
99學年,人文及藝術,53,8,-,45,12,1,-,11,4,2,-,2,81,20,-,61,661,202,6,453,476,285,9,182,85,62,1,22
99學年,社會科學、商業及法律,45,10,-,35,42,5,-,37,8,1,-,7,159,37,-,122,977,219,2,756,856,437,3,416,149,111,-,38
99學年,科學,27,3,-,24,24,2,-,22,2,1,-,1,62,5,-,57,430,142,-,288,382,224,-,158,145,122,-,23
99學年,工程、製造及營造,47,2,-,45,55,10,-,45,5,4,-,1,139,48,-,91,842,267,1,574,775,427,1,347,226,165,-,61
99學年,農學,3,2,-,1,5,3,-,2,-,-,-,-,2,2,-,-,103,68,-,35,86,74,-,12,31,30,-,1
99學年,醫藥衛生及社福,52,2,-,50,42,3,-,39,2,-,-,2,110,4,-,106,263,31,-,232,240,89,2,149,93,50,-,43
99學年,服務,48,4,-,44,73,10,-,63,4,1,-,3,90,17,-,73,426,73,6,347,171,79,9,83,9,8,-,1
99學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,-,1,3,1,-,2,1,-,-,1
98學年,總計,264,25,-,239,307,43,-,264,-,-,-,-,750,145,-,605,3730,1080,22,2628,3303,1860,48,1395,794,598,4,192
98學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,107,82,7,18,318,258,25,35,61,57,3,1
98學年,人文及藝術,47,7,-,40,19,4,-,15,-,-,-,-,89,19,-,70,626,198,6,422,488,286,9,193,84,61,1,22
98學年,社會科學、商業及法律,45,10,-,35,52,9,-,43,-,-,-,-,183,37,-,146,980,219,2,759,844,423,2,419,152,110,-,42
98學年,科學,25,2,-,23,40,4,-,36,-,-,-,-,70,6,-,64,422,141,-,281,379,227,-,152,141,119,-,22
98學年,工程、製造及營造,50,1,-,49,62,8,-,54,-,-,-,-,180,56,-,124,845,269,1,575,779,423,1,355,226,163,-,63
98學年,農學,1,-,-,1,5,3,-,2,-,-,-,-,7,4,-,3,99,69,-,30,84,74,-,10,31,30,-,1
98學年,醫藥衛生及社福,52,2,-,50,46,4,-,42,-,-,-,-,127,5,-,122,261,31,-,230,236,90,2,144,89,49,-,40
98學年,服務,44,3,-,41,83,11,-,72,-,-,-,-,94,18,-,76,383,66,6,311,172,78,9,85,9,9,-,-
98學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,3,1,-,2,1,-,-,1
97學年,總計,257,24,-,233,389,44,-,345,-,-,-,-,982,178,-,804,3697,1078,22,2597,3232,1831,47,1354,769,580,4,185
97學年,教育,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,110,84,8,18,331,268,26,37,58,55,3,-
97學年,人文及藝術,45,7,-,38,27,4,-,23,-,-,-,-,112,22,-,90,612,192,5,415,462,274,8,180,84,61,1,22
97學年,社會科學、商業及法律,47,10,-,37,73,10,-,63,-,-,-,-,259,45,-,214,987,224,2,761,834,419,2,413,147,109,-,38
97學年,科學,25,2,-,23,41,3,-,38,-,-,-,-,99,9,-,90,408,139,-,269,360,219,-,141,134,113,-,21
97學年,工程、製造及營造,51,1,-,50,97,11,-,86,-,-,-,-,259,72,-,187,865,270,1,594,758,409,1,348,221,157,-,64
97學年,農學,1,-,-,1,8,3,-,5,-,-,-,-,12,5,-,7,94,67,-,27,86,75,-,11,31,30,-,1
97學年,醫藥衛生及社福,48,2,-,46,52,3,-,49,-,-,-,-,138,5,-,133,256,31,-,225,233,90,1,142,83,46,-,37
97學年,服務,40,2,-,38,91,10,-,81,-,-,-,-,101,18,-,83,357,65,6,286,165,76,9,80,10,9,-,1
97學年,其他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,2,3,1,-,2,1,-,-,1
""
