學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
97學年,高雄市,176,32,144,19,1,18,157,31,126,-,-,-,-,-,-
97學年,臺北縣,541,86,455,-,-,-,-,-,-,541,86,455,-,-,-
97學年,宜蘭縣,63,17,46,-,-,-,-,-,-,63,17,46,-,-,-
97學年,桃園縣,219,92,127,-,-,-,-,-,-,219,92,127,-,-,-
97學年,新竹縣,19,3,16,-,-,-,-,-,-,19,3,16,-,-,-
97學年,苗栗縣,6,2,4,-,-,-,-,-,-,6,2,4,-,-,-
97學年,臺中縣,140,35,105,-,-,-,-,-,-,140,35,105,-,-,-
97學年,彰化縣,153,50,103,-,-,-,-,-,-,153,50,103,-,-,-
97學年,南投縣,31,6,25,-,-,-,-,-,-,31,6,25,-,-,-
97學年,雲林縣,61,13,48,-,-,-,-,-,-,61,13,48,-,-,-
97學年,嘉義縣,43,8,35,-,-,-,-,-,-,43,8,35,-,-,-
97學年,臺南縣,71,22,49,-,-,-,-,-,-,71,22,49,-,-,-
97學年,高雄縣,113,24,89,-,-,-,-,-,-,113,24,89,-,-,-
97學年,屏東縣,145,41,104,-,-,-,-,-,-,145,41,104,-,-,-
97學年,臺東縣,13,6,7,-,-,-,-,-,-,13,6,7,-,-,-
97學年,花蓮縣,58,35,23,-,-,-,-,-,-,32,9,23,26,26,-
97學年,澎湖縣,11,2,9,-,-,-,-,-,-,11,2,9,-,-,-
97學年,基隆市,55,14,41,-,-,-,-,-,-,55,14,41,-,-,-
97學年,新竹市,20,5,15,-,-,-,-,-,-,20,5,15,-,-,-
97學年,臺中市,158,28,130,-,-,-,-,-,-,158,28,130,-,-,-
97學年,嘉義市,41,15,26,-,-,-,-,-,-,41,15,26,-,-,-
97學年,臺南市,47,10,37,-,-,-,-,-,-,47,10,37,-,-,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,總計,2676,624,2052,17,2,15,329,52,277,2261,501,1760,69,69,-
96學年,臺北市,175,31,144,-,-,-,175,31,144,-,-,-,-,-,-
96學年,高雄市,171,23,148,17,2,15,154,21,133,-,-,-,-,-,-
96學年,臺北縣,513,86,427,-,-,-,-,-,-,513,86,427,-,-,-
96學年,宜蘭縣,86,20,66,-,-,-,-,-,-,86,20,66,-,-,-
96學年,桃園縣,291,118,173,-,-,-,-,-,-,269,96,173,22,22,-
96學年,新竹縣,9,2,7,-,-,-,-,-,-,9,2,7,-,-,-
96學年,苗栗縣,15,1,14,-,-,-,-,-,-,15,1,14,-,-,-
96學年,臺中縣,154,33,121,-,-,-,-,-,-,154,33,121,-,-,-
96學年,彰化縣,167,42,125,-,-,-,-,-,-,167,42,125,-,-,-
96學年,南投縣,49,12,37,-,-,-,-,-,-,49,12,37,-,-,-
96學年,雲林縣,101,37,64,-,-,-,-,-,-,101,37,64,-,-,-
96學年,嘉義縣,16,3,13,-,-,-,-,-,-,16,3,13,-,-,-
96學年,臺南縣,122,47,75,-,-,-,-,-,-,100,25,75,22,22,-
96學年,高雄縣,207,38,169,-,-,-,-,-,-,207,38,169,-,-,-
96學年,屏東縣,125,22,103,-,-,-,-,-,-,125,22,103,-,-,-
96學年,臺東縣,15,2,13,-,-,-,-,-,-,15,2,13,-,-,-
96學年,花蓮縣,70,32,38,-,-,-,-,-,-,45,7,38,25,25,-
96學年,澎湖縣,21,1,20,-,-,-,-,-,-,21,1,20,-,-,-
96學年,基隆市,51,9,42,-,-,-,-,-,-,51,9,42,-,-,-
96學年,新竹市,23,2,21,-,-,-,-,-,-,23,2,21,-,-,-
96學年,臺中市,200,29,171,-,-,-,-,-,-,200,29,171,-,-,-
96學年,嘉義市,38,16,22,-,-,-,-,-,-,38,16,22,-,-,-
96學年,臺南市,57,18,39,-,-,-,-,-,-,57,18,39,-,-,-
96學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
