學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,1年級計,1年級國立,1年級直轄市立,1年級縣市立,1年級私立,2年級計,2年級國立,2年級直轄市立,2年級縣市立,2年級私立,3年級計,3年級國立,3年級直轄市立,3年級縣市立,3年級私立
101學年,新竹市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
101學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
101學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,549,-,318,222,9,179,-,106,70,3,182,-,106,73,3,188,-,106,79,3
100學年,新北市,89,-,89,-,-,29,-,29,-,-,30,-,30,-,-,30,-,30,-,-
100學年,臺北市,39,-,39,-,-,14,-,14,-,-,13,-,13,-,-,12,-,12,-,-
100學年,臺中市,93,-,93,-,-,31,-,31,-,-,30,-,30,-,-,32,-,32,-,-
100學年,臺南市,38,-,35,-,3,12,-,11,-,1,12,-,11,-,1,14,-,13,-,1
100學年,高雄市,62,-,62,-,-,21,-,21,-,-,22,-,22,-,-,19,-,19,-,-
100學年,宜蘭縣,16,-,-,16,-,5,-,-,5,-,5,-,-,5,-,6,-,-,6,-
100學年,桃園縣,49,-,-,46,3,16,-,-,15,1,16,-,-,15,1,17,-,-,16,1
100學年,新竹縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
100學年,苗栗縣,4,-,-,4,-,2,-,-,2,-,1,-,-,1,-,1,-,-,1,-
100學年,彰化縣,32,-,-,32,-,10,-,-,10,-,11,-,-,11,-,11,-,-,11,-
100學年,南投縣,13,-,-,13,-,4,-,-,4,-,4,-,-,4,-,5,-,-,5,-
100學年,雲林縣,17,-,-,17,-,5,-,-,5,-,5,-,-,5,-,7,-,-,7,-
100學年,嘉義縣,4,-,-,4,-,1,-,-,1,-,3,-,-,3,-,-,-,-,-,-
100學年,屏東縣,28,-,-,28,-,8,-,-,8,-,10,-,-,10,-,10,-,-,10,-
100學年,臺東縣,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
100學年,花蓮縣,13,-,-,10,3,4,-,-,3,1,4,-,-,3,1,5,-,-,4,1
100學年,澎湖縣,5,-,-,5,-,2,-,-,2,-,1,-,-,1,-,2,-,-,2,-
100學年,基隆市,26,-,-,26,-,8,-,-,8,-,8,-,-,8,-,10,-,-,10,-
100學年,新竹市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
100學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,569,-,70,490,9,185,-,24,158,3,190,-,23,164,3,194,-,23,168,3
99學年,臺北市,41,-,41,-,-,14,-,14,-,-,13,-,13,-,-,14,-,14,-,-
99學年,高雄市,29,-,29,-,-,10,-,10,-,-,10,-,10,-,-,9,-,9,-,-
99學年,臺北縣,92,-,-,92,-,30,-,-,30,-,30,-,-,30,-,32,-,-,32,-
99學年,宜蘭縣,18,-,-,18,-,6,-,-,6,-,6,-,-,6,-,6,-,-,6,-
99學年,桃園縣,52,-,-,49,3,17,-,-,16,1,18,-,-,17,1,17,-,-,16,1
99學年,新竹縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
99學年,苗栗縣,4,-,-,4,-,1,-,-,1,-,1,-,-,1,-,2,-,-,2,-
99學年,臺中縣,39,-,-,39,-,12,-,-,12,-,14,-,-,14,-,13,-,-,13,-
99學年,彰化縣,31,-,-,31,-,12,-,-,12,-,11,-,-,11,-,8,-,-,8,-
99學年,南投縣,13,-,-,13,-,4,-,-,4,-,5,-,-,5,-,4,-,-,4,-
99學年,雲林縣,17,-,-,17,-,5,-,-,5,-,7,-,-,7,-,5,-,-,5,-
99學年,嘉義縣,4,-,-,4,-,3,-,-,3,-,-,-,-,-,-,1,-,-,1,-
99學年,臺南縣,24,-,-,21,3,7,-,-,6,1,8,-,-,7,1,9,-,-,8,1
99學年,高雄縣,38,-,-,38,-,12,-,-,12,-,9,-,-,9,-,17,-,-,17,-
99學年,屏東縣,30,-,-,30,-,9,-,-,9,-,11,-,-,11,-,10,-,-,10,-
99學年,臺東縣,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
99學年,花蓮縣,14,-,-,11,3,4,-,-,3,1,5,-,-,4,1,5,-,-,4,1
99學年,澎湖縣,5,-,-,5,-,1,-,-,1,-,2,-,-,2,-,2,-,-,2,-
99學年,基隆市,26,-,-,26,-,8,-,-,8,-,10,-,-,10,-,8,-,-,8,-
99學年,新竹市,4,-,-,4,-,1,-,-,1,-,1,-,-,1,-,2,-,-,2,-
99學年,臺中市,54,-,-,54,-,18,-,-,18,-,18,-,-,18,-,18,-,-,18,-
99學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
99學年,臺南市,16,-,-,16,-,5,-,-,5,-,5,-,-,5,-,6,-,-,6,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,588,1,71,507,9,192,-,24,165,3,194,-,23,168,3,202,1,24,174,3
98學年,臺北市,42,-,42,-,-,14,-,14,-,-,14,-,14,-,-,14,-,14,-,-
98學年,高雄市,30,1,29,-,-,10,-,10,-,-,9,-,9,-,-,11,1,10,-,-
98學年,臺北縣,91,-,-,91,-,30,-,-,30,-,32,-,-,32,-,29,-,-,29,-
98學年,宜蘭縣,20,-,-,20,-,7,-,-,7,-,7,-,-,7,-,6,-,-,6,-
98學年,桃園縣,51,-,-,48,3,17,-,-,16,1,16,-,-,15,1,18,-,-,17,1
98學年,新竹縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
98學年,苗栗縣,4,-,-,4,-,1,-,-,1,-,2,-,-,2,-,1,-,-,1,-
98學年,臺中縣,40,-,-,40,-,14,-,-,14,-,13,-,-,13,-,13,-,-,13,-
98學年,彰化縣,34,-,-,34,-,12,-,-,12,-,8,-,-,8,-,14,-,-,14,-
98學年,南投縣,16,-,-,16,-,5,-,-,5,-,4,-,-,4,-,7,-,-,7,-
98學年,雲林縣,18,-,-,18,-,7,-,-,7,-,5,-,-,5,-,6,-,-,6,-
98學年,嘉義縣,6,-,-,6,-,-,-,-,-,-,1,-,-,1,-,5,-,-,5,-
98學年,臺南縣,25,-,-,22,3,8,-,-,7,1,9,-,-,8,1,8,-,-,7,1
98學年,高雄縣,38,-,-,38,-,9,-,-,9,-,17,-,-,17,-,12,-,-,12,-
98學年,屏東縣,30,-,-,30,-,10,-,-,10,-,9,-,-,9,-,11,-,-,11,-
98學年,臺東縣,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
98學年,花蓮縣,13,-,-,10,3,5,-,-,4,1,5,-,-,4,1,3,-,-,2,1
98學年,澎湖縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
98學年,基隆市,29,-,-,29,-,10,-,-,10,-,9,-,-,9,-,10,-,-,10,-
98學年,新竹市,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
98學年,臺中市,54,-,-,54,-,18,-,-,18,-,18,-,-,18,-,18,-,-,18,-
98學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
98學年,臺南市,17,-,-,17,-,5,-,-,5,-,6,-,-,6,-,6,-,-,6,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,603,2,73,519,9,198,-,24,171,3,205,1,25,176,3,200,1,24,172,3
97學年,臺北市,44,-,44,-,-,15,-,15,-,-,15,-,15,-,-,14,-,14,-,-
97學年,高雄市,31,2,29,-,-,9,-,9,-,-,11,1,10,-,-,11,1,10,-,-
97學年,臺北縣,93,-,-,93,-,33,-,-,33,-,30,-,-,30,-,30,-,-,30,-
97學年,宜蘭縣,20,-,-,20,-,7,-,-,7,-,6,-,-,6,-,7,-,-,7,-
97學年,桃園縣,50,-,-,47,3,16,-,-,15,1,18,-,-,17,1,16,-,-,15,1
97學年,新竹縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
97學年,苗栗縣,4,-,-,4,-,2,-,-,2,-,1,-,-,1,-,1,-,-,1,-
97學年,臺中縣,39,-,-,39,-,13,-,-,13,-,13,-,-,13,-,13,-,-,13,-
97學年,彰化縣,35,-,-,35,-,9,-,-,9,-,14,-,-,14,-,12,-,-,12,-
97學年,南投縣,15,-,-,15,-,4,-,-,4,-,7,-,-,7,-,4,-,-,4,-
97學年,雲林縣,18,-,-,18,-,5,-,-,5,-,6,-,-,6,-,7,-,-,7,-
97學年,嘉義縣,8,-,-,8,-,1,-,-,1,-,5,-,-,5,-,2,-,-,2,-
97學年,臺南縣,27,-,-,24,3,10,-,-,9,1,8,-,-,7,1,9,-,-,8,1
97學年,高雄縣,40,-,-,40,-,17,-,-,17,-,12,-,-,12,-,11,-,-,11,-
97學年,屏東縣,33,-,-,33,-,9,-,-,9,-,11,-,-,11,-,13,-,-,13,-
97學年,臺東縣,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
97學年,花蓮縣,13,-,-,10,3,5,-,-,4,1,3,-,-,2,1,5,-,-,4,1
97學年,澎湖縣,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
97學年,基隆市,31,-,-,31,-,9,-,-,9,-,11,-,-,11,-,11,-,-,11,-
97學年,新竹市,6,-,-,6,-,2,-,-,2,-,2,-,-,2,-,2,-,-,2,-
97學年,臺中市,54,-,-,54,-,18,-,-,18,-,18,-,-,18,-,18,-,-,18,-
97學年,嘉義市,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
97學年,臺南市,18,-,-,18,-,6,-,-,6,-,6,-,-,6,-,6,-,-,6,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
