學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女,助教計小計,助教計男,助教計女,助教國立小計,助教國立男,助教國立女,助教直轄市立小計,助教直轄市立男,助教直轄市立女,助教私立小計,助教私立男,助教私立女
100學年,獨立學院,5196,3155,2041,742,367,375,117,76,41,4337,2712,1625,289,239,50,83,58,25,25,19,6,181,162,19,1384,950,434,270,144,126,36,17,19,1078,789,289,1306,849,457,149,83,66,35,24,11,1122,742,380,1901,922,979,190,59,131,12,8,4,1699,855,844,299,192,107,38,22,16,9,8,1,252,162,90,17,3,14,12,1,11,-,-,-,5,2,3
100學年,大學,43445,29393,14052,18337,13063,5274,220,105,115,24888,16225,8663,10270,8387,1883,6605,5359,1246,58,27,31,3607,3001,606,13188,9246,3942,5654,3947,1707,77,41,36,7457,5258,2199,12499,8027,4472,4316,2884,1432,58,25,33,8125,5118,3007,5456,2768,2688,999,532,467,14,6,8,4443,2230,2213,1646,870,776,454,261,193,12,6,6,1180,603,577,386,95,291,309,80,229,1,-,1,76,15,61
99學年,總計,50684,33455,17229,19040,13363,5677,335,184,151,31309,19908,11401,10275,8431,1844,6382,5176,1206,84,47,37,3809,3208,601,14402,10182,4220,5825,4070,1755,118,64,54,8459,6048,2411,14000,9081,4919,4523,3000,1523,84,45,39,9393,6036,3357,9374,4568,4806,1402,723,679,27,14,13,7945,3831,4114,2162,1070,1092,562,303,259,21,14,7,1579,753,826,471,123,348,346,91,255,1,-,1,124,32,92
99學年,專科學校,1598,494,1104,189,57,132,-,-,-,1409,437,972,20,15,5,8,5,3,-,-,-,12,10,2,82,53,29,30,17,13,-,-,-,52,36,16,258,143,115,45,19,26,-,-,-,213,124,89,960,230,730,51,14,37,-,-,-,909,216,693,278,53,225,55,2,53,-,-,-,223,51,172,-,-,-,-,-,-,-,-,-,-,-,-
99學年,獨立學院,6318,3753,2565,818,412,406,119,77,42,5381,3264,2117,333,278,55,82,59,23,26,19,7,225,200,25,1554,1085,469,286,152,134,38,20,18,1230,913,317,1489,975,514,164,95,69,31,21,10,1294,859,435,2486,1205,1281,226,77,149,14,9,5,2246,1119,1127,400,199,201,48,28,20,10,8,2,342,163,179,56,11,45,12,1,11,-,-,-,44,10,34
99學年,大學,42768,29208,13560,18033,12894,5139,216,107,109,24519,16207,8312,9922,8138,1784,6292,5112,1180,58,28,30,3572,2998,574,12766,9044,3722,5509,3901,1608,80,44,36,7177,5099,2078,12253,7963,4290,4314,2886,1428,53,24,29,7886,5053,2833,5928,3133,2795,1125,632,493,13,5,8,4790,2496,2294,1484,818,666,459,273,186,11,6,5,1014,539,475,415,112,303,334,90,244,1,-,1,80,22,58
98學年,總計,50658,33632,17026,18716,13171,5545,331,181,150,31611,20280,11331,9958,8219,1739,6148,5020,1128,80,47,33,3730,3152,578,14199,10166,4033,5770,4067,1703,113,61,52,8316,6038,2278,13572,8945,4627,4407,2924,1483,87,44,43,9078,5977,3101,10367,5095,5272,1504,753,751,31,16,15,8832,4326,4506,2029,1065,964,532,312,220,19,13,6,1478,740,738,533,142,391,355,95,260,1,-,1,177,47,130
98學年,專科學校,1467,478,989,147,49,98,-,-,-,1320,429,891,23,16,7,7,4,3,-,-,-,16,12,4,78,49,29,27,15,12,-,-,-,51,34,17,229,131,98,39,18,21,-,-,-,190,113,77,951,234,717,50,10,40,-,-,-,901,224,677,186,48,138,24,2,22,-,-,-,162,46,116,-,-,-,-,-,-,-,-,-,-,-,-
98學年,獨立學院,7769,4655,3114,1182,596,586,113,75,38,6474,3984,2490,418,338,80,125,83,42,26,20,6,267,235,32,1741,1250,491,389,219,170,32,20,12,1320,1011,309,1809,1226,583,246,144,102,33,19,14,1530,1063,467,3294,1605,1689,350,115,235,15,10,5,2929,1480,1449,446,223,223,57,33,24,7,6,1,382,184,198,61,13,48,15,2,13,-,-,-,46,11,35
98學年,大學,41422,28499,12923,17387,12526,4861,218,106,112,23817,15867,7950,9517,7865,1652,6016,4933,1083,54,27,27,3447,2905,542,12380,8867,3513,5354,3833,1521,81,41,40,6945,4993,1952,11534,7588,3946,4122,2762,1360,54,25,29,7358,4801,2557,6122,3256,2866,1104,628,476,16,6,10,5002,2622,2380,1397,794,603,451,277,174,12,7,5,934,510,424,472,129,343,340,93,247,1,-,1,131,36,95
97學年,總計,51501,33816,17685,19191,13240,5951,376,192,184,31934,20384,11550,9657,8010,1647,6021,4945,1076,76,43,33,3560,3022,538,13782,9936,3846,5647,4012,1635,111,59,52,8024,5865,2159,12875,8616,4259,4215,2802,1413,80,38,42,8580,5776,2804,11390,5689,5701,1657,853,804,39,23,16,9694,4813,4881,1906,1094,812,555,335,220,20,12,8,1331,747,584,1891,471,1420,1096,293,803,50,17,33,745,161,584
97學年,專科學校,1423,468,955,148,51,97,-,-,-,1275,417,858,24,15,9,5,3,2,-,-,-,19,12,7,76,50,26,22,13,9,-,-,-,54,37,17,199,118,81,38,19,19,-,-,-,161,99,62,924,237,687,49,10,39,-,-,-,875,227,648,141,48,93,30,6,24,-,-,-,111,42,69,59,-,59,4,-,4,-,-,-,55,-,55
97學年,獨立學院,8736,5281,3455,1103,533,570,141,83,58,7492,4665,2827,427,354,73,105,68,37,25,17,8,297,269,28,1853,1349,504,347,199,148,33,21,12,1473,1129,344,1882,1312,570,208,114,94,29,14,15,1645,1184,461,3996,1991,2005,351,116,235,20,15,5,3625,1860,1765,457,247,210,49,27,22,9,8,1,399,212,187,121,28,93,43,9,34,25,8,17,53,11,42
97學年,大學,41342,28067,13275,17940,12656,5284,235,109,126,23167,15302,7865,9206,7641,1565,5911,4874,1037,51,26,25,3244,2741,503,11853,8537,3316,5278,3800,1478,78,38,40,6497,4699,1798,10794,7186,3608,3969,2669,1300,51,24,27,6774,4493,2281,6470,3461,3009,1257,727,530,19,8,11,5194,2726,2468,1308,799,509,476,302,174,11,4,7,821,493,328,1711,443,1268,1049,284,765,25,9,16,637,150,487
""
