學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
98學年,社會及行為科學學門,49012,21682,27330,-,-,-,-,-,-,-,-,-,54,12,42,33228,13977,19251,13942,6574,7368,1788,1119,669
98學年,傳播學門,21320,7919,13401,-,-,-,-,-,-,-,-,-,281,104,177,18161,6692,11469,2781,1081,1700,97,42,55
98學年,商業及管理學門,109390,48354,61036,-,-,-,-,-,-,-,-,-,1484,453,1031,83955,35134,48821,21569,11352,10217,2382,1415,967
98學年,法律學門,18650,9428,9222,-,-,-,-,-,-,-,-,-,258,163,95,13237,6232,7005,4916,2851,2065,239,182,57
98學年,生命科學學門,18199,10421,7778,-,-,-,-,-,-,-,-,-,1,-,1,11720,6688,5032,4303,2327,1976,2175,1406,769
98學年,自然科學學門,22696,17008,5688,-,-,-,-,-,-,-,-,-,-,-,-,15449,11717,3732,5096,3586,1510,2151,1705,446
98學年,數學及統計學門,15899,10645,5254,-,-,-,-,-,-,-,-,-,-,-,-,13307,8904,4403,2209,1440,769,383,301,82
98學年,電算機學門,23069,15201,7868,-,-,-,-,-,-,-,-,-,125,87,38,18466,11874,6592,4011,2898,1113,467,342,125
98學年,工程學門,134667,114239,20428,-,-,-,-,-,-,-,-,-,171,121,50,89091,75013,14078,33964,28907,5057,11441,10198,1243
98學年,建築及都市規劃學門,9631,5061,4570,-,-,-,-,-,-,-,-,-,12,7,5,7221,3634,3587,2168,1262,906,230,158,72
98學年,農業科學學門,15576,7843,7733,-,-,-,-,-,-,-,-,-,1,1,-,11937,5932,6005,2833,1394,1439,805,516,289
98學年,獸醫學門,1408,722,686,-,-,-,-,-,-,-,-,-,-,-,-,967,490,477,291,130,161,150,102,48
98學年,醫藥衛生學門,45348,19783,25565,-,-,-,-,-,-,-,-,-,2200,159,2041,34042,15700,18342,6014,2186,3828,3092,1738,1354
98學年,社會服務學門,9306,2253,7053,-,-,-,-,-,-,-,-,-,346,37,309,7344,1880,5464,1521,307,1214,95,29,66
98學年,民生學門,30087,13191,16896,-,-,-,-,-,-,-,-,-,288,114,174,26757,11560,15197,2995,1486,1509,47,31,16
98學年,運輸服務學門,6148,3393,2755,-,-,-,-,-,-,-,-,-,-,-,-,5094,2718,2376,922,579,343,132,96,36
