學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,五專計小計,五專計男,五專計女,五專國立小計,五專國立男,五專國立女,五專直轄市立小計,五專直轄市立男,五專直轄市立女,五專私立小計,五專私立男,五專私立女,二專計小計,二專計男,二專計女,二專國立小計,二專國立男,二專國立女,二專直轄市立小計,二專直轄市立男,二專直轄市立女,二專私立小計,二專私立男,二專私立女,學士班計小計,學士班計男,學士班計女,學士班國立小計,學士班國立男,學士班國立女,學士班直轄市立小計,學士班直轄市立男,學士班直轄市立女,學士班私立小計,學士班私立男,學士班私立女,碩士班計小計,碩士班計男,碩士班計女,碩士班國立小計,碩士班國立男,碩士班國立女,碩士班直轄市立小計,碩士班直轄市立男,碩士班直轄市立女,碩士班私立小計,碩士班私立男,碩士班私立女,博士班計小計,博士班計男,博士班計女,博士班國立小計,博士班國立男,博士班國立女,博士班直轄市立小計,博士班直轄市立男,博士班直轄市立女,博士班私立小計,博士班私立男,博士班私立女
101學年,大學,1190368,618704,571664,415804,232359,183445,4800,1598,3202,769764,384747,385017,23731,6482,17249,4686,1294,3392,-,-,-,19045,5188,13857,3734,2005,1729,683,179,504,-,-,-,3051,1826,1225,948678,483972,464706,267351,145061,122290,2888,1012,1876,678439,337899,340540,181517,103342,78175,116688,67048,49640,1707,500,1207,63122,35794,27328,32708,22903,9805,26396,18777,7619,205,86,119,6107,4040,2067
100學年,總計,1352084,683367,668717,429808,235668,194140,7053,2945,4108,915223,444754,470469,88070,21650,66420,8606,1922,6684,-,-,-,79464,19728,59736,13230,6377,6853,2093,840,1253,-,-,-,11137,5537,5600,1032985,527456,505529,274382,146765,127617,4668,2090,2578,753935,378601,375334,184113,104188,79925,117318,66589,50729,2169,751,1418,64626,36848,27778,33686,23696,9990,27409,19552,7857,216,104,112,6061,4040,2021
100學年,專科學校,50278,8924,41354,4294,726,3568,-,-,-,45984,8198,37786,45027,7207,37820,2957,262,2695,-,-,-,42070,6945,35125,5251,1717,3534,1337,464,873,-,-,-,3914,1253,2661,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,獨立學院,147249,73044,74205,21928,6293,15635,2326,1368,958,122995,65383,57612,24175,10467,13708,4671,1096,3575,-,-,-,19504,9371,10133,4830,2706,2124,462,131,331,-,-,-,4368,2575,1793,115967,58583,57384,15830,4579,11251,1858,1107,751,98279,52897,45382,2256,1269,987,965,487,478,447,242,205,844,540,304,21,19,2,-,-,-,21,19,2,-,-,-
100學年,大學,1154557,601399,553158,403586,228649,174937,4727,1577,3150,746244,371173,375071,18868,3976,14892,978,564,414,-,-,-,17890,3412,14478,3149,1954,1195,294,245,49,-,-,-,2855,1709,1146,917018,468873,448145,258552,142186,116366,2810,983,1827,655656,325704,329952,181857,102919,78938,116353,66102,50251,1722,509,1213,63782,36308,27474,33665,23677,9988,27409,19552,7857,195,85,110,6061,4040,2021
99學年,總計,1343603,681054,662549,429037,235565,193472,7179,2962,4217,907387,442527,464860,86971,21975,64996,8267,1766,6501,-,-,-,78704,20209,58495,15818,7580,8238,2864,1160,1704,-,-,-,12954,6420,6534,1021636,522307,499329,272242,145925,126317,4648,2064,2584,744746,374318,370428,185000,104894,80106,117648,66514,51134,2333,801,1532,65019,37579,27440,34178,24298,9880,28016,20200,7816,198,97,101,5964,4001,1963
99學年,專科學校,46506,8410,38096,4102,650,3452,-,-,-,42404,7760,34644,40543,6495,34048,2704,153,2551,-,-,-,37839,6342,31497,5963,1915,4048,1398,497,901,-,-,-,4565,1418,3147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,獨立學院,170168,84366,85802,24679,8038,16641,2365,1370,995,143124,74958,68166,27497,10797,16700,4580,1045,3535,-,-,-,22917,9752,13165,5789,3240,2549,832,225,607,-,-,-,4957,3015,1942,134190,68788,65402,18037,6125,11912,1881,1120,761,114272,61543,52729,2672,1523,1149,1230,643,587,464,232,232,978,648,330,20,18,2,-,-,-,20,18,2,-,-,-
99學年,大學,1126929,588278,538651,400256,226877,173379,4814,1592,3222,721859,359809,362050,18931,4683,14248,983,568,415,-,-,-,17948,4115,13833,4066,2425,1641,634,438,196,-,-,-,3432,1987,1445,887446,453519,433927,254205,139800,114405,2767,944,1823,630474,312775,317699,182328,103371,78957,116418,65871,50547,1869,569,1300,64041,36931,27110,34158,24280,9878,28016,20200,7816,178,79,99,5964,4001,1963
98學年,總計,1336659,680038,656621,423407,232939,190468,6901,2869,4032,906351,444230,462121,85614,22302,63312,7986,1663,6323,-,-,-,77628,20639,56989,22941,11490,11451,3713,1432,2281,-,-,-,19228,10058,9170,1010952,517021,493931,267928,143644,124284,4494,2016,2478,738530,371361,367169,183401,105084,78317,115911,65989,49922,2230,767,1463,65260,38328,26932,33751,24141,9610,27869,20211,7658,177,86,91,5705,3844,1861
98學年,專科學校,42542,7872,34670,3706,511,3195,-,-,-,38836,7361,31475,35661,5718,29943,2409,73,2336,-,-,-,33252,5645,27607,6881,2154,4727,1297,438,859,-,-,-,5584,1716,3868,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,獨立學院,209750,102832,106918,35528,11059,24469,2290,1363,927,171932,90410,81522,30433,11432,19001,4863,1150,3713,-,-,-,25570,10282,15288,11380,6475,4905,1781,522,1259,-,-,-,9599,5953,3646,164051,83076,80975,26705,8578,18127,1845,1137,708,135501,73361,62140,3828,1835,1993,2136,809,1327,430,212,218,1262,814,448,58,14,44,43,-,43,15,14,1,-,-,-
98學年,大學,1084367,569334,515033,384173,221369,162804,4611,1506,3105,695583,346459,349124,19520,5152,14368,714,440,274,-,-,-,18806,4712,14094,4680,2861,1819,635,472,163,-,-,-,4045,2389,1656,846901,433945,412956,241223,135066,106157,2649,879,1770,603029,298000,305029,179573,103249,76324,113775,65180,48595,1800,555,1245,63998,37514,26484,33693,24127,9566,27826,20211,7615,162,72,90,5705,3844,1861
97學年,總計,1337455,683114,654341,416089,230349,185740,6647,2741,3906,914719,450024,464695,84787,23124,61663,7855,1568,6287,-,-,-,76932,21556,55376,32866,17451,15415,4299,1720,2579,-,-,-,28567,15731,12836,1006102,513338,492764,262399,140717,121682,4383,1943,2440,739320,370678,368642,180809,105470,75339,114237,66361,47876,2125,730,1395,64447,38379,26068,32891,23731,9160,27299,19983,7316,139,68,71,5453,3680,1773
97學年,專科學校,37954,7055,30899,3378,354,3024,-,-,-,34576,6701,27875,30302,4874,25428,2252,30,2222,-,-,-,28050,4844,23206,7652,2181,5471,1126,324,802,-,-,-,6526,1857,4669,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,獨立學院,237253,117335,119918,31465,8673,22792,2300,1373,927,203488,107289,96199,33781,12661,21120,4883,1082,3801,-,-,-,28898,11579,17319,17754,10491,7263,2129,542,1587,-,-,-,15625,9949,5676,182071,92310,89761,22780,6456,16324,1865,1150,715,157426,84704,72722,3602,1863,1739,1637,592,1045,426,214,212,1539,1057,482,45,10,35,36,1,35,9,9,-,-,-,-
97學年,大學,1062248,558724,503524,381246,221322,159924,4347,1368,2979,676655,336034,340621,20704,5589,15115,720,456,264,-,-,-,19984,5133,14851,7460,4779,2681,1044,854,190,-,-,-,6416,3925,2491,824031,421028,403003,239619,134261,105358,2518,793,1725,581894,285974,295920,177207,103607,73600,112600,65769,46831,1699,516,1183,62908,37322,25586,32846,23721,9125,27263,19982,7281,130,59,71,5453,3680,1773
""
