學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
104學年,獨立學院,2337,1404,933,142,80,62,-,-,-,2195,1324,871,51,45,6,3,2,1,-,-,-,48,43,5,89,77,12,7,5,2,-,-,-,82,72,10,349,247,102,12,6,6,-,-,-,337,241,96,1513,843,670,120,67,53,-,-,-,1393,776,617,335,192,143,-,-,-,-,-,-,335,192,143
104學年,大學,41674,26639,15035,15103,10026,5077,630,349,281,25941,16264,9677,3391,2938,453,2069,1780,289,55,38,17,1267,1120,147,3804,2921,883,1933,1465,468,84,52,32,1787,1404,383,9895,6545,3350,4093,2660,1433,158,74,84,5644,3811,1833,22392,12628,9764,6407,3662,2745,307,171,136,15678,8795,6883,2192,1607,585,601,459,142,26,14,12,1565,1134,431
103學年,總計,45559,28931,16628,15135,9998,5137,614,336,278,29810,18597,11213,3490,2987,503,2089,1747,342,54,39,15,1347,1201,146,3906,2976,930,1905,1432,473,89,54,35,1912,1490,422,9620,6523,3097,3747,2447,1300,142,66,76,5731,4010,1721,25854,14567,11287,6724,3877,2847,329,177,152,18801,10513,8288,2689,1878,811,670,495,175,-,-,-,2019,1383,636
103學年,專科學校,2217,1183,1034,185,94,91,-,-,-,2032,1089,943,10,10,-,1,1,-,-,-,-,9,9,-,36,29,7,3,3,-,-,-,-,33,26,7,250,173,77,27,15,12,-,-,-,223,158,65,1808,909,899,138,65,73,-,-,-,1670,844,826,113,62,51,16,10,6,-,-,-,97,52,45
103學年,獨立學院,2960,1813,1147,148,82,66,-,-,-,2812,1731,1081,48,42,6,2,-,2,-,-,-,46,42,4,109,86,23,-,-,-,-,-,-,109,86,23,406,296,110,11,7,4,-,-,-,395,289,106,1931,1082,849,71,40,31,-,-,-,1860,1042,818,466,307,159,64,35,29,-,-,-,402,272,130
103學年,大學,40382,25935,14447,14802,9822,4980,614,336,278,24966,15777,9189,3432,2935,497,2086,1746,340,54,39,15,1292,1150,142,3761,2861,900,1902,1429,473,89,54,35,1770,1378,392,8964,6054,2910,3709,2425,1284,142,66,76,5113,3563,1550,22115,12576,9539,6515,3772,2743,329,177,152,15271,8627,6644,2110,1509,601,590,450,140,-,-,-,1520,1059,461
102學年,總計,45876,29415,16461,15564,10491,5073,578,336,242,29734,18588,11146,3469,3030,439,2083,1805,278,59,42,17,1327,1183,144,3844,2968,876,1893,1427,466,81,56,25,1870,1485,385,8972,6140,2832,3562,2399,1163,131,76,55,5279,3665,1614,26702,15177,11525,6891,3972,2919,307,162,145,19504,11043,8461,2889,2100,789,1135,888,247,-,-,-,1754,1212,542
102學年,專科學校,2183,1173,1010,167,82,85,-,-,-,2016,1091,925,10,8,2,1,1,-,-,-,-,9,7,2,34,26,8,1,1,-,-,-,-,33,25,8,263,179,84,22,14,8,-,-,-,241,165,76,1786,911,875,129,56,73,-,-,-,1657,855,802,90,49,41,14,10,4,-,-,-,76,39,37
102學年,獨立學院,3758,2283,1475,729,438,291,-,-,-,3029,1845,1184,55,50,5,15,11,4,-,-,-,40,39,1,156,118,38,42,25,17,-,-,-,114,93,21,530,368,162,124,85,39,-,-,-,406,283,123,2603,1505,1098,503,296,207,-,-,-,2100,1209,891,414,242,172,45,21,24,-,-,-,369,221,148
102學年,大學,39935,25959,13976,14668,9971,4697,578,336,242,24689,15652,9037,3404,2972,432,2067,1793,274,59,42,17,1278,1137,141,3654,2824,830,1850,1401,449,81,56,25,1723,1367,356,8179,5593,2586,3416,2300,1116,131,76,55,4632,3217,1415,22313,12761,9552,6259,3620,2639,307,162,145,15747,8979,6768,2385,1809,576,1076,857,219,-,-,-,1309,952,357
101學年,總計,45330,28984,16346,15104,10122,4982,612,346,266,29614,18516,11098,3535,3088,447,2121,1825,296,72,51,21,1342,1212,130,3953,3063,890,1993,1518,475,84,57,27,1876,1488,388,8510,5874,2636,3445,2313,1132,129,70,59,4936,3491,1445,27377,15545,11832,7066,4082,2984,251,125,126,20060,11338,8722,1955,1414,541,479,384,95,76,43,33,1400,987,413
101學年,專科學校,2118,1130,988,140,75,65,-,-,-,1978,1055,923,10,8,2,-,-,-,-,-,-,10,8,2,29,22,7,1,1,-,-,-,-,28,21,7,208,140,68,19,14,5,-,-,-,189,126,63,1796,913,883,106,50,56,-,-,-,1690,863,827,75,47,28,14,10,4,-,-,-,61,37,24
