學年別,縣市別,總計計,總計男,總計女,普通科計,普通科男,普通科女,專業群(職業)科計,專業群(職業)科男,專業群(職業)科女
99學年,桃園縣,4266,2492,1774,231,130,101,4035,2362,1673
99學年,新竹縣,812,488,324,128,59,69,684,429,255
99學年,苗栗縣,597,288,309,-,-,-,597,288,309
99學年,彰化縣,2006,1071,935,-,-,-,2006,1071,935
99學年,南投縣,586,287,299,26,14,12,560,273,287
99學年,雲林縣,363,241,122,17,9,8,346,232,114
99學年,嘉義縣,82,60,22,-,-,-,82,60,22
99學年,屏東縣,638,406,232,-,-,-,638,406,232
99學年,臺東縣,125,69,56,-,-,-,125,69,56
99學年,花蓮縣,406,240,166,22,22,-,384,218,166
99學年,澎湖縣,-,-,-,-,-,-,-,-,-
99學年,基隆市,541,246,295,-,-,-,541,246,295
99學年,新竹市,958,539,419,40,26,14,918,513,405
99學年,嘉義市,309,192,117,60,42,18,249,150,99
99學年,金門縣,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-
98學年,總計,28846,16153,12693,1287,600,687,27559,15553,12006
98學年,臺北市,3435,1926,1509,299,181,118,3136,1745,1391
98學年,高雄市,1776,962,814,106,26,80,1670,936,734
98學年,臺北縣,4151,2307,1844,335,92,243,3816,2215,1601
98學年,宜蘭縣,590,302,288,-,-,-,590,302,288
98學年,桃園縣,4489,2594,1895,139,72,67,4350,2522,1828
98學年,新竹縣,839,468,371,37,16,21,802,452,350
98學年,苗栗縣,670,345,325,-,-,-,670,345,325
98學年,臺中縣,2273,1457,816,-,-,-,2273,1457,816
98學年,彰化縣,2094,1198,896,-,-,-,2094,1198,896
98學年,南投縣,588,297,291,35,22,13,553,275,278
98學年,雲林縣,347,224,123,23,8,15,324,216,108
98學年,嘉義縣,65,46,19,-,-,-,65,46,19
98學年,臺南縣,668,389,279,35,28,7,633,361,272
98學年,高雄縣,763,469,294,-,-,-,763,469,294
98學年,屏東縣,543,341,202,-,-,-,543,341,202
98學年,臺東縣,135,73,62,-,-,-,135,73,62
98學年,花蓮縣,351,192,159,21,21,-,330,171,159
98學年,澎湖縣,-,-,-,-,-,-,-,-,-
98學年,基隆市,507,245,262,-,-,-,507,245,262
98學年,新竹市,961,538,423,41,20,21,920,518,402
98學年,臺中市,2443,1146,1297,45,20,25,2398,1126,1272
98學年,嘉義市,282,167,115,59,40,19,223,127,96
98學年,臺南市,876,467,409,112,54,58,764,413,351
98學年,金門縣,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-
97學年,總計,30246,16615,13631,1261,630,631,28985,15985,13000
97學年,臺北市,3475,1883,1592,304,209,95,3171,1674,1497
97學年,高雄市,1963,1045,918,104,24,80,1859,1021,838
97學年,臺北縣,4500,2368,2132,373,108,265,4127,2260,1867
97學年,宜蘭縣,694,352,342,-,-,-,694,352,342
97學年,桃園縣,4448,2580,1868,85,50,35,4363,2530,1833
97學年,新竹縣,900,525,375,42,11,31,858,514,344
97學年,苗栗縣,735,357,378,-,-,-,735,357,378
97學年,臺中縣,2311,1475,836,-,-,-,2311,1475,836
97學年,彰化縣,2314,1180,1134,-,-,-,2314,1180,1134
97學年,南投縣,626,311,315,31,19,12,595,292,303
97學年,雲林縣,325,187,138,19,12,7,306,175,131
97學年,嘉義縣,68,36,32,-,-,-,68,36,32
97學年,臺南縣,709,391,318,42,34,8,667,357,310
97學年,高雄縣,832,495,337,-,-,-,832,495,337
97學年,屏東縣,517,330,187,-,-,-,517,330,187
97學年,臺東縣,161,81,80,-,-,-,161,81,80
97學年,花蓮縣,381,214,167,25,25,-,356,189,167
97學年,澎湖縣,-,-,-,-,-,-,-,-,-
97學年,基隆市,516,245,271,-,-,-,516,245,271
97學年,新竹市,1034,575,459,35,15,20,999,560,439
97學年,臺中市,2396,1185,1211,28,14,14,2368,1171,1197
97學年,嘉義市,369,219,150,70,48,22,299,171,128
97學年,臺南市,972,581,391,103,61,42,869,520,349
97學年,金門縣,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-
96學年,總計,29962,16322,13640,1447,758,689,28515,15564,12951
96學年,臺北市,3217,1664,1553,323,209,114,2894,1455,1439
96學年,高雄市,1940,1073,867,98,16,82,1842,1057,785
96學年,臺北縣,4514,2428,2086,362,139,223,4152,2289,1863
96學年,宜蘭縣,776,375,401,-,-,-,776,375,401
96學年,桃園縣,4296,2474,1822,122,70,52,4174,2404,1770
96學年,新竹縣,1044,576,468,48,17,31,996,559,437
96學年,苗栗縣,775,372,403,-,-,-,775,372,403
96學年,臺中縣,2240,1385,855,-,-,-,2240,1385,855
96學年,彰化縣,2207,1141,1066,-,-,-,2207,1141,1066
96學年,南投縣,629,300,329,23,13,10,606,287,319
96學年,雲林縣,322,181,141,20,6,14,302,175,127
96學年,嘉義縣,106,71,35,-,-,-,106,71,35
96學年,臺南縣,729,426,303,56,46,10,673,380,293
96學年,高雄縣,811,446,365,-,-,-,811,446,365
96學年,屏東縣,563,354,209,-,-,-,563,354,209
96學年,臺東縣,152,72,80,-,-,-,152,72,80
96學年,花蓮縣,315,189,126,28,28,-,287,161,126
96學年,澎湖縣,-,-,-,-,-,-,-,-,-
96學年,基隆市,448,225,223,-,-,-,448,225,223
96學年,新竹市,995,547,448,60,33,27,935,514,421
96學年,臺中市,2330,1135,1195,33,15,18,2297,1120,1177
96學年,嘉義市,445,251,194,130,84,46,315,167,148
96學年,臺南市,1108,637,471,144,82,62,964,555,409
96學年,金門縣,-,-,-,-,-,-,-,-,-
96學年,連江縣,-,-,-,-,-,-,-,-,-
""
