學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
104學年,臺東縣,276,110,166,13,3,10,-,-,-,263,107,156,-,-,-,170,68,102,-,-,-,-,-,-,170,68,102,-,-,-
104學年,花蓮縣,344,121,223,16,5,11,-,-,-,326,115,211,2,1,1,182,82,100,-,-,-,-,-,-,182,82,100,-,-,-
104學年,澎湖縣,117,57,60,-,-,-,-,-,-,117,57,60,-,-,-,61,32,29,-,-,-,-,-,-,61,32,29,-,-,-
104學年,基隆市,267,105,162,-,-,-,-,-,-,265,104,161,2,1,1,136,45,91,-,-,-,-,-,-,136,45,91,-,-,-
104學年,新竹市,347,101,246,19,3,16,-,-,-,322,96,226,6,2,4,169,61,108,-,-,-,-,-,-,166,60,106,3,1,2
104學年,嘉義市,247,99,148,17,6,11,-,-,-,230,93,137,-,-,-,104,53,51,-,-,-,-,-,-,104,53,51,-,-,-
104學年,金門縣,77,29,48,-,-,-,-,-,-,77,29,48,-,-,-,47,31,16,-,-,-,-,-,-,47,31,16,-,-,-
104學年,連江縣,16,10,6,-,-,-,-,-,-,16,10,6,-,-,-,12,7,5,-,-,-,-,-,-,12,7,5,-,-,-
103學年,總計,16858,7033,9825,139,40,99,8687,3467,5220,7875,3468,4407,157,58,99,8010,3261,4749,-,-,-,3996,1549,2447,3905,1651,2254,109,61,48
103學年,新北市,1962,776,1186,-,-,-,1939,766,1173,-,-,-,23,10,13,852,294,558,-,-,-,841,289,552,-,-,-,11,5,6
103學年,臺北市,1691,597,1094,23,7,16,1600,561,1039,-,-,-,68,29,39,800,286,514,-,-,-,787,279,508,-,-,-,13,7,6
103學年,臺中市,2101,907,1194,16,5,11,2058,896,1162,-,-,-,27,6,21,943,417,526,-,-,-,938,414,524,-,-,-,5,3,2
