學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
98學年,桃園縣,342,4,338,-,-,-,-,-,-,342,4,338,-,-,-
98學年,新竹縣,36,1,35,-,-,-,-,-,-,36,1,35,-,-,-
98學年,苗栗縣,74,2,72,-,-,-,-,-,-,74,2,72,-,-,-
98學年,臺中縣,213,8,205,-,-,-,-,-,-,213,8,205,-,-,-
98學年,彰化縣,105,4,101,-,-,-,-,-,-,105,4,101,-,-,-
98學年,南投縣,52,2,50,-,-,-,-,-,-,52,2,50,-,-,-
98學年,雲林縣,62,-,62,-,-,-,-,-,-,62,-,62,-,-,-
98學年,嘉義縣,30,1,29,-,-,-,-,-,-,30,1,29,-,-,-
98學年,臺南縣,73,3,70,-,-,-,-,-,-,73,3,70,-,-,-
98學年,高雄縣,92,6,86,-,-,-,-,-,-,92,6,86,-,-,-
98學年,屏東縣,118,1,117,-,-,-,-,-,-,118,1,117,-,-,-
98學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,花蓮縣,26,-,26,-,-,-,-,-,-,26,-,26,-,-,-
98學年,澎湖縣,31,-,31,-,-,-,-,-,-,31,-,31,-,-,-
98學年,基隆市,93,-,93,-,-,-,-,-,-,93,-,93,-,-,-
98學年,新竹市,20,-,20,-,-,-,-,-,-,20,-,20,-,-,-
98學年,臺中市,132,5,127,-,-,-,-,-,-,132,5,127,-,-,-
98學年,嘉義市,18,-,18,-,-,-,-,-,-,18,-,18,-,-,-
98學年,臺南市,57,1,56,-,-,-,-,-,-,57,1,56,-,-,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,3341,123,3218,-,-,-,602,18,584,2739,105,2634,-,-,-
97學年,臺北市,447,10,437,-,-,-,447,10,437,-,-,-,-,-,-
97學年,高雄市,155,8,147,-,-,-,155,8,147,-,-,-,-,-,-
97學年,臺北縣,1042,38,1004,-,-,-,-,-,-,1042,38,1004,-,-,-
97學年,宜蘭縣,59,2,57,-,-,-,-,-,-,59,2,57,-,-,-
97學年,桃園縣,289,16,273,-,-,-,-,-,-,289,16,273,-,-,-
