學年別,年齡別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,五專計小計,五專計男,五專計女,五專1年級小計,五專1年級男,五專1年級女,五專2年級小計,五專2年級男,五專2年級女,五專3年級小計,五專3年級男,五專3年級女,五專4年級小計,五專4年級男,五專4年級女,五專5年級小計,五專5年級男,五專5年級女,五專6年級小計,五專6年級男,五專6年級女,五專7年級小計,五專7年級男,五專7年級女,五專延修生小計,五專延修生男,五專延修生女,二專計小計,二專計男,二專計女,二專1年級小計,二專1年級男,二專1年級女,二專2年級小計,二專2年級男,二專2年級女,二專3年級小計,二專3年級男,二專3年級女,二專4年級小計,二專4年級男,二專4年級女,二專5年級小計,二專5年級男,二專5年級女,二專6年級小計,二專6年級男,二專6年級女,二專7年級小計,二專7年級男,二專7年級女,二專延修生小計,二專延修生男,二專延修生女,學士班計小計,學士班計男,學士班計女,學士班1年級小計,學士班1年級男,學士班1年級女,學士班2年級小計,學士班2年級男,學士班2年級女,學士班3年級小計,學士班3年級男,學士班3年級女,學士班4年級小計,學士班4年級男,學士班4年級女,學士班5年級小計,學士班5年級男,學士班5年級女,學士班6年級小計,學士班6年級男,學士班6年級女,學士班7年級小計,學士班7年級男,學士班7年級女,學士班延修生小計,學士班延修生男,學士班延修生女,碩士班計小計,碩士班計男,碩士班計女,碩士班1年級小計,碩士班1年級男,碩士班1年級女,碩士班2年級小計,碩士班2年級男,碩士班2年級女,碩士班3年級小計,碩士班3年級男,碩士班3年級女,碩士班4年級小計,碩士班4年級男,碩士班4年級女,碩士班5年級小計,碩士班5年級男,碩士班5年級女,碩士班6年級小計,碩士班6年級男,碩士班6年級女,碩士班7年級小計,碩士班7年級男,碩士班7年級女,碩士班延修生小計,碩士班延修生男,碩士班延修生女,博士班計小計,博士班計男,博士班計女,博士班1年級小計,博士班1年級男,博士班1年級女,博士班2年級小計,博士班2年級男,博士班2年級女,博士班3年級小計,博士班3年級男,博士班3年級女,博士班4年級小計,博士班4年級男,博士班4年級女,博士班5年級小計,博士班5年級男,博士班5年級女,博士班6年級小計,博士班6年級男,博士班6年級女,博士班7年級小計,博士班7年級男,博士班7年級女,博士班延修生小計,博士班延修生男,博士班延修生女
103學年,16至未滿17歲,17621,4285,13336,1784,485,1299,15801,3795,12006,35,5,30,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,17602,4279,13323,1766,479,1287,15801,3795,12006,34,5,29,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,6,13,18,6,12,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,17至未滿18歲,20388,5420,14968,1598,727,871,2303,655,1648,16422,4025,12397,65,13,52,-,-,-,-,-,-,-,-,-,-,-,-,18916,4749,14167,154,72,82,2276,640,1636,16421,4024,12397,65,13,52,-,-,-,-,-,-,-,-,-,-,-,-,6,2,4,6,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1466,669,797,1438,653,785,27,15,12,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,18至未滿19歲,208380,98451,109929,189590,93825,95765,1504,638,866,2098,609,1489,15110,3364,11746,78,15,63,-,-,-,-,-,-,-,-,-,17458,4109,13349,43,27,16,199,106,93,2030,598,1432,15108,3363,11745,78,15,63,-,-,-,-,-,-,-,-,-,1444,684,760,1441,683,758,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189476,93658,95818,188104,93115,94989,1302,531,771,68,11,57,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,19至未滿20歲,236259,113507,122752,40790,21654,19136,177834,87662,90172,1638,686,952,1789,462,1327,14200,3040,11160,-,-,-,-,-,-,8,3,5,16235,3628,12607,20,15,5,48,30,18,189,85,104,1772,456,1316,14200,3040,11160,-,-,-,-,-,-,6,2,4,2420,1224,1196,629,318,311,1790,905,885,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,217602,108654,108948,40140,21321,18819,175995,86726,89269,1449,601,848,17,6,11,-,-,-,-,-,-,-,-,-,1,-,1,2,1,1,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,20至未滿21歲,232825,114040,118785,9052,5176,3876,41799,22316,19483,177054,84856,92198,1798,760,1038,1772,443,1329,-,-,-,-,-,-,1350,489,861,3151,927,2224,12,8,4,12,8,4,31,20,11,175,75,100,1772,443,1329,-,-,-,-,-,-,1149,373,776,1115,573,542,263,146,117,608,305,303,56,16,40,-,-,-,-,-,-,-,-,-,-,-,-,188,106,82,228538,112526,116012,8759,5010,3749,41176,22001,19175,176967,84820,92147,1623,685,938,-,-,-,-,-,-,-,-,-,13,10,3,21,14,7,18,12,6,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,21至未滿22歲,229657,113000,116657,3469,2026,1443,9741,5525,4216,43965,22935,21030,171500,82094,89406,185,66,119,1,-,1,-,-,-,796,354,442,661,244,417,6,5,1,8,3,5,13,8,5,36,22,14,144,51,93,-,-,-,-,-,-,454,155,299,457,257,200,127,78,49,196,99,97,21,9,12,-,-,-,-,-,-,-,-,-,-,-,-,113,71,42,228168,112336,115832,2981,1786,1195,9522,5418,4104,43930,22917,21013,171464,82072,89392,41,15,26,1,-,1,-,-,-,229,128,101,370,162,208,354,156,198,15,5,10,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,22至未滿23歲,100973,57138,43835,23206,14491,8715,3589,2154,1435,10974,6049,4925,39876,20796,19080,2619,1136,1483,35,23,12,-,-,-,20674,12489,8185,139,46,93,2,1,1,2,-,2,2,1,1,12,5,7,26,13,13,-,-,-,-,-,-,95,26,69,286,153,133,107,60,47,126,69,57,11,3,8,-,-,-,-,-,-,-,-,-,-,-,-,42,21,21,78797,43362,35435,1591,977,614,3220,1963,1257,10957,6043,4914,39864,20791,19073,2593,1123,1470,35,23,12,-,-,-,20537,12442,8095,21693,13529,8164,21451,13408,8043,238,119,119,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,48,10,55,45,10,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,23至未滿24歲,60095,36610,23485,11111,6957,4154,21161,13418,7743,4312,2388,1924,10272,5716,4556,1107,507,600,978,640,338,22,12,10,11132,6972,4160,56,26,30,-,-,-,1,1,-,5,3,2,7,4,3,12,6,6,-,-,-,-,-,-,31,12,19,226,137,89,113,68,45,81,47,34,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-,25,18,7,30399,17870,12529,1126,705,421,1627,1020,607,4215,2340,1875,10262,5712,4550,1095,501,594,978,640,338,22,12,10,11074,6940,4134,29223,18421,10802,9721,6061,3660,19413,12318,7095,84,40,44,3,-,3,-,-,-,-,-,-,-,-,-,2,2,-,191,156,35,151,123,28,39,32,7,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,24至未滿25歲,37199,22837,14362,5734,3491,2243,11272,7053,4219,8985,5415,3570,4090,2296,1794,456,195,261,446,301,145,670,434,236,5546,3652,1894,22,10,12,4,3,1,-,-,-,-,-,-,4,1,3,3,3,-,-,-,-,-,-,-,11,3,8,178,119,59,85,57,28,75,51,24,4,2,2,1,-,1,-,-,-,-,-,-,-,-,-,13,9,4,15023,9170,5853,836,500,336,1078,688,390,2308,1333,975,4046,2279,1767,453,192,261,446,301,145,670,434,236,5186,3443,1743,21352,13078,8274,4373,2617,1756,9955,6188,3767,6653,4063,2590,35,13,22,-,-,-,-,-,-,-,-,-,336,197,139,624,460,164,436,314,122,164,126,38,20,17,3,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,25至未滿26歲,21926,13094,8832,3567,2091,1476,5228,3284,1944,5570,3235,2335,4056,2221,1835,234,79,155,138,95,43,371,245,126,2762,1844,918,9,5,4,1,1,-,1,1,-,1,-,1,2,-,2,2,2,-,-,-,-,-,-,-,2,1,1,196,122,74,91,59,32,86,52,34,5,3,2,3,2,1,-,-,-,-,-,-,-,-,-,11,6,5,8367,5137,3230,660,428,232,733,462,271,1578,897,681,2214,1264,950,231,76,155,138,95,43,370,244,126,2443,1671,772,12363,7112,5251,2422,1322,1100,3992,2461,1531,3825,2220,1605,1819,943,876,-,-,-,-,-,-,-,-,-,305,166,139,991,718,273,393,281,112,416,308,108,161,115,46,18,12,6,1,1,-,-,-,-,1,1,-,1,-,1
103學年,26至未滿27歲,15078,8710,6368,2837,1546,1291,3248,1993,1255,3696,2157,1539,3503,1890,1613,194,61,133,41,22,19,124,77,47,1435,964,471,10,3,7,-,-,-,1,-,1,-,-,-,2,-,2,3,2,1,-,-,-,-,-,-,4,1,3,163,102,61,98,65,33,57,33,24,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,5,2,3,5344,3160,2184,497,312,185,546,331,215,1209,661,548,1551,865,686,170,47,123,41,22,19,124,77,47,1206,845,361,8277,4483,3794,1929,955,974,2297,1377,920,2057,1159,898,1771,874,897,3,2,1,-,-,-,-,-,-,220,116,104,1284,962,322,313,214,99,347,252,95,428,336,92,178,150,28,18,10,8,-,-,-,-,-,-,-,-,-
103學年,27至未滿28歲,11179,6097,5082,2234,1147,1087,2408,1316,1092,2440,1350,1090,2956,1587,1369,272,128,144,37,27,10,40,19,21,792,523,269,6,3,3,2,-,2,-,-,-,-,-,-,2,1,1,1,1,-,-,-,-,-,-,-,1,1,-,148,74,74,72,38,34,68,34,34,4,1,3,1,-,1,-,-,-,-,-,-,-,-,-,3,1,2,3510,2001,1509,376,212,164,395,254,141,839,452,387,1083,590,493,138,26,112,24,16,8,40,19,21,615,432,183,6079,2967,3112,1516,721,795,1690,843,847,1265,663,602,1430,651,779,7,2,5,1,1,-,-,-,-,170,86,84,1436,1052,384,268,176,92,255,185,70,332,234,98,440,345,95,126,99,27,12,10,2,-,-,-,3,3,-
103學年,28至未滿29歲,9622,5289,4333,2025,1064,961,2002,1079,923,2006,1065,941,2383,1289,1094,582,370,212,105,85,20,25,16,9,494,321,173,3,1,2,1,-,1,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,119,72,47,63,37,26,44,25,19,4,3,1,1,1,-,-,-,-,-,-,-,-,-,-,7,6,1,2867,1594,1273,311,187,124,324,189,135,728,390,338,974,518,456,153,41,112,15,10,5,18,11,7,344,248,96,4949,2403,2546,1414,670,744,1396,706,690,982,472,510,1007,488,519,13,5,8,1,1,-,-,-,-,136,61,75,1684,1219,465,236,170,66,238,159,79,292,200,92,401,282,119,414,323,91,89,74,15,7,5,2,7,6,1
103學年,29至未滿30歲,9508,5230,4278,2096,1083,1013,1954,1016,938,1828,969,859,2129,1165,964,610,366,244,386,302,84,69,47,22,436,282,154,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,141,83,58,81,51,30,53,27,26,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,4,3,1,2674,1460,1214,330,201,129,281,161,120,716,353,363,892,488,404,152,41,111,19,17,2,12,9,3,272,190,82,4717,2260,2457,1438,669,769,1382,664,718,829,412,417,880,421,459,36,12,24,4,2,2,-,-,-,148,80,68,1975,1426,549,247,162,85,238,164,74,281,203,78,356,255,101,421,312,109,363,283,80,57,38,19,12,9,3
103學年,30歲以上,113935,58999,54936,29774,15200,14574,27434,14000,13434,20573,10094,10479,18670,9287,9383,6037,3301,2736,3826,2485,1341,3262,2248,1014,4359,2384,1975,17,7,10,4,2,2,3,1,2,2,1,1,5,2,3,2,-,2,-,-,-,-,-,-,1,1,-,2887,1244,1643,1555,734,821,1213,429,784,41,34,7,45,32,13,-,-,-,-,-,-,-,-,-,33,15,18,24806,10484,14322,3196,1468,1728,2821,1371,1450,8002,3097,4905,8424,3535,4889,1119,279,840,68,55,13,56,49,7,1120,630,490,63920,32264,31656,21665,10769,10896,20314,10141,10173,9419,4862,4557,7130,3669,3461,1864,1011,853,840,439,401,19,3,16,2669,1370,1299,22305,15000,7305,3354,2227,1127,3083,2058,1025,3109,2100,1009,3066,2049,1017,3052,2011,1041,2918,1991,927,3187,2196,991,536,368,168
102學年,總計,1345973,673876,672097,344362,175678,168684,336718,172587,164131,300572,146180,154392,276032,131736,144296,27810,9851,17959,5992,3896,2096,4580,3149,1431,49907,30799,19108,90398,21900,68498,18462,4539,13923,19346,5009,14337,18356,4392,13964,17197,3979,13218,15270,3368,11902,-,-,-,-,-,-,1767,613,1154,11261,5528,5733,5197,2618,2579,5195,2446,2749,266,94,172,23,16,7,-,-,-,-,-,-,-,-,-,580,354,226,1035534,524160,511374,248961,126782,122179,242903,123968,118935,251526,124402,127124,239622,117226,122396,6491,2504,3987,1671,1049,622,1297,862,435,43063,27367,15696,177305,100398,76907,66357,38051,28306,64287,37676,26611,25479,13841,11638,14439,7207,7232,1789,975,814,961,541,420,49,18,31,3944,2089,1855,31475,21890,9585,5385,3688,1697,4987,3488,1499,4945,3451,1494,4751,3308,1443,4260,3004,1256,3360,2306,1054,3234,2269,965,553,376,177
102學年,未滿16歲,16033,3775,12258,15998,3770,12228,33,5,28,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16031,3775,12256,15997,3770,12227,32,5,27,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,16至未滿17歲,19229,4823,14406,2256,648,1608,16895,4161,12734,78,14,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19197,4805,14392,2225,631,1594,16894,4160,12734,78,14,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,17,14,30,16,14,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,17至未滿18歲,20185,5232,14953,1959,856,1103,2197,722,1475,15935,3636,12299,94,18,76,-,-,-,-,-,-,-,-,-,-,-,-,18375,4464,13911,170,94,76,2177,716,1461,15935,3636,12299,93,18,75,-,-,-,-,-,-,-,-,-,-,-,-,6,4,2,6,4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1804,764,1040,1783,758,1025,20,6,14,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,18至未滿19歲,204638,97332,107306,185670,92517,93153,2009,924,1085,2064,607,1457,14800,3264,11536,95,20,75,-,-,-,-,-,-,-,-,-,17146,3991,13155,35,25,10,175,81,94,2041,601,1440,14800,3264,11536,95,20,75,-,-,-,-,-,-,-,-,-,2042,1048,994,2032,1041,991,10,7,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185449,92292,93157,183602,91450,92152,1824,836,988,23,6,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,19至未滿20歲,237018,115074,121944,43683,23300,20383,175801,87455,88346,2155,964,1191,2085,597,1488,13283,2757,10526,-,-,-,-,-,-,11,1,10,15631,3485,12146,15,10,5,41,30,11,217,102,115,2065,585,1480,13283,2757,10526,-,-,-,-,-,-,10,1,9,2802,1361,1441,743,392,351,2059,969,1090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,218582,110226,108356,42923,22897,20026,173700,86455,87245,1938,862,1076,20,12,8,-,-,-,-,-,-,-,-,-,1,-,1,3,2,1,2,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,20至未滿21歲,232915,115036,117879,9173,5082,4091,45400,24179,21221,173850,84162,89688,1602,630,972,1705,505,1200,-,-,-,-,-,-,1185,478,707,2938,964,1974,9,5,4,13,8,5,49,26,23,184,78,106,1704,505,1199,-,-,-,-,-,-,979,342,637,1235,635,600,252,125,127,652,335,317,128,41,87,-,-,-,-,-,-,-,-,-,-,-,-,203,134,69,228726,113430,115296,8898,4946,3952,44733,23835,20898,173673,84095,89578,1418,552,866,1,-,1,-,-,-,-,-,-,3,2,1,16,7,9,14,6,8,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,21至未滿22歲,223746,110394,113352,3348,1961,1387,10394,5826,4568,43185,22552,20633,165890,79649,86241,162,78,84,-,-,-,-,-,-,767,328,439,660,244,416,2,-,2,4,2,2,14,6,8,31,18,13,125,56,69,-,-,-,-,-,-,484,162,322,576,304,272,151,85,66,285,150,135,38,5,33,-,-,-,-,-,-,-,-,-,-,-,-,102,64,38,222252,109716,112536,2950,1752,1198,10092,5668,4424,43133,22541,20592,165859,79631,86228,37,22,15,-,-,-,-,-,-,181,102,79,255,127,128,242,121,121,13,6,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,22至未滿23歲,101275,57421,43854,22386,14076,8310,3995,2290,1705,11086,6123,4963,40561,20958,19603,2595,1138,1457,31,18,13,-,-,-,20621,12818,7803,216,91,125,1,1,-,6,4,2,6,3,3,11,6,5,34,17,17,-,-,-,-,-,-,158,60,98,378,198,180,112,71,41,166,83,83,12,2,10,-,-,-,-,-,-,-,-,-,-,-,-,88,42,46,79730,43954,35776,1594,961,633,3558,2070,1488,11061,6116,4945,40550,20952,19598,2561,1121,1440,31,18,13,-,-,-,20375,12716,7659,20909,13142,7767,20638,13008,7630,264,132,132,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,36,6,41,35,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,23至未滿24歲,64434,39221,25213,12307,7679,4628,23449,15047,8402,4629,2555,2074,10440,5612,4828,1150,559,591,867,548,319,21,12,9,11571,7209,4362,105,43,62,-,-,-,2,2,-,2,1,1,4,4,-,6,2,4,-,-,-,-,-,-,91,34,57,341,232,109,88,63,25,202,140,62,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,44,27,17,31313,18174,13139,1108,692,416,1823,1124,699,4483,2485,1998,10435,5608,4827,1144,557,587,867,548,319,21,12,9,11432,7148,4284,32459,20605,11854,10922,6780,4142,21397,13760,7637,135,65,70,1,-,1,-,-,-,-,-,-,-,-,-,4,-,4,216,167,49,189,144,45,25,21,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,24至未滿25歲,36355,22333,14022,5692,3593,2099,11447,7177,4270,8362,4965,3397,4198,2305,1893,382,174,208,469,298,171,607,400,207,5198,3421,1777,39,14,25,1,1,-,1,-,1,2,-,2,2,2,-,7,3,4,-,-,-,-,-,-,26,8,18,216,119,97,96,59,37,91,41,50,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,24,16,8,14920,9027,5893,786,497,289,1249,767,482,2415,1382,1033,4143,2271,1872,375,171,204,469,298,171,606,399,207,4877,3242,1635,20526,12704,7822,4345,2700,1645,9939,6250,3689,5919,3568,2351,52,31,21,-,-,-,-,-,-,-,-,-,271,155,116,654,469,185,464,336,128,167,119,48,21,12,9,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-
102學年,25至未滿26歲,23141,13967,9174,3684,2276,1408,5903,3804,2099,5878,3372,2506,4117,2250,1867,247,79,168,146,81,65,399,265,134,2767,1840,927,20,7,13,-,-,-,-,-,-,2,-,2,2,2,-,3,1,2,-,-,-,-,-,-,13,4,9,200,123,77,81,49,32,95,59,36,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,20,13,7,8803,5314,3489,628,390,238,929,563,366,1707,954,753,2331,1335,996,239,73,166,146,81,65,399,265,134,2424,1653,771,13024,7689,5335,2571,1546,1025,4399,2811,1588,3978,2258,1720,1762,900,862,4,4,-,-,-,-,-,-,-,310,170,140,1094,834,260,404,291,113,480,371,109,189,159,30,20,12,8,1,1,-,-,-,-,-,-,-,-,-,-
102學年,26至未滿27歲,15250,8766,6484,2636,1470,1166,3472,2079,1393,3746,2181,1565,3597,1894,1703,223,68,155,43,20,23,132,85,47,1401,969,432,8,7,1,2,2,-,-,-,-,2,1,1,1,1,-,2,2,-,-,-,-,-,-,-,1,1,-,168,89,79,79,44,35,71,34,37,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,14,11,3,5391,3219,2172,444,269,175,602,386,216,1198,661,537,1629,914,715,197,49,148,43,20,23,132,85,47,1146,835,311,8364,4474,3890,1825,954,871,2430,1404,1026,2062,1141,921,1804,854,950,4,-,4,-,-,-,-,-,-,239,121,118,1319,977,342,286,201,85,369,255,114,480,378,102,163,125,38,20,17,3,-,-,-,-,-,-,1,1,-
102學年,27至未滿28歲,12123,6831,5292,2311,1258,1053,2627,1480,1147,2752,1562,1190,3203,1768,1435,328,159,169,36,23,13,44,25,19,822,556,266,3,1,2,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,1,-,1,151,102,49,60,38,22,84,60,24,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,3,4039,2333,1706,388,225,163,472,302,170,1053,573,480,1245,696,549,185,44,141,20,10,10,44,25,19,632,458,174,6198,3109,3089,1574,792,782,1754,896,858,1259,674,585,1429,656,773,7,3,4,-,-,-,-,-,-,175,88,87,1732,1286,446,289,203,86,317,222,95,439,314,125,528,416,112,135,111,24,16,13,3,-,-,-,8,7,1
102學年,28至未滿29歲,11273,6304,4969,2168,1118,1050,2395,1344,1051,2439,1340,1099,2834,1530,1304,717,474,243,99,70,29,29,21,8,592,407,185,4,3,1,-,-,-,-,-,-,2,1,1,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,130,77,53,65,34,31,55,34,21,5,4,1,1,1,-,-,-,-,-,-,-,-,-,-,4,4,-,3578,2003,1575,328,183,145,414,253,161,973,543,430,1214,627,587,187,56,131,15,11,4,19,14,5,428,316,112,5477,2676,2801,1505,716,789,1611,830,781,1078,520,558,1123,526,597,14,8,6,-,-,-,-,-,-,146,76,70,2084,1545,539,270,185,85,315,227,88,381,272,109,495,375,120,515,409,106,84,59,25,10,7,3,14,11,3
102學年,29至未滿30歲,10466,5719,4747,2096,1102,994,2180,1189,991,2083,1097,986,2516,1294,1222,670,399,271,379,287,92,58,44,14,484,307,177,3,-,3,-,-,-,-,-,-,2,-,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,169,87,82,83,49,34,71,31,40,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,8,5,3,3356,1797,1559,365,214,151,404,241,163,867,474,393,1200,582,618,180,52,128,18,15,3,12,9,3,310,210,100,4835,2365,2470,1395,682,713,1442,737,705,883,407,476,941,454,487,22,4,18,3,-,3,-,-,-,149,81,68,2103,1470,633,253,157,96,263,180,83,324,214,110,375,258,117,467,343,124,358,272,86,46,35,11,17,11,6
102學年,30歲以上,117892,61648,56244,28995,14972,14023,28521,14905,13616,22328,11050,11278,20095,9967,10128,6253,3441,2812,3922,2551,1371,3290,2297,993,4488,2465,2023,22,6,16,5,-,5,1,1,-,2,1,1,2,-,2,8,3,5,-,-,-,-,-,-,4,1,3,2846,1148,1698,1348,563,785,1354,503,851,57,33,24,20,14,6,-,-,-,-,-,-,-,-,-,67,35,32,27558,11894,15664,3133,1532,1601,3081,1461,1620,9002,3710,5292,9577,4046,5531,1385,359,1026,62,48,14,64,53,11,1254,685,569,65238,33497,31741,21323,10744,10579,21035,10848,10187,10158,5206,4952,7327,3786,3541,1738,956,782,958,541,417,49,18,31,2650,1398,1252,22228,15103,7125,3186,2133,1053,3050,2092,958,3109,2100,1009,3169,2121,1048,3122,2123,999,2902,1962,940,3177,2226,951,513,346,167
101學年,總計,1355290,683446,671844,357231,184594,172637,336936,173121,163815,295798,142918,152880,271549,130187,141362,27726,9995,17731,6058,4039,2019,4421,3055,1366,55571,35537,20034,89060,21701,67359,19433,4981,14452,18904,4604,14300,18171,4338,13833,16177,3793,12384,14659,3373,11286,-,-,-,-,-,-,1716,612,1104,12364,6088,6276,6143,3115,3028,5227,2471,2756,237,80,157,35,26,9,-,-,-,-,-,-,-,-,-,722,396,326,1038041,528515,509526,255698,131358,124340,242531,124601,117930,249211,122997,126214,237161,116450,120711,7127,2771,4356,1738,1126,612,1269,864,405,43306,28348,14958,183094,104219,78875,70269,41161,29108,64955,37720,27235,22905,11798,11107,13372,6530,6842,1848,1017,831,855,480,375,26,6,20,8864,5507,3357,32731,22923,9808,5688,3979,1709,5319,3725,1594,5274,3705,1569,4804,3388,1416,4092,2834,1258,3465,2433,1032,3126,2185,941,963,674,289
