學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,初級部計,初級部國立,初級部直轄市立,初級部縣市立,初級部私立,高級部1年級計,高級部1年級國立,高級部1年級直轄市立,高級部1年級縣市立,高級部1年級私立,高級部2年級計,高級部2年級國立,高級部2年級直轄市立,高級部2年級縣市立,高級部2年級私立
105學年,嘉義縣,6,-,-,6,-,3,-,-,3,-,1,-,-,1,-,2,-,-,2,-
105學年,屏東縣,22,-,-,22,-,7,-,-,7,-,8,-,-,8,-,7,-,-,7,-
105學年,臺東縣,3,-,-,3,-,1,-,-,1,-,2,-,-,2,-,-,-,-,-,-
105學年,花蓮縣,9,-,-,9,-,3,-,-,3,-,3,-,-,3,-,3,-,-,3,-
105學年,澎湖縣,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,18,-,-,18,-,6,-,-,6,-,6,-,-,6,-,6,-,-,6,-
105學年,新竹市,6,-,-,6,-,2,-,-,2,-,1,-,-,1,-,3,-,-,3,-
105學年,嘉義市,3,-,-,3,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,-
105學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,598,-,447,151,-,198,-,150,48,-,201,-,149,52,-,199,-,148,51,-
104學年,新北市,164,-,164,-,-,56,-,56,-,-,54,-,54,-,-,54,-,54,-,-
104學年,臺北市,72,-,72,-,-,24,-,24,-,-,24,-,24,-,-,24,-,24,-,-
104學年,桃園市,49,-,49,-,-,15,-,15,-,-,17,-,17,-,-,17,-,17,-,-
104學年,臺中市,79,-,79,-,-,28,-,28,-,-,25,-,25,-,-,26,-,26,-,-
104學年,臺南市,52,-,52,-,-,19,-,19,-,-,18,-,18,-,-,15,-,15,-,-
104學年,高雄市,31,-,31,-,-,8,-,8,-,-,11,-,11,-,-,12,-,12,-,-
104學年,宜蘭縣,25,-,-,25,-,7,-,-,7,-,10,-,-,10,-,8,-,-,8,-
104學年,新竹縣,7,-,-,7,-,2,-,-,2,-,3,-,-,3,-,2,-,-,2,-
