學年別,縣市別,副學士總計計,副學士總計男,副學士總計女,副學士國立計,副學士國立男,副學士國立女,副學士私立計,副學士私立男,副學士私立女,二年制學士總計計,二年制學士總計男,二年制學士總計女,二年制學士國立計,二年制學士國立男,二年制學士國立女,二年制學士私立計,二年制學士私立男,二年制學士私立女
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,7521,3819,3702,1136,444,692,6385,3375,3010,7216,3671,3545,2077,1195,882,5139,2476,2663
100學年,新北市,885,439,446,-,-,-,885,439,446,691,288,403,-,-,-,691,288,403
100學年,臺北市,1119,539,580,306,94,212,813,445,368,1160,639,521,439,324,115,721,315,406
100學年,臺中市,1162,585,577,830,350,480,332,235,97,1133,587,546,884,410,474,249,177,72
100學年,臺南市,480,300,180,-,-,-,480,300,180,239,145,94,-,-,-,239,145,94
100學年,高雄市,1271,695,576,-,-,-,1271,695,576,1358,840,518,546,318,228,812,522,290
100學年,宜蘭縣,114,67,47,-,-,-,114,67,47,143,95,48,-,-,-,143,95,48
100學年,桃園縣,153,61,92,-,-,-,153,61,92,292,74,218,-,-,-,292,74,218
100學年,新竹縣,70,23,47,-,-,-,70,23,47,73,28,45,-,-,-,73,28,45
100學年,苗栗縣,136,80,56,-,-,-,136,80,56,134,49,85,-,-,-,134,49,85
100學年,彰化縣,435,245,190,-,-,-,435,245,190,245,133,112,-,-,-,245,133,112
100學年,南投縣,149,85,64,-,-,-,149,85,64,118,67,51,-,-,-,118,67,51
100學年,雲林縣,347,144,203,-,-,-,347,144,203,389,203,186,208,143,65,181,60,121
100學年,嘉義縣,240,161,79,-,-,-,240,161,79,300,198,102,-,-,-,300,198,102
100學年,屏東縣,382,180,202,-,-,-,382,180,202,456,205,251,-,-,-,456,205,251
100學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,花蓮縣,-,-,-,-,-,-,-,-,-,40,-,40,-,-,-,40,-,40
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,458,152,306,-,-,-,458,152,306,443,119,324,-,-,-,443,119,324
100學年,新竹市,56,36,20,-,-,-,56,36,20,2,1,1,-,-,-,2,1,1
100學年,嘉義市,64,27,37,-,-,-,64,27,37,-,-,-,-,-,-,-,-,-
100學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,7722,3867,3855,1250,451,799,6472,3416,3056,7728,3876,3852,2006,1109,897,5722,2767,2955
99學年,新北市,898,398,500,-,-,-,898,398,500,841,402,439,-,-,-,841,402,439
99學年,臺北市,1189,575,614,305,92,213,884,483,401,1397,745,652,437,311,126,960,434,526
99學年,臺中市,1415,693,722,945,359,586,470,334,136,1089,548,541,872,412,460,217,136,81
99學年,臺南市,458,279,179,-,-,-,458,279,179,302,200,102,-,-,-,302,200,102
99學年,高雄市,1141,629,512,-,-,-,1141,629,512,1409,788,621,534,287,247,875,501,374
99學年,宜蘭縣,120,61,59,-,-,-,120,61,59,156,86,70,-,-,-,156,86,70
99學年,桃園縣,137,66,71,-,-,-,137,66,71,315,105,210,-,-,-,315,105,210
99學年,新竹縣,105,36,69,-,-,-,105,36,69,119,54,65,-,-,-,119,54,65
99學年,苗栗縣,105,63,42,-,-,-,105,63,42,111,39,72,-,-,-,111,39,72
99學年,彰化縣,557,328,229,-,-,-,557,328,229,335,214,121,-,-,-,335,214,121
99學年,南投縣,116,69,47,-,-,-,116,69,47,152,74,78,-,-,-,152,74,78
99學年,雲林縣,326,93,233,-,-,-,326,93,233,290,153,137,163,99,64,127,54,73
99學年,嘉義縣,236,148,88,-,-,-,236,148,88,269,162,107,-,-,-,269,162,107
99學年,屏東縣,385,212,173,-,-,-,385,212,173,420,176,244,-,-,-,420,176,244
99學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,花蓮縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,415,163,252,-,-,-,415,163,252,485,111,374,-,-,-,485,111,374
99學年,新竹市,51,27,24,-,-,-,51,27,24,38,19,19,-,-,-,38,19,19
99學年,嘉義市,68,27,41,-,-,-,68,27,41,-,-,-,-,-,-,-,-,-
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,9316,4795,4521,1377,545,832,7939,4250,3689,9077,4575,4502,2186,1234,952,6891,3341,3550
98學年,臺北市,1509,762,747,327,102,225,1182,660,522,1910,1000,910,410,311,99,1500,689,811
98學年,高雄市,-,-,-,-,-,-,-,-,-,588,333,255,588,333,255,-,-,-
98學年,臺北縣,1167,524,643,-,-,-,1167,524,643,1032,491,541,-,-,-,1032,491,541
98學年,宜蘭縣,126,77,49,-,-,-,126,77,49,234,110,124,-,-,-,234,110,124
98學年,桃園縣,149,78,71,-,-,-,149,78,71,506,222,284,-,-,-,506,222,284
98學年,新竹縣,139,43,96,-,-,-,139,43,96,159,75,84,-,-,-,159,75,84
98學年,苗栗縣,150,88,62,-,-,-,150,88,62,144,72,72,-,-,-,144,72,72
