學年別,學科類別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,縣市立計小計,縣市立計男,縣市立計女,縣市立1年級小計,縣市立1年級男,縣市立1年級女,縣市立2年級小計,縣市立2年級男,縣市立2年級女,縣市立3年級小計,縣市立3年級男,縣市立3年級女,縣市立延修生小計,縣市立延修生男,縣市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立延修生小計,私立延修生男,私立延修生女
99學年,工業,36000,33213,2787,13008,11980,1028,11647,10755,892,11305,10439,866,40,39,1,2618,2329,289,969,868,101,862,768,94,785,691,94,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33382,30884,2498,12039,11112,927,10785,9987,798,10520,9748,772,38,37,1
99學年,商業,65942,24477,41465,24891,9529,15362,21684,8075,13609,19301,6822,12479,66,51,15,3385,1081,2304,1311,434,877,1145,408,737,925,238,687,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148,69,79,73,35,38,75,34,41,-,-,-,-,-,-,62409,23327,39082,23507,9060,14447,20464,7633,12831,18376,6584,11792,62,50,12
99學年,家事,11541,1235,10306,4367,577,3790,3804,349,3455,3361,308,3053,9,1,8,856,41,815,308,21,287,293,11,282,255,9,246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10685,1194,9491,4059,556,3503,3511,338,3173,3106,299,2807,9,1,8
99學年,醫事,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,海事,120,75,45,40,28,12,40,26,14,40,21,19,-,-,-,120,75,45,40,28,12,40,26,14,40,21,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,劇藝,1441,639,802,625,292,333,450,179,271,366,168,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1441,639,802,625,292,333,450,179,271,366,168,198,-,-,-
98學年,總計,108363,57140,51223,40751,21383,19368,35707,18634,17073,31471,16755,14716,434,368,66,7067,3554,3513,2609,1346,1263,2234,1086,1148,2130,1037,1093,94,85,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,36,43,79,36,43,-,-,-,-,-,-,-,-,-,101217,53550,47667,38063,20001,18062,33473,17548,15925,29341,15718,13623,340,283,57
98學年,農業,523,250,273,186,87,99,193,96,97,144,67,77,-,-,-,523,250,273,186,87,99,193,96,97,144,67,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,工業,35410,32754,2656,12619,11667,952,11694,10800,894,10856,10052,804,241,235,6,2551,2268,283,891,786,105,805,713,92,777,694,83,78,75,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32859,30486,2373,11728,10881,847,10889,10087,802,10079,9358,721,163,160,3
98學年,商業,60103,22394,37709,23087,8907,14180,19881,7183,12698,16975,6184,10791,160,120,40,3006,938,2068,1183,434,749,935,245,690,874,249,625,14,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,36,43,79,36,43,-,-,-,-,-,-,-,-,-,57018,21420,35598,21825,8437,13388,18946,6938,12008,16101,5935,10166,146,110,36
