學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,高中進修學校計,高中進修學校國立,高中進修學校直轄市立,高中進修學校縣市立,高中進修學校私立,職業進修學校計,職業進修學校國立,職業進修學校直轄市立,職業進修學校縣市立,職業進修學校私立
98學年,總計,223,85,6,13,119,30,6,1,11,12,203,82,5,2,114
98學年,臺北市,19,1,1,-,17,5,-,-,-,5,17,1,1,-,15
98學年,高雄市,11,-,5,-,6,1,-,1,-,-,10,-,4,-,6
98學年,臺北縣,30,5,-,10,15,9,-,-,9,-,21,5,-,1,15
98學年,宜蘭縣,6,6,-,-,-,-,-,-,-,-,6,6,-,-,-
98學年,桃園縣,19,5,-,-,14,3,-,-,-,3,18,5,-,-,13
98學年,新竹縣,6,1,-,-,5,2,1,-,-,1,6,1,-,-,5
98學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
98學年,臺中縣,15,6,-,-,9,-,-,-,-,-,15,6,-,-,9
98學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
98學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
98學年,雲林縣,7,3,-,1,3,1,-,-,1,-,6,3,-,-,3
98學年,嘉義縣,3,1,-,-,2,-,-,-,-,-,3,1,-,-,2
98學年,臺南縣,16,9,-,-,7,2,1,-,-,1,15,9,-,-,6
98學年,高雄縣,8,2,-,-,6,-,-,-,-,-,8,2,-,-,6
98學年,屏東縣,8,3,-,-,5,-,-,-,-,-,8,3,-,-,5
98學年,臺東縣,3,2,-,1,-,-,-,-,-,-,3,2,-,1,-
98學年,花蓮縣,7,4,-,-,3,1,-,-,-,1,6,4,-,-,2
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
98學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
98學年,臺中市,8,4,-,-,4,1,-,-,-,1,8,4,-,-,4
98學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
98學年,臺南市,11,4,-,-,7,1,1,-,-,-,10,3,-,-,7
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,224,85,6,13,120,30,6,1,11,12,204,82,5,2,115
97學年,臺北市,20,1,1,-,18,5,-,-,-,5,18,1,1,-,16
97學年,高雄市,11,-,5,-,6,1,-,1,-,-,10,-,4,-,6
97學年,臺北縣,30,5,-,10,15,9,-,-,9,-,21,5,-,1,15
97學年,宜蘭縣,6,6,-,-,-,-,-,-,-,-,6,6,-,-,-
97學年,桃園縣,19,5,-,-,14,3,-,-,-,3,18,5,-,-,13
97學年,新竹縣,6,1,-,-,5,2,1,-,-,1,6,1,-,-,5
97學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
97學年,臺中縣,15,6,-,-,9,-,-,-,-,-,15,6,-,-,9
97學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
97學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
97學年,雲林縣,7,3,-,1,3,1,-,-,1,-,6,3,-,-,3
97學年,嘉義縣,3,1,-,-,2,-,-,-,-,-,3,1,-,-,2
97學年,臺南縣,16,9,-,-,7,2,1,-,-,1,15,9,-,-,6
97學年,高雄縣,8,2,-,-,6,-,-,-,-,-,8,2,-,-,6
97學年,屏東縣,8,3,-,-,5,-,-,-,-,-,8,3,-,-,5
97學年,臺東縣,3,2,-,1,-,-,-,-,-,-,3,2,-,1,-
97學年,花蓮縣,7,4,-,-,3,1,-,-,-,1,6,4,-,-,2
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
97學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
97學年,臺中市,8,4,-,-,4,1,-,-,-,1,8,4,-,-,4
97學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
