學年別,學門別,總計計,總計男,總計女,教授計,教授男,教授女,副教授計,副教授男,副教授女,助理教授計,助理教授男,助理教授女,講師計,講師男,講師女,其他計,其他男,其他女,助教計,助教男,助教女
97學年,教育學門,1779,908,871,523,336,187,628,316,312,412,179,233,121,60,61,3,3,-,92,14,78
97學年,藝術學門,1169,595,574,274,170,104,346,169,177,255,122,133,183,84,99,46,35,11,65,15,50
97學年,人文學門,4705,2117,2588,795,527,268,1190,532,658,1381,597,784,1134,408,726,22,17,5,183,36,147
97學年,設計學門,1004,731,273,80,74,6,221,182,39,273,193,80,360,234,126,57,43,14,13,5,8
97學年,社會及行為科學學門,1830,1209,621,519,407,112,592,398,194,559,362,197,56,28,28,5,2,3,99,12,87
97學年,傳播學門,665,388,277,91,51,40,189,113,76,199,125,74,132,77,55,18,15,3,36,7,29
97學年,商業及管理學門,6490,4032,2458,841,724,117,1838,1272,566,1897,1222,675,1669,752,917,34,25,9,211,37,174
97學年,法律學門,544,396,148,155,132,23,165,118,47,172,122,50,20,13,7,4,4,-,28,7,21
97學年,生命科學學門,1218,825,393,351,260,91,306,209,97,466,326,140,38,7,31,2,1,1,55,22,33
97學年,自然科學學門,1343,1090,253,600,539,61,321,276,45,261,213,48,38,19,19,-,-,-,123,43,80
97學年,數學及統計學門,855,631,224,283,238,45,285,220,65,176,127,49,37,28,9,1,1,-,73,17,56
97學年,電算機學門,2148,1698,450,212,186,26,541,461,80,700,590,110,640,439,201,12,11,1,43,11,32
97學年,工程學門,10571,9678,893,2753,2643,110,3413,3200,213,2466,2239,227,1638,1434,204,39,39,-,262,123,139
97學年,建築及都市規劃學門,586,461,125,74,69,5,192,163,29,150,110,40,145,108,37,9,9,-,16,2,14
97學年,農業科學學門,913,681,232,296,258,38,296,213,83,198,144,54,97,57,40,2,2,-,24,7,17
97學年,獸醫學門,115,100,15,46,40,6,34,32,2,21,15,6,12,11,1,-,-,-,2,2,-
97學年,醫藥衛生學門,5378,2697,2681,972,736,236,1201,764,437,1274,751,523,1513,414,1099,185,12,173,233,20,213
97學年,社會服務學門,835,284,551,85,43,42,187,72,115,318,124,194,224,40,184,6,4,2,15,1,14
97學年,民生學門,2293,1375,918,217,172,45,520,363,157,732,476,256,676,288,388,110,69,41,38,7,31
97學年,運輸服務學門,272,226,46,35,33,2,81,70,11,93,76,17,50,37,13,3,3,-,10,7,3
97學年,環境保護學門,168,146,22,35,33,2,57,51,6,50,41,9,25,20,5,-,-,-,1,1,-
97學年,軍警國防安全學門,13,13,-,1,1,-,4,4,-,5,5,-,3,3,-,-,-,-,-,-,-
97學年,其他學門,6607,3535,3072,419,338,81,1175,738,437,817,457,360,2579,1128,1451,1348,799,549,269,75,194
""
