學年別,縣市別,總計,國立,直轄市立,縣市立,私立
98學年,高雄市,4,-,4,-,-
98學年,臺北縣,5,2,-,-,3
98學年,宜蘭縣,-,-,-,-,-
98學年,桃園縣,1,1,-,-,-
98學年,新竹縣,-,-,-,-,-
98學年,苗栗縣,-,-,-,-,-
98學年,臺中縣,1,1,-,-,-
98學年,彰化縣,3,3,-,-,-
98學年,南投縣,3,3,-,-,-
98學年,雲林縣,-,-,-,-,-
98學年,嘉義縣,1,1,-,-,-
98學年,臺南縣,2,2,-,-,-
98學年,高雄縣,2,1,-,-,1
98學年,屏東縣,1,1,-,-,-
98學年,臺東縣,1,1,-,-,-
98學年,花蓮縣,-,-,-,-,-
98學年,澎湖縣,-,-,-,-,-
98學年,基隆市,2,1,-,-,1
98學年,新竹市,-,-,-,-,-
98學年,臺中市,1,1,-,-,-
98學年,嘉義市,1,1,-,-,-
98學年,臺南市,1,1,-,-,-
98學年,金門縣,-,-,-,-,-
98學年,連江縣,-,-,-,-,-
97學年,總計,32,20,7,-,5
97學年,臺北市,3,-,3,-,-
97學年,高雄市,4,-,4,-,-
97學年,臺北縣,5,2,-,-,3
97學年,宜蘭縣,-,-,-,-,-
97學年,桃園縣,1,1,-,-,-
97學年,新竹縣,-,-,-,-,-
97學年,苗栗縣,-,-,-,-,-
97學年,臺中縣,1,1,-,-,-
97學年,彰化縣,3,3,-,-,-
97學年,南投縣,3,3,-,-,-
97學年,雲林縣,-,-,-,-,-
97學年,嘉義縣,1,1,-,-,-
97學年,臺南縣,2,2,-,-,-
97學年,高雄縣,2,1,-,-,1
97學年,屏東縣,1,1,-,-,-
97學年,臺東縣,1,1,-,-,-
97學年,花蓮縣,-,-,-,-,-
97學年,澎湖縣,-,-,-,-,-
97學年,基隆市,2,1,-,-,1
97學年,新竹市,-,-,-,-,-
97學年,臺中市,1,1,-,-,-
97學年,嘉義市,1,1,-,-,-
97學年,臺南市,1,1,-,-,-
97學年,金門縣,-,-,-,-,-
97學年,連江縣,-,-,-,-,-
""
