學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
104學年,南投縣,140,101,39,-,-,-,-,-,-,138,99,39,2,2,-,32,21,11,-,-,-,-,-,-,31,20,11,1,1,-
104學年,雲林縣,155,111,44,-,-,-,-,-,-,153,109,44,2,2,-,33,26,7,-,-,-,-,-,-,30,23,7,3,3,-
104學年,嘉義縣,124,87,37,-,-,-,-,-,-,124,87,37,-,-,-,23,17,6,-,-,-,-,-,-,23,17,6,-,-,-
104學年,屏東縣,167,135,32,1,1,-,-,-,-,166,134,32,-,-,-,35,23,12,-,-,-,-,-,-,34,22,12,1,1,-
104學年,臺東縣,88,65,23,1,1,-,-,-,-,87,64,23,-,-,-,21,16,5,-,-,-,-,-,-,21,16,5,-,-,-
104學年,花蓮縣,103,71,32,1,-,1,-,-,-,101,71,30,1,-,1,23,14,9,-,-,-,-,-,-,23,14,9,-,-,-
104學年,澎湖縣,40,32,8,-,-,-,-,-,-,40,32,8,-,-,-,14,11,3,-,-,-,-,-,-,14,11,3,-,-,-
104學年,基隆市,43,31,12,-,-,-,-,-,-,42,31,11,1,-,1,11,8,3,-,-,-,-,-,-,11,8,3,-,-,-
104學年,新竹市,32,17,15,1,1,-,-,-,-,29,15,14,2,1,1,13,9,4,-,-,-,-,-,-,12,8,4,1,1,-
104學年,嘉義市,20,12,8,1,1,-,-,-,-,19,11,8,-,-,-,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-
104學年,金門縣,19,15,4,-,-,-,-,-,-,19,15,4,-,-,-,5,3,2,-,-,-,-,-,-,5,3,2,-,-,-
104學年,連江縣,8,6,2,-,-,-,-,-,-,8,6,2,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-
103學年,總計,2644,1857,787,9,7,2,1027,709,318,1571,1125,446,37,16,21,738,484,254,-,-,-,329,212,117,392,260,132,17,12,5
103學年,新北市,214,155,59,-,-,-,208,152,56,-,-,-,6,3,3,63,38,25,-,-,-,62,37,25,-,-,-,1,1,-
103學年,臺北市,152,83,69,2,1,1,140,79,61,-,-,-,10,3,7,62,32,30,-,-,-,59,31,28,-,-,-,3,1,2
