學年別,洲別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
101學年,非洲,7,7,-,1,1,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,1,1,-,3,3,-,-,-,-,-,-,-,3,3,-,2,2,-,-,-,-,-,-,-,2,2,-
101學年,歐洲,138,108,30,49,41,8,2,2,-,87,65,22,20,19,1,9,9,-,1,1,-,10,9,1,7,5,2,2,2,-,-,-,-,5,3,2,17,15,2,8,6,2,1,1,-,8,8,-,81,59,22,29,23,6,-,-,-,52,36,16,13,10,3,1,1,-,-,-,-,12,9,3
101學年,美洲,209,172,37,93,81,12,1,1,-,115,90,25,55,48,7,37,34,3,-,-,-,18,14,4,25,18,7,14,11,3,-,-,-,11,7,4,23,17,6,12,9,3,-,-,-,11,8,3,91,75,16,26,23,3,1,1,-,64,51,13,15,14,1,4,4,-,-,-,-,11,10,1
100學年,總計,769,561,208,295,224,71,4,3,1,470,334,136,133,117,16,62,58,4,1,1,-,70,58,12,54,44,10,34,31,3,-,-,-,20,13,7,115,78,37,50,29,21,-,-,-,65,49,16,426,294,132,140,99,41,3,2,1,283,193,90,41,28,13,9,7,2,-,-,-,32,21,11
100學年,亞洲,356,226,130,122,83,39,1,-,1,233,143,90,31,29,2,19,19,-,-,-,-,12,10,2,17,14,3,12,11,1,-,-,-,5,3,2,57,35,22,17,8,9,-,-,-,40,27,13,232,136,96,70,41,29,1,-,1,161,95,66,19,12,7,4,4,-,-,-,-,15,8,7
100學年,大洋洲,18,17,1,4,3,1,-,-,-,14,14,-,5,5,-,2,2,-,-,-,-,3,3,-,1,1,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,10,9,1,2,1,1,-,-,-,8,8,-,1,1,-,-,-,-,-,-,-,1,1,-
100學年,非洲,5,5,-,1,1,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,1,1,-,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,歐洲,141,107,34,48,39,9,2,2,-,91,66,25,18,17,1,5,5,-,1,1,-,12,11,1,9,6,3,4,3,1,-,-,-,5,3,2,19,15,4,10,7,3,-,-,-,9,8,1,85,62,23,29,24,5,1,1,-,55,37,18,10,7,3,-,-,-,-,-,-,10,7,3
100學年,美洲,249,206,43,120,98,22,1,1,-,128,107,21,79,66,13,36,32,4,-,-,-,43,34,9,27,23,4,18,17,1,-,-,-,9,6,3,36,25,11,22,13,9,-,-,-,14,12,2,96,84,12,39,33,6,1,1,-,56,50,6,11,8,3,5,3,2,-,-,-,6,5,1
99學年,總計,667,493,174,223,176,47,4,4,-,440,313,127,127,111,16,42,39,3,1,1,-,84,71,13,46,40,6,25,25,-,-,-,-,21,15,6,87,65,22,35,25,10,-,-,-,52,40,12,362,239,123,113,79,34,3,3,-,246,157,89,45,38,7,8,8,-,-,-,-,37,30,7
99學年,亞洲,285,184,101,98,70,28,1,1,-,186,113,73,29,27,2,16,16,-,-,-,-,13,11,2,16,13,3,8,8,-,-,-,-,8,5,3,38,26,12,12,8,4,-,-,-,26,18,8,186,105,81,57,33,24,1,1,-,128,71,57,16,13,3,5,5,-,-,-,-,11,8,3
99學年,大洋洲,13,13,-,2,2,-,-,-,-,11,11,-,3,3,-,1,1,-,-,-,-,2,2,-,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,1,1,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-,2,2,-,-,-,-,-,-,-,2,2,-
99學年,非洲,4,4,-,1,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-
99學年,歐洲,135,100,35,39,32,7,2,2,-,94,66,28,22,19,3,4,4,-,1,1,-,17,14,3,9,7,2,5,5,-,-,-,-,4,2,2,20,16,4,8,5,3,-,-,-,12,11,1,77,53,24,21,17,4,1,1,-,55,35,20,7,5,2,1,1,-,-,-,-,6,4,2
99學年,美洲,230,192,38,83,71,12,1,1,-,146,120,26,73,62,11,21,18,3,-,-,-,52,44,8,19,18,1,12,12,-,-,-,-,7,6,1,27,21,6,13,10,3,-,-,-,14,11,3,92,74,18,35,29,6,1,1,-,56,44,12,19,17,2,2,2,-,-,-,-,17,15,2
98學年,總計,734,546,188,271,217,54,5,4,1,458,325,133,124,112,12,57,51,6,-,-,-,67,61,6,49,40,9,26,26,-,1,1,-,22,13,9,104,78,26,47,33,14,-,-,-,57,45,12,374,246,128,106,74,32,4,3,1,264,169,95,83,70,13,35,33,2,-,-,-,48,37,11
98學年,亞洲,296,187,109,99,74,25,2,1,1,195,112,83,26,24,2,15,14,1,-,-,-,11,10,1,14,10,4,8,8,-,-,-,-,6,2,4,42,30,12,15,11,4,-,-,-,27,19,8,190,105,85,52,33,19,2,1,1,136,71,65,24,18,6,9,8,1,-,-,-,15,10,5
98學年,大洋洲,18,17,1,2,2,-,-,-,-,16,15,1,4,4,-,1,1,-,-,-,-,3,3,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,-,-,-,-,-,-,8,7,1,4,4,-,1,1,-,-,-,-,3,3,-
98學年,非洲,4,4,-,1,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,歐洲,139,101,38,45,37,8,1,1,-,93,63,30,19,15,4,5,5,-,-,-,-,14,10,4,10,9,1,6,6,-,-,-,-,4,3,1,24,20,4,11,8,3,-,-,-,13,12,1,76,50,26,21,16,5,1,1,-,54,33,21,10,7,3,2,2,-,-,-,-,8,5,3
98學年,美洲,277,237,40,124,103,21,2,2,-,151,132,19,75,69,6,36,31,5,-,-,-,39,38,1,23,19,4,12,12,-,1,1,-,10,6,4,36,26,10,20,13,7,-,-,-,16,13,3,98,82,16,33,25,8,1,1,-,64,56,8,45,41,4,23,22,1,-,-,-,22,19,3
97學年,總計,684,502,182,227,180,47,5,4,1,452,318,134,113,105,8,47,43,4,-,-,-,66,62,4,61,46,15,24,21,3,1,1,-,36,24,12,82,59,23,28,20,8,-,-,-,54,39,15,349,230,119,87,61,26,4,3,1,258,166,92,79,62,17,41,35,6,-,-,-,38,27,11
97學年,亞洲,263,162,101,79,59,20,2,1,1,182,102,80,25,22,3,10,8,2,-,-,-,15,14,1,15,11,4,6,6,-,-,-,-,9,5,4,28,15,13,7,4,3,-,-,-,21,11,10,166,95,71,41,29,12,2,1,1,123,65,58,29,19,10,15,12,3,-,-,-,14,7,7
97學年,大洋洲,14,13,1,6,5,1,-,-,-,8,8,-,5,5,-,3,3,-,-,-,-,2,2,-,1,1,-,-,-,-,-,-,-,1,1,-,2,1,1,1,-,1,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-,4,4,-,2,2,-,-,-,-,2,2,-
97學年,非洲,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,歐洲,141,102,39,42,35,7,1,1,-,98,66,32,16,14,2,2,2,-,-,-,-,14,12,2,10,6,4,3,3,-,-,-,-,7,3,4,19,18,1,7,7,-,-,-,-,12,11,1,80,52,28,21,16,5,1,1,-,58,35,23,16,12,4,9,7,2,-,-,-,7,5,2
97學年,美洲,264,223,41,100,81,19,2,2,-,162,140,22,67,64,3,32,30,2,-,-,-,35,34,1,35,28,7,15,12,3,1,1,-,19,15,4,33,25,8,13,9,4,-,-,-,20,16,4,99,79,20,25,16,9,1,1,-,73,62,11,30,27,3,15,14,1,-,-,-,15,13,2
""
