學年別,等級別,總計計小計,總計計男,總計計女,總計1年級小計,總計1年級男,總計1年級女,總計2年級小計,總計2年級男,總計2年級女,總計3年級小計,總計3年級男,總計3年級女,總計4年級小計,總計4年級男,總計4年級女,總計5年級小計,總計5年級男,總計5年級女,總計6年級小計,總計6年級男,總計6年級女,總計7年級小計,總計7年級男,總計7年級女,總計延修生小計,總計延修生男,總計延修生女,國立計小計,國立計男,國立計女,國立1年級小計,國立1年級男,國立1年級女,國立2年級小計,國立2年級男,國立2年級女,國立3年級小計,國立3年級男,國立3年級女,國立4年級小計,國立4年級男,國立4年級女,國立5年級小計,國立5年級男,國立5年級女,國立6年級小計,國立6年級男,國立6年級女,國立7年級小計,國立7年級男,國立7年級女,國立延修生小計,國立延修生男,國立延修生女,直轄市立計小計,直轄市立計男,直轄市立計女,直轄市立1年級小計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級小計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級小計,直轄市立3年級男,直轄市立3年級女,直轄市立4年級小計,直轄市立4年級男,直轄市立4年級女,直轄市立5年級小計,直轄市立5年級男,直轄市立5年級女,直轄市立6年級小計,直轄市立6年級男,直轄市立6年級女,直轄市立7年級小計,直轄市立7年級男,直轄市立7年級女,直轄市立延修生小計,直轄市立延修生男,直轄市立延修生女,私立計小計,私立計男,私立計女,私立1年級小計,私立1年級男,私立1年級女,私立2年級小計,私立2年級男,私立2年級女,私立3年級小計,私立3年級男,私立3年級女,私立4年級小計,私立4年級男,私立4年級女,私立5年級小計,私立5年級男,私立5年級女,私立6年級小計,私立6年級男,私立6年級女,私立7年級小計,私立7年級男,私立7年級女,私立延修生小計,私立延修生男,私立延修生女
100學年,五專(含七年),247,84,163,81,26,55,84,31,53,82,27,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,247,84,163,81,26,55,84,31,53,82,27,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,二專,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,學士後學士學位,173,113,60,75,43,32,97,70,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,89,73,16,20,20,-,69,53,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,40,44,55,23,32,28,17,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
100學年,大學二年制(含二技),3945,1002,2943,-,-,-,-,-,-,1568,431,1137,1727,455,1272,494,67,427,-,-,-,-,-,-,156,49,107,672,301,371,-,-,-,-,-,-,277,122,155,277,117,160,68,36,32,-,-,-,-,-,-,50,26,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3273,701,2572,-,-,-,-,-,-,1291,309,982,1450,338,1112,426,31,395,-,-,-,-,-,-,106,23,83
100學年,大學四年制(含四技),501567,252058,249509,122490,60706,61784,118871,59320,59551,115122,56653,58469,114868,56113,58755,3732,1974,1758,1769,1135,634,1251,837,414,23464,15320,8144,179859,95745,84114,43129,22817,20312,42934,22842,20092,42329,22215,20114,41534,21587,19947,1122,560,562,543,337,206,312,221,91,7956,5166,2790,4668,2090,2578,1186,547,639,1117,500,617,1057,447,610,1126,477,649,-,-,-,-,-,-,-,-,-,182,119,63,317040,154223,162817,78175,37342,40833,74820,35978,38842,71736,33991,37745,72208,34049,38159,2610,1414,1196,1226,798,428,939,616,323,15326,10035,5291
100學年,碩士班,146810,79431,67379,54404,30311,24093,51341,28328,23013,20743,10189,10554,12349,6015,6334,1581,936,645,769,441,328,17,9,8,5606,3202,2404,95275,51622,43653,35370,20130,15240,33876,18961,14915,14229,6644,7585,7593,3442,4151,863,490,373,262,109,153,16,9,7,3066,1837,1229,2169,751,1418,700,257,443,712,249,463,400,134,266,269,77,192,38,16,22,44,15,29,-,-,-,6,3,3,49366,27058,22308,18334,9924,8410,16753,9118,7635,6114,3411,2703,4487,2496,1991,680,430,250,463,317,146,1,-,1,2534,1362,1172
100學年,博士班,30510,21190,9320,5319,3676,1643,5290,3655,1635,4983,3493,1490,4365,2997,1368,4074,2834,1240,3086,2137,949,2847,2021,826,546,377,169,24397,17187,7210,4177,2928,1249,4244,2963,1281,3994,2832,1162,3599,2492,1107,3376,2383,993,2529,1775,754,2296,1678,618,182,136,46,216,104,112,36,15,21,30,14,16,38,19,19,36,17,19,22,11,11,18,8,10,36,20,16,-,-,-,5897,3899,1998,1106,733,373,1016,678,338,951,642,309,730,488,242,676,440,236,539,354,185,515,323,192,364,241,123
99學年,總計,688111,357434,330677,181666,94993,86673,175754,91493,84261,146204,72876,73328,134834,66581,68253,10614,6090,4524,5711,3827,1884,4137,2892,1245,29191,18682,10509,301845,165810,136035,83954,46699,37255,82113,44992,37121,60877,31821,29056,51818,27379,24439,5826,3595,2231,3362,2318,1044,2541,1860,681,11354,7146,4208,7179,2962,4217,2031,822,1209,1943,758,1185,1424,564,860,1342,575,767,53,17,36,34,12,22,24,12,12,328,202,126,379087,188662,190425,95681,47472,48209,91698,45743,45955,83903,40491,43412,81674,38627,43047,4735,2478,2257,2315,1497,818,1572,1020,552,17509,11334,6175
99學年,五專(含七年),243,83,160,84,31,53,84,28,56,75,24,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,243,83,160,84,31,53,84,28,56,75,24,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,二專,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
