學年別,縣市別,國民小學總計計,國民小學總計男,國民小學總計女,國民小學國立計,國民小學國立男,國民小學國立女,國民小學直轄市立計,國民小學直轄市立男,國民小學直轄市立女,國民小學縣市立計,國民小學縣市立男,國民小學縣市立女,國民小學私立計,國民小學私立男,國民小學私立女,國民中學總計計,國民中學總計男,國民中學總計女,國民中學國立計,國民中學國立男,國民中學國立女,國民中學直轄市立計,國民中學直轄市立男,國民中學直轄市立女,國民中學縣市立計,國民中學縣市立男,國民中學縣市立女,國民中學私立計,國民中學私立男,國民中學私立女
102學年,彰化縣,423,85,338,-,-,-,-,-,-,423,85,338,-,-,-,374,90,284,-,-,-,-,-,-,374,90,284,-,-,-
102學年,南投縣,245,40,205,-,-,-,-,-,-,221,33,188,24,7,17,226,63,163,-,-,-,-,-,-,216,59,157,10,4,6
102學年,雲林縣,355,62,293,-,-,-,-,-,-,331,53,278,24,9,15,280,63,217,-,-,-,-,-,-,247,54,193,33,9,24
102學年,嘉義縣,270,43,227,-,-,-,-,-,-,270,43,227,-,-,-,128,25,103,-,-,-,-,-,-,128,25,103,-,-,-
102學年,屏東縣,352,47,305,5,4,1,-,-,-,347,43,304,-,-,-,215,46,169,-,-,-,-,-,-,203,42,161,12,4,8
102學年,臺東縣,234,66,168,6,1,5,-,-,-,223,65,158,5,-,5,151,47,104,-,-,-,-,-,-,138,43,95,13,4,9
102學年,花蓮縣,253,54,199,5,1,4,-,-,-,236,53,183,12,-,12,148,45,103,-,-,-,-,-,-,148,45,103,-,-,-
102學年,澎湖縣,22,3,19,-,-,-,-,-,-,22,3,19,-,-,-,49,20,29,-,-,-,-,-,-,49,20,29,-,-,-
102學年,基隆市,158,29,129,-,-,-,-,-,-,149,28,121,9,1,8,108,27,81,-,-,-,-,-,-,108,27,81,-,-,-
102學年,新竹市,186,20,166,14,-,14,-,-,-,160,19,141,12,1,11,123,22,101,-,-,-,-,-,-,123,22,101,-,-,-
102學年,嘉義市,69,6,63,5,2,3,-,-,-,64,4,60,-,-,-,86,13,73,-,-,-,-,-,-,86,13,73,-,-,-
102學年,金門縣,52,18,34,-,-,-,-,-,-,52,18,34,-,-,-,47,21,26,-,-,-,-,-,-,47,21,26,-,-,-
102學年,連江縣,6,3,3,-,-,-,-,-,-,6,3,3,-,-,-,24,12,12,-,-,-,-,-,-,24,12,12,-,-,-
101學年,總計,8322,1271,7051,60,12,48,4221,591,3630,3762,613,3149,279,55,224,6480,1334,5146,-,-,-,3366,586,2780,2994,709,2285,120,39,81
101學年,新北市,906,125,781,-,-,-,870,122,748,-,-,-,36,3,33,622,103,519,-,-,-,592,91,501,-,-,-,30,12,18
101學年,臺北市,1116,197,919,12,4,8,1032,175,857,-,-,-,72,18,54,979,153,826,-,-,-,967,151,816,-,-,-,12,2,10
101學年,臺中市,825,109,716,5,1,4,790,103,687,-,-,-,30,5,25,627,126,501,-,-,-,627,126,501,-,-,-,-,-,-
101學年,臺南市,722,99,623,9,2,7,703,97,606,-,-,-,10,-,10,464,79,385,-,-,-,450,73,377,-,-,-,14,6,8
101學年,高雄市,839,94,745,-,-,-,826,94,732,-,-,-,13,-,13,734,146,588,-,-,-,730,145,585,-,-,-,4,1,3
101學年,宜蘭縣,271,61,210,-,-,-,-,-,-,269,60,209,2,1,1,191,46,145,-,-,-,-,-,-,191,46,145,-,-,-
101學年,桃園縣,578,71,507,-,-,-,-,-,-,552,65,487,26,6,20,570,126,444,-,-,-,-,-,-,570,126,444,-,-,-
101學年,新竹縣,240,29,211,-,-,-,-,-,-,229,28,201,11,1,10,196,29,167,-,-,-,-,-,-,196,29,167,-,-,-
101學年,苗栗縣,286,46,240,-,-,-,-,-,-,286,46,240,-,-,-,151,34,117,-,-,-,-,-,-,151,34,117,-,-,-
101學年,彰化縣,380,64,316,-,-,-,-,-,-,380,64,316,-,-,-,380,91,289,-,-,-,-,-,-,380,91,289,-,-,-
101學年,南投縣,232,40,192,-,-,-,-,-,-,208,30,178,24,10,14,222,62,160,-,-,-,-,-,-,214,60,154,8,2,6
101學年,雲林縣,354,63,291,-,-,-,-,-,-,330,54,276,24,9,15,268,55,213,-,-,-,-,-,-,233,45,188,35,10,25
101學年,嘉義縣,269,37,232,-,-,-,-,-,-,269,37,232,-,-,-,132,31,101,-,-,-,-,-,-,132,31,101,-,-,-
101學年,屏東縣,357,47,310,4,3,1,-,-,-,353,44,309,-,-,-,215,47,168,-,-,-,-,-,-,203,43,160,12,4,8
101學年,臺東縣,209,56,153,5,1,4,-,-,-,202,55,147,2,-,2,139,44,95,-,-,-,-,-,-,134,42,92,5,2,3
101學年,花蓮縣,258,56,202,5,-,5,-,-,-,241,56,185,12,-,12,153,47,106,-,-,-,-,-,-,153,47,106,-,-,-
101學年,澎湖縣,24,5,19,-,-,-,-,-,-,24,5,19,-,-,-,49,20,29,-,-,-,-,-,-,49,20,29,-,-,-
101學年,基隆市,152,27,125,-,-,-,-,-,-,144,26,118,8,1,7,108,26,82,-,-,-,-,-,-,108,26,82,-,-,-
101學年,新竹市,182,20,162,15,-,15,-,-,-,158,19,139,9,1,8,121,19,102,-,-,-,-,-,-,121,19,102,-,-,-
101學年,嘉義市,70,7,63,5,1,4,-,-,-,65,6,59,-,-,-,89,16,73,-,-,-,-,-,-,89,16,73,-,-,-
101學年,金門縣,47,16,31,-,-,-,-,-,-,47,16,31,-,-,-,46,23,23,-,-,-,-,-,-,46,23,23,-,-,-
101學年,連江縣,5,2,3,-,-,-,-,-,-,5,2,3,-,-,-,24,11,13,-,-,-,-,-,-,24,11,13,-,-,-
100學年,總計,8046,1210,6836,61,12,49,4068,535,3533,3640,608,3032,277,55,222,6509,1307,5202,-,-,-,3353,554,2799,3023,710,2313,133,43,90
100學年,新北市,875,128,747,-,-,-,834,125,709,-,-,-,41,3,38,626,102,524,-,-,-,601,92,509,-,-,-,25,10,15
100學年,臺北市,1137,170,967,12,2,10,1056,150,906,-,-,-,69,18,51,983,155,828,-,-,-,969,153,816,-,-,-,14,2,12
100學年,臺中市,786,104,682,5,1,4,745,97,648,-,-,-,36,6,30,608,111,497,-,-,-,604,109,495,-,-,-,4,2,2
100學年,臺南市,610,75,535,8,2,6,593,72,521,-,-,-,9,1,8,475,82,393,-,-,-,459,75,384,-,-,-,16,7,9
100學年,高雄市,854,92,762,-,-,-,840,91,749,-,-,-,14,1,13,724,126,598,-,-,-,720,125,595,-,-,-,4,1,3
100學年,宜蘭縣,266,62,204,-,-,-,-,-,-,264,61,203,2,1,1,191,46,145,-,-,-,-,-,-,191,46,145,-,-,-
100學年,桃園縣,537,65,472,-,-,-,-,-,-,518,61,457,19,4,15,587,126,461,-,-,-,-,-,-,587,126,461,-,-,-
100學年,新竹縣,220,29,191,-,-,-,-,-,-,207,25,182,13,4,9,193,31,162,-,-,-,-,-,-,186,27,159,7,4,3
100學年,苗栗縣,286,49,237,-,-,-,-,-,-,286,49,237,-,-,-,155,35,120,-,-,-,-,-,-,155,35,120,-,-,-
100學年,彰化縣,342,55,287,-,-,-,-,-,-,342,55,287,-,-,-,385,85,300,-,-,-,-,-,-,385,85,300,-,-,-
100學年,南投縣,219,37,182,-,-,-,-,-,-,197,30,167,22,7,15,221,66,155,-,-,-,-,-,-,213,64,149,8,2,6
100學年,雲林縣,351,66,285,-,-,-,-,-,-,329,57,272,22,9,13,263,52,211,-,-,-,-,-,-,227,44,183,36,8,28
100學年,嘉義縣,276,47,229,-,-,-,-,-,-,276,47,229,-,-,-,137,31,106,-,-,-,-,-,-,137,31,106,-,-,-
100學年,屏東縣,359,50,309,5,4,1,-,-,-,354,46,308,-,-,-,228,52,176,-,-,-,-,-,-,215,48,167,13,4,9
100學年,臺東縣,203,54,149,6,1,5,-,-,-,195,53,142,2,-,2,138,47,91,-,-,-,-,-,-,132,44,88,6,3,3
100學年,花蓮縣,250,50,200,5,-,5,-,-,-,233,50,183,12,-,12,148,41,107,-,-,-,-,-,-,148,41,107,-,-,-
100學年,澎湖縣,20,3,17,-,-,-,-,-,-,20,3,17,-,-,-,49,20,29,-,-,-,-,-,-,49,20,29,-,-,-
100學年,基隆市,148,28,120,-,-,-,-,-,-,143,28,115,5,-,5,117,28,89,-,-,-,-,-,-,117,28,89,-,-,-
100學年,新竹市,183,20,163,15,-,15,-,-,-,157,19,138,11,1,10,122,18,104,-,-,-,-,-,-,122,18,104,-,-,-
100學年,嘉義市,72,8,64,5,2,3,-,-,-,67,6,61,-,-,-,86,16,70,-,-,-,-,-,-,86,16,70,-,-,-
100學年,金門縣,47,16,31,-,-,-,-,-,-,47,16,31,-,-,-,49,24,25,-,-,-,-,-,-,49,24,25,-,-,-
100學年,連江縣,5,2,3,-,-,-,-,-,-,5,2,3,-,-,-,24,13,11,-,-,-,-,-,-,24,13,11,-,-,-
99學年,總計,7925,1164,6761,52,10,42,1544,198,1346,6043,894,5149,286,62,224,6593,1290,5303,-,-,-,1398,215,1183,5060,1034,4026,135,41,94
99學年,臺北市,1169,174,995,10,2,8,1091,153,938,-,-,-,68,19,49,1005,150,855,-,-,-,992,146,846,-,-,-,13,4,9
99學年,高雄市,460,46,414,-,-,-,453,45,408,-,-,-,7,1,6,411,71,340,-,-,-,406,69,337,-,-,-,5,2,3
99學年,臺北縣,868,120,748,-,-,-,-,-,-,826,115,711,42,5,37,618,94,524,-,-,-,-,-,-,593,84,509,25,10,15
99學年,宜蘭縣,267,62,205,-,-,-,-,-,-,267,62,205,-,-,-,195,53,142,-,-,-,-,-,-,195,53,142,-,-,-
99學年,桃園縣,529,63,466,-,-,-,-,-,-,510,58,452,19,5,14,567,108,459,-,-,-,-,-,-,567,108,459,-,-,-
99學年,新竹縣,217,32,185,-,-,-,-,-,-,205,30,175,12,2,10,198,32,166,-,-,-,-,-,-,192,30,162,6,2,4
99學年,苗栗縣,239,44,195,-,-,-,-,-,-,239,44,195,-,-,-,160,36,124,-,-,-,-,-,-,160,36,124,-,-,-
99學年,臺中縣,469,55,414,-,-,-,-,-,-,459,55,404,10,-,10,394,87,307,-,-,-,-,-,-,394,87,307,-,-,-
99學年,彰化縣,309,44,265,-,-,-,-,-,-,309,44,265,-,-,-,397,92,305,-,-,-,-,-,-,397,92,305,-,-,-
99學年,南投縣,200,26,174,-,-,-,-,-,-,178,20,158,22,6,16,219,64,155,-,-,-,-,-,-,210,61,149,9,3,6
99學年,雲林縣,354,70,284,-,-,-,-,-,-,330,61,269,24,9,15,256,49,207,-,-,-,-,-,-,223,42,181,33,7,26
99學年,嘉義縣,266,40,226,-,-,-,-,-,-,266,40,226,-,-,-,138,28,110,-,-,-,-,-,-,138,28,110,-,-,-
99學年,臺南縣,408,44,364,3,1,2,-,-,-,405,43,362,-,-,-,309,60,249,-,-,-,-,-,-,293,55,238,16,5,11
99學年,高雄縣,416,51,365,-,-,-,-,-,-,408,48,360,8,3,5,335,61,274,-,-,-,-,-,-,335,61,274,-,-,-
99學年,屏東縣,339,49,290,5,3,2,-,-,-,334,46,288,-,-,-,238,52,186,-,-,-,-,-,-,224,48,176,14,4,10
99學年,臺東縣,201,50,151,6,1,5,-,-,-,190,48,142,5,1,4,137,41,96,-,-,-,-,-,-,132,40,92,5,1,4
99學年,花蓮縣,244,47,197,5,-,5,-,-,-,227,47,180,12,-,12,146,43,103,-,-,-,-,-,-,146,43,103,-,-,-
99學年,澎湖縣,19,4,15,-,-,-,-,-,-,19,4,15,-,-,-,50,19,31,-,-,-,-,-,-,50,19,31,-,-,-
99學年,基隆市,144,25,119,-,-,-,-,-,-,141,25,116,3,-,3,123,26,97,-,-,-,-,-,-,123,26,97,-,-,-
99學年,新竹市,166,15,151,8,-,8,-,-,-,148,14,134,10,1,9,121,13,108,-,-,-,-,-,-,116,12,104,5,1,4
99學年,臺中市,286,40,246,5,1,4,-,-,-,252,32,220,29,7,22,226,32,194,-,-,-,-,-,-,222,30,192,4,2,2
99學年,嘉義市,68,6,62,5,1,4,-,-,-,63,5,58,-,-,-,85,14,71,-,-,-,-,-,-,85,14,71,-,-,-
99學年,臺南市,233,36,197,5,1,4,-,-,-,213,32,181,15,3,12,191,30,161,-,-,-,-,-,-,191,30,161,-,-,-
99學年,金門縣,47,18,29,-,-,-,-,-,-,47,18,29,-,-,-,50,23,27,-,-,-,-,-,-,50,23,27,-,-,-
99學年,連江縣,7,3,4,-,-,-,-,-,-,7,3,4,-,-,-,24,12,12,-,-,-,-,-,-,24,12,12,-,-,-
