學年別,縣市別,國民小學總計,國民小學國立,國民小學直轄市立,國民小學縣市立,國民小學私立,國民中學總計,國民中學國立,國民中學直轄市立,國民中學縣市立,國民中學私立
99學年,彰化縣,175,-,-,175,-,38,-,-,38,-
99學年,南投縣,149,-,-,147,2,32,-,-,31,1
99學年,雲林縣,158,-,-,156,2,32,-,-,29,3
99學年,嘉義縣,127,-,-,127,-,23,-,-,23,-
99學年,臺南縣,163,-,-,163,-,42,-,-,40,2
99學年,高雄縣,153,-,-,153,-,43,-,-,43,-
99學年,屏東縣,167,1,-,166,-,35,-,-,34,1
99學年,臺東縣,92,1,-,90,1,22,-,-,21,1
99學年,花蓮縣,107,1,-,104,2,23,-,-,23,-
99學年,澎湖縣,41,-,-,41,-,14,-,-,14,-
99學年,基隆市,43,-,-,42,1,13,-,-,13,-
99學年,新竹市,32,1,-,29,2,13,-,-,12,1
99學年,臺中市,69,1,-,63,5,25,-,-,24,1
99學年,嘉義市,20,1,-,19,-,8,-,-,8,-
99學年,臺南市,49,1,-,46,2,18,-,-,18,-
99學年,金門縣,19,-,-,19,-,5,-,-,5,-
99學年,連江縣,8,-,-,8,-,5,-,-,5,-
98學年,總計,2658,9,229,2383,37,740,-,94,629,17
98學年,臺北市,153,2,141,-,10,62,-,59,-,3
98學年,高雄市,88,-,88,-,-,36,-,35,-,1
98學年,臺北縣,209,-,-,204,5,64,-,-,63,1
98學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
98學年,桃園縣,189,-,-,187,2,56,-,-,56,-
98學年,新竹縣,84,-,-,82,2,29,-,-,28,1
98學年,苗栗縣,121,-,-,121,-,30,-,-,30,-
98學年,臺中縣,166,-,-,165,1,46,-,-,46,-
98學年,彰化縣,175,-,-,175,-,39,-,-,39,-
98學年,南投縣,149,-,-,147,2,32,-,-,30,2
98學年,雲林縣,158,-,-,156,2,32,-,-,29,3
98學年,嘉義縣,127,-,-,127,-,23,-,-,23,-
98學年,臺南縣,163,-,-,163,-,42,-,-,40,2
98學年,高雄縣,153,-,-,153,-,43,-,-,43,-
98學年,屏東縣,167,1,-,166,-,36,-,-,35,1
98學年,臺東縣,92,1,-,90,1,22,-,-,21,1
98學年,花蓮縣,107,1,-,104,2,23,-,-,23,-
98學年,澎湖縣,41,-,-,41,-,14,-,-,14,-
98學年,基隆市,43,-,-,42,1,13,-,-,13,-
98學年,新竹市,32,1,-,29,2,13,-,-,12,1
98學年,臺中市,68,1,-,62,5,24,-,-,23,1
98學年,嘉義市,20,1,-,19,-,8,-,-,8,-
98學年,臺南市,49,1,-,46,2,18,-,-,18,-
98學年,金門縣,19,-,-,19,-,5,-,-,5,-
98學年,連江縣,8,-,-,8,-,5,-,-,5,-
97學年,總計,2654,9,229,2379,37,740,-,94,628,18
97學年,臺北市,153,2,141,-,10,62,-,59,-,3
97學年,高雄市,88,-,88,-,-,36,-,35,-,1
97學年,臺北縣,210,-,-,204,6,65,-,-,63,2
97學年,宜蘭縣,77,-,-,77,-,25,-,-,25,-
97學年,桃園縣,189,-,-,187,2,57,-,-,57,-
97學年,新竹縣,84,-,-,82,2,28,-,-,27,1
97學年,苗栗縣,120,-,-,120,-,30,-,-,30,-
97學年,臺中縣,166,-,-,165,1,46,-,-,46,-
97學年,彰化縣,175,-,-,175,-,39,-,-,39,-
97學年,南投縣,150,-,-,148,2,32,-,-,30,2
97學年,雲林縣,158,-,-,156,2,33,-,-,29,4
97學年,嘉義縣,127,-,-,127,-,22,-,-,22,-
97學年,臺南縣,163,-,-,163,-,42,-,-,40,2
97學年,高雄縣,152,-,-,152,-,43,-,-,43,-
97學年,屏東縣,166,1,-,165,-,36,-,-,35,1
97學年,臺東縣,91,1,-,90,-,21,-,-,21,-
97學年,花蓮縣,107,1,-,104,2,23,-,-,23,-
97學年,澎湖縣,41,-,-,41,-,14,-,-,14,-
97學年,基隆市,43,-,-,42,1,13,-,-,13,-
97學年,新竹市,31,1,-,28,2,13,-,-,12,1
97學年,臺中市,67,1,-,61,5,24,-,-,23,1
97學年,嘉義市,20,1,-,19,-,8,-,-,8,-
97學年,臺南市,49,1,-,46,2,18,-,-,18,-
97學年,金門縣,19,-,-,19,-,5,-,-,5,-
97學年,連江縣,8,-,-,8,-,5,-,-,5,-
""
