學年別,領域別,總計計,總計男,總計女,副學士(五專)計,副學士(五專)男,副學士(五專)女,副學士(二專)計,副學士(二專)男,副學士(二專)女,學士後學士學位計,學士後學士學位男,學士後學士學位女,二年制學士(含二技)計,二年制學士(含二技)男,二年制學士(含二技)女,四年制學士(含四技)計,四年制學士(含四技)男,四年制學士(含四技)女,碩士計,碩士男,碩士女,博士計,博士男,博士女
97學年,科學,34156,21409,12747,952,498,454,1649,1006,643,-,-,-,3995,2560,1435,20515,12663,7852,6461,4242,2219,584,440,144
97學年,工程、製造及營造,80411,69583,10828,1816,1658,158,3616,3228,388,-,-,-,9996,8923,1073,44829,38455,6374,18694,15995,2699,1460,1324,136
97學年,農學,6300,3009,3291,28,14,14,170,102,68,-,-,-,366,162,204,4265,1981,2284,1350,664,686,121,86,35
97學年,醫藥衛生及社福,37409,7137,30272,6321,562,5759,2654,369,2285,-,-,-,9587,675,8912,15746,4409,11337,2785,944,1841,316,178,138
97學年,服務,23242,8734,14508,277,84,193,3126,1289,1837,-,-,-,3308,1231,2077,14576,5110,9466,1930,1000,930,25,20,5
97學年,其他,31,10,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31,10,21,-,-,-
96學年,總計,323540,161169,162371,14914,4387,10527,20901,10600,10301,-,-,-,51340,24310,27030,178858,86009,92849,54387,33569,20818,3140,2294,846
96學年,教育,11184,3913,7271,-,-,-,-,-,-,-,-,-,244,93,151,5632,1833,3799,5098,1872,3226,210,115,95
96學年,人文及藝術,37734,10165,27569,2102,312,1790,1246,491,755,-,-,-,4474,1197,3277,25239,6588,18651,4452,1466,2986,221,111,110
96學年,社會科學、商業及法律,88983,33067,55916,2479,494,1985,4349,1688,2661,-,-,-,13638,4280,9358,52717,18137,34580,15256,8132,7124,544,336,208
96學年,科學,36104,22500,13604,1283,708,575,2823,1728,1095,-,-,-,5299,3457,1842,20154,12196,7958,6024,4028,1996,521,383,138
96學年,工程、製造及營造,84865,73881,10984,2437,2215,222,5115,4720,395,-,-,-,14724,13275,1449,43214,36877,6337,18109,15660,2449,1266,1134,132
96學年,農學,6211,2934,3277,71,40,31,165,83,82,-,-,-,511,233,278,4165,1935,2230,1210,587,623,89,56,33
96學年,醫藥衛生及社福,37561,6940,30621,6232,507,5725,3795,479,3316,-,-,-,9448,713,8735,15288,4189,11099,2526,904,1622,272,148,124
96學年,服務,20865,7755,13110,310,111,199,3408,1411,1997,-,-,-,3002,1062,1940,12449,4254,8195,1679,906,773,17,11,6
96學年,其他,33,14,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,14,19,-,-,-
""
