學年別,年資別,高級中等學校總計計,高級中等學校總計男,高級中等學校總計女,高級中等學校國立計,高級中等學校國立男,高級中等學校國立女,高級中等學校直轄市立計,高級中等學校直轄市立男,高級中等學校直轄市立女,高級中等學校縣市立計,高級中等學校縣市立男,高級中等學校縣市立女,高級中等學校私立計,高級中等學校私立男,高級中等學校私立女,高級中學總計計,高級中學總計男,高級中學總計女,高級中學國立計,高級中學國立男,高級中學國立女,高級中學直轄市立計,高級中學直轄市立男,高級中學直轄市立女,高級中學縣市立計,高級中學縣市立男,高級中學縣市立女,高級中學私立計,高級中學私立男,高級中學私立女,職業學校總計計,職業學校總計男,職業學校總計女,職業學校國立計,職業學校國立男,職業學校國立女,職業學校直轄市立計,職業學校直轄市立男,職業學校直轄市立女,職業學校縣市立計,職業學校縣市立男,職業學校縣市立女,職業學校私立計,職業學校私立男,職業學校私立女
103學年,總計,55699,23454,32245,17630,8059,9571,14916,5584,9332,3878,1367,2511,19275,8444,10831,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,未滿1年,3676,1596,2080,711,338,373,1008,378,630,428,160,268,1529,720,809,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,1年至未滿5年,9872,4248,5624,2574,1178,1396,2255,866,1389,702,243,459,4341,1961,2380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,5年至未滿10年,9626,3727,5899,2944,1215,1729,2349,859,1490,699,229,470,3634,1424,2210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,10年至未滿15年,11025,4081,6944,3838,1539,2299,3169,1026,2143,1090,358,732,2928,1158,1770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,15年至未滿20年,7786,3292,4494,2680,1209,1471,2489,1000,1489,532,203,329,2085,880,1205,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,20年至未滿25年,7457,3278,4179,2549,1253,1296,2049,759,1290,303,114,189,2556,1152,1404,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,25年至未滿30年,3712,1781,1931,1484,804,680,1144,457,687,78,38,40,1006,482,524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,30年以上,2545,1451,1094,850,523,327,453,239,214,46,22,24,1196,667,529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37842,14813,23029,8625,3615,5010,11625,3946,7679,3667,1303,2364,13925,5949,7976,17045,8143,8902,9024,4456,4568,2962,1420,1542,-,-,-,5059,2267,2792
102學年,未滿1年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2393,921,1472,384,158,226,640,216,424,337,110,227,1032,437,595,1311,638,673,446,216,230,185,81,104,-,-,-,680,341,339
102學年,1年至未滿5年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6257,2545,3712,1224,541,683,1491,542,949,633,246,387,2909,1216,1693,3208,1523,1685,1364,667,697,580,270,310,-,-,-,1264,586,678
102學年,5年至未滿10年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7063,2565,4498,1466,557,909,1922,605,1317,781,256,525,2894,1147,1747,3264,1346,1918,1728,730,998,583,244,339,-,-,-,953,372,581
102學年,10年至未滿15年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7541,2701,4840,1853,727,1126,2646,831,1815,1005,327,678,2037,816,1221,3013,1232,1781,1929,828,1101,497,187,310,-,-,-,587,217,370
102學年,15年至未滿20年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5462,2180,3282,1353,593,760,2027,727,1300,497,192,305,1585,668,917,2038,928,1110,1161,526,635,349,170,179,-,-,-,528,232,296
102學年,20年至未滿25年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5123,2004,3119,1284,543,741,1725,562,1163,293,112,181,1821,787,1034,2210,1243,967,1251,739,512,398,242,156,-,-,-,561,262,299
102學年,25年至未滿30年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2333,1003,1330,684,289,395,878,325,553,73,33,40,698,356,342,1226,752,474,756,489,267,246,150,96,-,-,-,224,113,111
102學年,30年以上,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1670,894,776,377,207,170,296,138,158,48,27,21,949,522,427,775,481,294,389,261,128,124,76,48,-,-,-,262,144,118
101學年,總計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37159,14569,22590,9465,3947,5518,10570,3552,7018,3293,1167,2126,13831,5903,7928,17166,8146,9020,9693,4792,4901,2379,1113,1266,-,-,-,5094,2241,2853
101學年,未滿1年,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2668,1034,1634,497,210,287,679,221,458,288,110,178,1204,493,711,1324,631,693,481,229,252,143,66,77,-,-,-,700,336,364
