學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
101學年,獨立學院,62,39,23,5,5,-,1,1,-,56,33,23,1,1,-,-,-,-,-,-,-,1,1,-,2,-,2,-,-,-,-,-,-,2,-,2,5,3,2,-,-,-,-,-,-,5,3,2,51,32,19,5,5,-,1,1,-,45,26,19,3,3,-,-,-,-,-,-,-,3,3,-
101學年,大學,693,505,188,308,232,76,4,3,1,381,270,111,117,105,12,75,69,6,1,1,-,41,35,6,46,34,12,29,22,7,-,-,-,17,12,5,103,73,30,49,34,15,1,1,-,53,38,15,361,243,118,133,91,42,2,1,1,226,151,75,66,50,16,22,16,6,-,-,-,44,34,10
100學年,總計,769,561,208,295,224,71,4,3,1,470,334,136,133,117,16,62,58,4,1,1,-,70,58,12,54,44,10,34,31,3,-,-,-,20,13,7,115,78,37,50,29,21,-,-,-,65,49,16,426,294,132,140,99,41,3,2,1,283,193,90,41,28,13,9,7,2,-,-,-,32,21,11
100學年,專科學校,3,3,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,獨立學院,75,52,23,28,21,7,-,-,-,47,31,16,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,3,3,-,-,-,-,-,-,-,5,2,3,3,1,2,-,-,-,2,1,1,63,45,18,22,17,5,-,-,-,41,28,13,4,2,2,-,-,-,-,-,-,4,2,2
100學年,大學,691,506,185,267,203,64,4,3,1,420,300,120,133,117,16,62,58,4,1,1,-,70,58,12,51,41,10,31,28,3,-,-,-,20,13,7,109,75,34,47,28,19,-,-,-,62,47,15,361,247,114,118,82,36,3,2,1,240,163,77,37,26,11,9,7,2,-,-,-,28,19,9
99學年,總計,667,493,174,223,176,47,4,4,-,440,313,127,127,111,16,42,39,3,1,1,-,84,71,13,46,40,6,25,25,-,-,-,-,21,15,6,87,65,22,35,25,10,-,-,-,52,40,12,362,239,123,113,79,34,3,3,-,246,157,89,45,38,7,8,8,-,-,-,-,37,30,7
99學年,專科學校,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,獨立學院,60,45,15,20,15,5,-,-,-,40,30,10,3,2,1,-,-,-,-,-,-,3,2,1,4,3,1,2,2,-,-,-,-,2,1,1,2,2,-,2,2,-,-,-,-,-,-,-,50,37,13,16,11,5,-,-,-,34,26,8,1,1,-,-,-,-,-,-,-,1,1,-
99學年,大學,602,444,158,203,161,42,4,4,-,395,279,116,124,109,15,42,39,3,1,1,-,81,69,12,42,37,5,23,23,-,-,-,-,19,14,5,85,63,22,33,23,10,-,-,-,52,40,12,307,198,109,97,68,29,3,3,-,207,127,80,44,37,7,8,8,-,-,-,-,36,29,7
98學年,總計,734,546,188,271,217,54,5,4,1,458,325,133,124,112,12,57,51,6,-,-,-,67,61,6,49,40,9,26,26,-,1,1,-,22,13,9,104,78,26,47,33,14,-,-,-,57,45,12,374,246,128,106,74,32,4,3,1,264,169,95,83,70,13,35,33,2,-,-,-,48,37,11
98學年,專科學校,8,3,5,-,-,-,-,-,-,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,5,-,-,-,-,-,-,8,3,5,-,-,-,-,-,-,-,-,-,-,-,-
98學年,獨立學院,61,43,18,22,16,6,-,-,-,39,27,12,1,1,-,-,-,-,-,-,-,1,1,-,2,1,1,1,1,-,-,-,-,1,-,1,7,6,1,6,5,1,-,-,-,1,1,-,45,31,14,12,8,4,-,-,-,33,23,10,6,4,2,3,2,1,-,-,-,3,2,1
98學年,大學,665,500,165,249,201,48,5,4,1,411,295,116,123,111,12,57,51,6,-,-,-,66,60,6,47,39,8,25,25,-,1,1,-,21,13,8,97,72,25,41,28,13,-,-,-,56,44,12,321,212,109,94,66,28,4,3,1,223,143,80,77,66,11,32,31,1,-,-,-,45,35,10
97學年,總計,684,502,182,227,180,47,5,4,1,452,318,134,113,105,8,47,43,4,-,-,-,66,62,4,61,46,15,24,21,3,1,1,-,36,24,12,82,59,23,28,20,8,-,-,-,54,39,15,349,230,119,87,61,26,4,3,1,258,166,92,79,62,17,41,35,6,-,-,-,38,27,11
97學年,專科學校,8,5,3,-,-,-,-,-,-,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,6,5,1,-,-,-,-,-,-,6,5,1,1,-,1,-,-,-,-,-,-,1,-,1
97學年,獨立學院,53,35,18,14,9,5,-,-,-,39,26,13,4,4,-,1,1,-,-,-,-,3,3,-,4,1,3,2,-,2,-,-,-,2,1,1,3,2,1,1,1,-,-,-,-,2,1,1,40,28,12,10,7,3,-,-,-,30,21,9,2,-,2,-,-,-,-,-,-,2,-,2
