學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,延修生計,延修生男,延修生女
104學年,22歲以上,7644,3492,4152,2483,1139,1344,2535,1127,1408,2618,1220,1398,5,3,2,3,3,-
103學年,總計,818866,439546,379320,266878,145175,121703,268614,143984,124630,281835,149399,132436,776,374,402,763,614,149
103學年,未滿14歲,10,5,5,9,5,4,1,-,1,-,-,-,-,-,-,-,-,-
103學年,14至未滿15歲,1398,723,675,1391,718,673,7,5,2,-,-,-,-,-,-,-,-,-
103學年,15至未滿16歲,245073,131734,113339,243925,131141,112784,1129,580,549,19,13,6,-,-,-,-,-,-
103學年,16至未滿17歲,257906,137681,120225,12022,7664,4358,244334,129243,115091,1550,774,776,-,-,-,-,-,-
103學年,17至未滿18歲,276737,147162,129575,3593,2408,1185,14692,9210,5482,258406,135509,122897,6,5,1,40,30,10
103學年,18至未滿19歲,20092,12615,7477,1592,1020,572,3652,2394,1258,13772,8534,5238,623,305,318,453,362,91
103學年,19至未滿20歲,5702,3590,2112,753,460,293,1327,826,501,3336,2119,1217,118,46,72,168,139,29
103學年,20至未滿21歲,2383,1454,929,527,330,197,560,323,237,1186,718,468,17,8,9,93,75,18
103學年,21至未滿22歲,1270,767,503,359,213,146,366,228,138,534,316,218,5,4,1,6,6,-
103學年,22歲以上,8295,3815,4480,2707,1216,1491,2546,1175,1371,3032,1416,1616,7,6,1,3,2,1
102學年,總計,860958,460862,400096,283608,154332,129276,290146,154990,135156,285742,150609,135133,801,408,393,661,523,138
102學年,未滿14歲,9,6,3,9,6,3,-,-,-,-,-,-,-,-,-,-,-,-
102學年,14至未滿15歲,1239,611,628,1232,606,626,7,5,2,-,-,-,-,-,-,-,-,-
102學年,15至未滿16歲,256891,137718,119173,255264,136900,118364,1623,814,809,4,4,-,-,-,-,-,-,-
102學年,16至未滿17歲,284771,152035,132736,17012,10713,6299,263642,139273,124369,4117,2049,2068,-,-,-,-,-,-
102學年,17至未滿18歲,277462,147036,130426,4094,2770,1324,15598,9478,6120,257746,134769,122977,2,1,1,22,18,4
102學年,18至未滿19歲,21058,12874,8184,1567,1046,521,3897,2549,1348,14634,8673,5961,628,343,285,332,263,69
102學年,19至未滿20歲,5895,3722,2173,732,443,289,1353,844,509,3437,2195,1242,129,44,85,244,196,48
102學年,20至未滿21歲,2569,1543,1026,522,340,182,610,353,257,1369,808,561,24,9,15,44,33,11
102學年,21至未滿22歲,1458,838,620,333,188,145,441,267,174,661,368,293,11,7,4,12,8,4
102學年,22歲以上,9606,4479,5127,2843,1320,1523,2975,1407,1568,3774,1743,2031,7,4,3,7,5,2
101學年,總計,891124,476019,415105,308630,167419,141211,295069,156879,138190,285996,150834,135162,858,434,424,571,453,118
101學年,未滿14歲,7,4,3,7,4,3,-,-,-,-,-,-,-,-,-,-,-,-
101學年,14至未滿15歲,1762,908,854,1755,903,852,6,4,2,1,1,-,-,-,-,-,-,-
101學年,15至未滿16歲,284316,151880,132436,280078,149773,130305,4227,2099,2128,11,8,3,-,-,-,-,-,-
101學年,16至未滿17歲,284465,151126,133339,15304,9776,5528,264839,139298,125541,4322,2052,2270,-,-,-,-,-,-
101學年,17至未滿18歲,275908,146143,129765,4332,2925,1407,15469,9455,6014,256078,133741,122337,9,5,4,20,17,3
101學年,18至未滿19歲,22139,13624,8515,1788,1177,611,3952,2574,1378,15429,9309,6120,699,360,339,271,204,67
101學年,19至未滿20歲,6341,3891,2450,764,449,315,1614,989,625,3699,2282,1417,111,41,70,153,130,23
101學年,20至未滿21歲,3109,1952,1157,729,480,249,777,442,335,1495,944,551,18,13,5,90,73,17
101學年,21至未滿22歲,1921,1136,785,513,316,197,601,362,239,770,429,341,14,9,5,23,20,3
101學年,22歲以上,11156,5355,5801,3360,1616,1744,3584,1656,1928,4191,2068,2123,7,6,1,14,9,5
100學年,總計,899188,480472,418716,314708,170198,144510,295781,157449,138332,287390,152080,135310,851,407,444,458,338,120
100學年,未滿14歲,12,4,8,7,3,4,1,1,-,1,-,1,-,-,-,3,-,3
100學年,14至未滿15歲,4200,2094,2106,4193,2092,2101,7,2,5,-,-,-,-,-,-,-,-,-
100學年,15至未滿16歲,286567,152901,133666,282079,150824,131255,4480,2071,2409,8,6,2,-,-,-,-,-,-
100學年,16至未滿17歲,282678,150131,132547,15202,9408,5794,262775,138411,124364,4701,2312,2389,-,-,-,-,-,-
100學年,17至未滿18歲,276901,147178,129723,4565,3045,1520,17002,10272,6730,255324,133856,121468,6,2,4,4,3,1
100學年,18至未滿19歲,24280,14504,9776,2111,1379,732,4215,2662,1553,17106,9996,7110,666,327,339,182,140,42
100學年,19至未滿20歲,7093,4432,2661,1005,571,434,1757,1143,614,4057,2564,1493,134,53,81,140,101,39
100學年,20至未滿21歲,3494,2128,1366,903,571,332,847,478,369,1668,1030,638,20,10,10,56,39,17
100學年,21至未滿22歲,2237,1303,934,685,411,274,721,427,294,770,419,351,14,9,5,47,37,10
100學年,22歲以上,11726,5797,5929,3958,1894,2064,3976,1982,1994,3755,1897,1858,11,6,5,26,18,8
99學年,總計,902554,482194,420360,314649,169803,144846,296219,158068,138151,290242,153404,136838,832,440,392,612,479,133
99學年,未滿14歲,15,11,4,14,11,3,1,-,1,-,-,-,-,-,-,-,-,-
