學年別,縣市別,總計校數計,總計校數公立,總計校數私立,總計教師數計,總計教師數公立,總計教師數私立,總計職員數計,總計職員數公立,總計職員數私立,總計班級數計,總計班級數公立,總計班級數私立,總計學生數計,總計學生數公立,總計學生數私立,總計上學年畢業生數計,總計上學年畢業生數公立,總計上學年畢業生數私立,高中進修學校校數計,高中進修學校校數公立,高中進修學校校數私立,高中進修學校教師數計,高中進修學校教師數公立,高中進修學校教師數私立,高中進修學校職員數計,高中進修學校職員數公立,高中進修學校職員數私立,高中進修學校班級數計,高中進修學校班級數公立,高中進修學校班級數私立,高中進修學校學生數計,高中進修學校學生數公立,高中進修學校學生數私立,高中進修學校上學年畢業生數計,高中進修學校上學年畢業生數公立,高中進修學校上學年畢業生數私立,職業進修學校校數計,職業進修學校校數公立,職業進修學校校數私立,職業進修學校教師數計,職業進修學校教師數公立,職業進修學校教師數私立,職業進修學校職員數計,職業進修學校職員數公立,職業進修學校職員數私立,職業進修學校班級數計,職業進修學校班級數公立,職業進修學校班級數私立,職業進修學校學生數計,職業進修學校學生數公立,職業進修學校學生數私立,職業進修學校上學年畢業生數計,職業進修學校上學年畢業生數公立,職業進修學校上學年畢業生數私立
99學年,臺南縣,16,9,7,5,-,5,2,-,2,79,52,27,1856,1221,635,668,445,223,2,1,1,...,...,...,...,...,...,4,1,3,114,17,97,35,12,23,15,9,6,...,...,...,...,...,...,75,51,24,1742,1204,538,633,433,200
99學年,高雄縣,7,2,5,8,-,8,1,-,1,66,34,32,1857,1152,705,763,442,321,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,7,2,5,...,...,...,...,...,...,66,34,32,1857,1152,705,763,442,321
99學年,屏東縣,8,3,5,20,-,20,3,-,3,65,26,39,2132,728,1404,543,231,312,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,8,3,5,...,...,...,...,...,...,65,26,39,2132,728,1404,543,231,312
99學年,臺東縣,4,4,-,-,-,-,-,-,-,21,21,-,476,476,-,135,135,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,4,4,-,...,...,...,...,...,...,21,21,-,476,476,-,135,135,-
99學年,花蓮縣,7,4,3,1,-,1,5,4,1,53,33,20,1485,831,654,351,229,122,1,-,1,...,...,...,...,...,...,3,-,3,81,-,81,21,-,21,6,4,2,...,...,...,...,...,...,50,33,17,1404,831,573,330,229,101
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-
99學年,基隆市,5,3,2,4,-,4,-,-,-,45,30,15,1837,1208,629,507,341,166,-,-,-,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,5,3,2,...,...,...,...,...,...,45,30,15,1837,1208,629,507,341,166
99學年,新竹市,6,3,3,20,-,20,3,-,3,84,21,63,2898,700,2198,961,223,738,1,1,-,...,...,...,...,...,...,6,6,-,142,142,-,41,41,-,5,2,3,...,...,...,...,...,...,78,15,63,2756,558,2198,920,182,738
99學年,臺中市,8,4,4,78,34,44,14,4,10,185,79,106,7257,3007,4250,2443,1044,1399,1,-,1,...,...,...,...,...,...,3,-,3,75,-,75,45,-,45,8,4,4,...,...,...,...,...,...,182,79,103,7182,3007,4175,2398,1044,1354
99學年,嘉義市,6,4,2,12,-,12,3,-,3,42,31,11,869,568,301,282,212,70,2,1,1,...,...,...,...,...,...,10,9,1,194,179,15,59,59,-,5,3,2,...,...,...,...,...,...,32,22,10,675,389,286,223,153,70
