學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,普通科計,普通科國立,普通科直轄市立,普通科縣市立,普通科私立,專業群(職業)科計,專業群(職業)科國立,專業群(職業)科直轄市立,專業群(職業)科縣市立,專業群(職業)科私立
101學年,新北市,324,73,50,-,201,44,-,44,-,-,280,73,6,-,201
101學年,臺北市,272,12,26,-,234,19,-,-,-,19,253,12,26,-,215
101學年,臺中市,355,135,3,-,217,6,-,3,-,3,349,135,-,-,214
101學年,臺南市,174,101,-,-,73,17,14,-,-,3,157,87,-,-,70
101學年,高雄市,228,33,73,-,122,9,-,9,-,-,219,33,64,-,122
101學年,宜蘭縣,59,58,-,1,-,-,-,-,-,-,59,58,-,1,-
101學年,桃園縣,310,63,-,-,247,6,-,-,-,6,304,63,-,-,241
101學年,新竹縣,55,6,-,-,49,3,3,-,-,-,52,3,-,-,49
101學年,苗栗縣,61,15,-,-,46,-,-,-,-,-,61,15,-,-,46
101學年,彰化縣,166,136,-,-,30,6,6,-,-,-,160,130,-,-,30
101學年,南投縣,57,52,-,-,5,3,3,-,-,-,54,49,-,-,5
101學年,雲林縣,33,17,-,3,13,3,-,-,3,-,30,17,-,-,13
101學年,嘉義縣,12,6,-,-,6,-,-,-,-,-,12,6,-,-,6
101學年,屏東縣,62,25,-,-,37,-,-,-,-,-,62,25,-,-,37
101學年,臺東縣,21,20,-,1,-,-,-,-,-,-,21,20,-,1,-
101學年,花蓮縣,41,28,-,-,13,3,-,-,-,3,38,28,-,-,10
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,36,26,-,-,10,-,-,-,-,-,36,26,-,-,10
101學年,新竹市,72,15,-,4,53,4,-,-,4,-,68,15,-,-,53
101學年,嘉義市,47,34,-,-,13,10,9,-,-,1,37,25,-,-,12
101學年,金門縣,2,2,-,-,-,-,-,-,-,-,2,2,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,2515,889,156,9,1461,137,36,54,8,39,2378,853,102,1,1422
100學年,新北市,348,75,49,-,224,43,-,43,-,-,305,75,6,-,224
100學年,臺北市,284,14,26,-,244,18,-,-,-,18,266,14,26,-,226
100學年,臺中市,379,144,2,-,233,5,-,2,-,3,374,144,-,-,230
100學年,臺南市,179,106,-,-,73,18,15,-,-,3,161,91,-,-,70
100學年,高雄市,228,33,79,-,116,9,-,9,-,-,219,33,70,-,116
100學年,宜蘭縣,60,60,-,-,-,-,-,-,-,-,60,60,-,-,-
100學年,桃園縣,331,64,-,-,267,11,-,-,-,11,320,64,-,-,256
100學年,新竹縣,59,6,-,-,53,3,3,-,-,-,56,3,-,-,53
100學年,苗栗縣,65,15,-,-,50,-,-,-,-,-,65,15,-,-,50
100學年,彰化縣,175,140,-,-,35,6,6,-,-,-,169,134,-,-,35
100學年,南投縣,58,55,-,-,3,3,3,-,-,-,55,52,-,-,3
100學年,雲林縣,35,18,-,3,14,3,-,-,3,-,32,18,-,-,14
100學年,嘉義縣,13,6,-,-,7,-,-,-,-,-,13,6,-,-,7
100學年,屏東縣,66,25,-,-,41,-,-,-,-,-,66,25,-,-,41
100學年,臺東縣,21,20,-,1,-,-,-,-,-,-,21,20,-,1,-
100學年,花蓮縣,48,31,-,-,17,3,-,-,-,3,45,31,-,-,14
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,43,29,-,-,14,-,-,-,-,-,43,29,-,-,14
100學年,新竹市,79,15,-,5,59,5,-,-,5,-,74,15,-,-,59
100學年,嘉義市,43,32,-,-,11,10,9,-,-,1,33,23,-,-,10
100學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,總計,2595,910,109,59,1517,146,37,9,52,48,2449,873,100,7,1469
99學年,臺北市,293,15,26,-,252,22,-,-,-,22,271,15,26,-,230
99學年,高雄市,160,-,83,-,77,9,-,9,-,-,151,-,74,-,77
99學年,臺北縣,363,73,-,49,241,43,-,-,43,-,320,73,-,6,241
99學年,宜蘭縣,63,63,-,-,-,-,-,-,-,-,63,63,-,-,-
99學年,桃園縣,337,64,-,-,273,13,-,-,-,13,324,64,-,-,260
99學年,新竹縣,65,6,-,-,59,6,3,-,-,3,59,3,-,-,56
99學年,苗栗縣,66,15,-,-,51,-,-,-,-,-,66,15,-,-,51
99學年,臺中縣,206,68,-,-,138,-,-,-,-,-,206,68,-,-,138
99學年,彰化縣,185,147,-,-,38,6,6,-,-,-,179,141,-,-,38
99學年,南投縣,58,55,-,-,3,3,3,-,-,-,55,52,-,-,3
99學年,雲林縣,37,19,-,3,15,3,-,-,3,-,34,19,-,-,15
99學年,嘉義縣,12,6,-,-,6,-,-,-,-,-,12,6,-,-,6
99學年,臺南縣,79,52,-,-,27,4,1,-,-,3,75,51,-,-,24
99學年,高雄縣,66,34,-,-,32,-,-,-,-,-,66,34,-,-,32
99學年,屏東縣,65,26,-,-,39,-,-,-,-,-,65,26,-,-,39
99學年,臺東縣,21,20,-,1,-,-,-,-,-,-,21,20,-,1,-
99學年,花蓮縣,53,33,-,-,20,3,-,-,-,3,50,33,-,-,17
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,45,30,-,-,15,-,-,-,-,-,45,30,-,-,15
99學年,新竹市,84,15,-,6,63,6,-,-,6,-,78,15,-,-,63
99學年,臺中市,185,79,-,-,106,3,-,-,-,3,182,79,-,-,103
99學年,嘉義市,42,31,-,-,11,10,9,-,-,1,32,22,-,-,10
99學年,臺南市,110,59,-,-,51,15,15,-,-,-,95,44,-,-,51
99學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,總計,2665,934,108,58,1565,150,40,9,51,50,2515,894,99,7,1515
98學年,臺北市,297,15,26,-,256,25,-,-,-,25,272,15,26,-,231
98學年,高雄市,158,-,82,-,76,9,-,9,-,-,149,-,73,-,76
98學年,臺北縣,371,72,-,48,251,42,-,-,42,-,329,72,-,6,251
98學年,宜蘭縣,65,65,-,-,-,-,-,-,-,-,65,65,-,-,-
98學年,桃園縣,351,67,-,-,284,13,-,-,-,13,338,67,-,-,271
98學年,新竹縣,73,6,-,-,67,6,3,-,-,3,67,3,-,-,64
98學年,苗栗縣,68,15,-,-,53,-,-,-,-,-,68,15,-,-,53
98學年,臺中縣,207,67,-,-,140,-,-,-,-,-,207,67,-,-,140
98學年,彰化縣,194,152,-,-,42,6,6,-,-,-,188,146,-,-,42
98學年,南投縣,58,55,-,-,3,3,3,-,-,-,55,52,-,-,3
98學年,雲林縣,37,19,-,3,15,3,-,-,3,-,34,19,-,-,15
98學年,嘉義縣,11,6,-,-,5,-,-,-,-,-,11,6,-,-,5
98學年,臺南縣,83,56,-,-,27,5,2,-,-,3,78,54,-,-,24
98學年,高雄縣,73,37,-,-,36,-,-,-,-,-,73,37,-,-,36
98學年,屏東縣,64,27,-,-,37,-,-,-,-,-,64,27,-,-,37
98學年,臺東縣,22,21,-,1,-,-,-,-,-,-,22,21,-,1,-
98學年,花蓮縣,51,32,-,-,19,3,-,-,-,3,48,32,-,-,16
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,48,33,-,-,15,-,-,-,-,-,48,33,-,-,15
98學年,新竹市,85,15,-,6,64,6,-,-,6,-,79,15,-,-,64
98學年,臺中市,191,81,-,-,110,3,-,-,-,3,188,81,-,-,107
98學年,嘉義市,40,31,-,-,9,9,9,-,-,-,31,22,-,-,9
98學年,臺南市,118,62,-,-,56,17,17,-,-,-,101,45,-,-,56
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,2740,943,109,58,1630,149,41,9,51,48,2591,902,100,7,1582
97學年,臺北市,303,15,26,-,262,26,-,-,-,26,277,15,26,-,236
97學年,高雄市,171,-,83,-,88,9,-,9,-,-,162,-,74,-,88
97學年,臺北縣,388,72,-,48,268,42,-,-,42,-,346,72,-,6,268
97學年,宜蘭縣,68,68,-,-,-,-,-,-,-,-,68,68,-,-,-
97學年,桃園縣,356,68,-,-,288,10,-,-,-,10,346,68,-,-,278
97學年,新竹縣,81,6,-,-,75,6,3,-,-,3,75,3,-,-,72
97學年,苗栗縣,71,15,-,-,56,-,-,-,-,-,71,15,-,-,56
97學年,臺中縣,208,67,-,-,141,-,-,-,-,-,208,67,-,-,141
97學年,彰化縣,200,153,-,-,47,6,6,-,-,-,194,147,-,-,47
97學年,南投縣,59,55,-,-,4,3,3,-,-,-,56,52,-,-,4
97學年,雲林縣,36,19,-,3,14,3,-,-,3,-,33,19,-,-,14
97學年,嘉義縣,9,6,-,-,3,-,-,-,-,-,9,6,-,-,3
97學年,臺南縣,83,57,-,-,26,6,3,-,-,3,77,54,-,-,23
97學年,高雄縣,79,40,-,-,39,-,-,-,-,-,79,40,-,-,39
97學年,屏東縣,63,28,-,-,35,-,-,-,-,-,63,28,-,-,35
97學年,臺東縣,22,21,-,1,-,-,-,-,-,-,22,21,-,1,-
97學年,花蓮縣,51,32,-,-,19,3,-,-,-,3,48,32,-,-,16
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,46,31,-,-,15,-,-,-,-,-,46,31,-,-,15
97學年,新竹市,86,15,-,6,65,6,-,-,6,-,80,15,-,-,65
97學年,臺中市,193,81,-,-,112,3,-,-,-,3,190,81,-,-,109
97學年,嘉義市,42,32,-,-,10,9,9,-,-,-,33,23,-,-,10
97學年,臺南市,125,62,-,-,63,17,17,-,-,-,108,45,-,-,63
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
