學年別,洲別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
101學年,總計,1102,871,231,434,352,82,1,1,-,667,518,149,137,119,18,88,80,8,-,-,-,49,39,10,198,165,33,89,72,17,-,-,-,109,93,16,357,269,88,130,104,26,-,-,-,227,165,62,241,179,62,42,28,14,1,1,-,198,150,48,169,139,30,85,68,17,-,-,-,84,71,13
101學年,亞洲,423,301,122,165,130,35,-,-,-,258,171,87,53,45,8,33,29,4,-,-,-,20,16,4,73,60,13,37,31,6,-,-,-,36,29,7,183,123,60,58,42,16,-,-,-,125,81,44,66,34,32,12,7,5,-,-,-,54,27,27,48,39,9,25,21,4,-,-,-,23,18,5
101學年,大洋洲,29,26,3,10,10,-,-,-,-,19,16,3,5,5,-,5,5,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,10,7,3,2,2,-,-,-,-,8,5,3,5,5,-,-,-,-,-,-,-,5,5,-,7,7,-,3,3,-,-,-,-,4,4,-
101學年,非洲,9,8,1,2,2,-,-,-,-,7,6,1,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,1,1,-,-,-,-,4,3,1,2,2,-,-,-,-,-,-,-,2,2,-
101學年,歐洲,235,192,43,92,78,14,-,-,-,143,114,29,22,20,2,14,13,1,-,-,-,8,7,1,52,42,10,22,19,3,-,-,-,30,23,7,77,61,16,31,26,5,-,-,-,46,35,11,40,30,10,6,3,3,-,-,-,34,27,7,44,39,5,19,17,2,-,-,-,25,22,3
101學年,美洲,406,344,62,165,132,33,1,1,-,240,211,29,56,48,8,35,32,3,-,-,-,21,16,5,70,60,10,30,22,8,-,-,-,40,38,2,87,78,9,39,34,5,-,-,-,48,44,4,125,106,19,23,17,6,1,1,-,101,88,13,68,52,16,38,27,11,-,-,-,30,25,5
100學年,總計,1077,851,226,414,332,82,2,2,-,661,517,144,158,138,20,99,88,11,-,-,-,59,50,9,180,149,31,73,56,17,-,-,-,107,93,14,404,314,90,159,133,26,-,-,-,245,181,64,288,211,77,66,40,26,2,2,-,220,169,51,47,39,8,17,15,2,-,-,-,30,24,6
100學年,亞洲,407,282,125,156,117,39,-,-,-,251,165,86,61,53,8,37,31,6,-,-,-,24,22,2,57,46,11,21,17,4,-,-,-,36,29,7,197,134,63,75,56,19,-,-,-,122,78,44,75,37,38,18,8,10,-,-,-,57,29,28,17,12,5,5,5,-,-,-,-,12,7,5
100學年,大洋洲,28,25,3,7,7,-,-,-,-,21,18,3,6,6,-,5,5,-,-,-,-,1,1,-,3,3,-,1,1,-,-,-,-,2,2,-,11,8,3,1,1,-,-,-,-,10,7,3,6,6,-,-,-,-,-,-,-,6,6,-,2,2,-,-,-,-,-,-,-,2,2,-
100學年,非洲,11,9,2,2,2,-,-,-,-,9,7,2,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-,6,4,2,1,1,-,-,-,-,5,3,2,1,1,-,-,-,-,-,-,-,1,1,-
100學年,歐洲,221,183,38,89,76,13,-,-,-,132,107,25,22,20,2,14,13,1,-,-,-,8,7,1,51,42,9,21,17,4,-,-,-,30,25,5,92,76,16,39,35,4,-,-,-,53,41,12,48,38,10,12,9,3,-,-,-,36,29,7,8,7,1,3,2,1,-,-,-,5,5,-
100學年,美洲,410,352,58,160,130,30,2,2,-,248,220,28,68,58,10,42,38,4,-,-,-,26,20,6,68,57,11,30,21,9,-,-,-,38,36,2,102,94,8,44,41,3,-,-,-,58,53,5,153,126,27,35,22,13,2,2,-,116,102,14,19,17,2,9,8,1,-,-,-,10,9,1
99學年,總計,1071,846,225,377,307,70,2,2,-,692,537,155,155,140,15,91,83,8,-,-,-,64,57,7,190,153,37,72,57,15,-,-,-,118,96,22,394,302,92,137,111,26,-,-,-,257,191,66,303,224,79,59,39,20,2,2,-,242,183,59,29,27,2,18,17,1,-,-,-,11,10,1
99學年,亞洲,385,270,115,132,99,33,-,-,-,253,171,82,56,50,6,28,24,4,-,-,-,28,26,2,55,42,13,17,14,3,-,-,-,38,28,10,187,126,61,66,48,18,-,-,-,121,78,43,79,44,35,16,8,8,-,-,-,63,36,27,8,8,-,5,5,-,-,-,-,3,3,-
99學年,大洋洲,29,25,4,8,8,-,-,-,-,21,17,4,5,5,-,5,5,-,-,-,-,-,-,-,3,3,-,1,1,-,-,-,-,2,2,-,15,11,4,1,1,-,-,-,-,14,10,4,4,4,-,-,-,-,-,-,-,4,4,-,2,2,-,1,1,-,-,-,-,1,1,-
99學年,非洲,10,8,2,2,2,-,-,-,-,8,6,2,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,-,-,-,2,2,-,6,4,2,1,1,-,-,-,-,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-
99學年,歐洲,213,176,37,80,70,10,-,-,-,133,106,27,24,23,1,15,14,1,-,-,-,9,9,-,52,42,10,20,17,3,-,-,-,32,25,7,85,68,17,34,30,4,-,-,-,51,38,13,48,39,9,9,7,2,-,-,-,39,32,7,4,4,-,2,2,-,-,-,-,2,2,-
99學年,美洲,434,367,67,155,128,27,2,2,-,277,237,40,69,61,8,42,39,3,-,-,-,27,22,5,79,65,14,34,25,9,-,-,-,45,40,5,105,95,10,36,32,4,-,-,-,69,63,6,166,133,33,33,23,10,2,2,-,131,108,23,15,13,2,10,9,1,-,-,-,5,4,1
98學年,總計,1059,833,226,363,293,70,3,3,-,693,537,156,148,135,13,80,73,7,-,-,-,68,62,6,186,147,39,67,53,14,-,-,-,119,94,25,393,296,97,135,107,28,1,1,-,257,188,69,295,220,75,58,38,20,2,2,-,235,180,55,37,35,2,23,22,1,-,-,-,14,13,1
