學年別,縣市別,總計計,總計男,總計女,國立計,國立男,國立女,直轄市立計,直轄市立男,直轄市立女,縣市立計,縣市立男,縣市立女,私立計,私立男,私立女
100學年,臺南市,23308,12371,10937,11629,6273,5356,552,268,284,-,-,-,11127,5830,5297
100學年,高雄市,33120,17598,15522,4897,2643,2254,11885,6158,5727,-,-,-,16338,8797,7541
100學年,宜蘭縣,5033,2676,2357,4540,2376,2164,-,-,-,73,35,38,420,265,155
100學年,桃園縣,27540,14772,12768,7765,4082,3683,-,-,-,2452,1204,1248,17323,9486,7837
100學年,新竹縣,5447,3046,2401,1582,781,801,-,-,-,217,105,112,3648,2160,1488
100學年,苗栗縣,6943,3527,3416,3263,1474,1789,-,-,-,392,181,211,3288,1872,1416
100學年,彰化縣,15402,8170,7232,9720,5113,4607,-,-,-,320,149,171,5362,2908,2454
100學年,南投縣,5641,2777,2864,4233,2075,2158,-,-,-,224,106,118,1184,596,588
100學年,雲林縣,7447,4086,3361,3686,2025,1661,-,-,-,397,208,189,3364,1853,1511
100學年,嘉義縣,3871,2334,1537,1063,746,317,-,-,-,164,78,86,2644,1510,1134
100學年,屏東縣,7657,4140,3517,4477,2508,1969,-,-,-,440,198,242,2740,1434,1306
100學年,臺東縣,2209,1206,1003,1800,1001,799,-,-,-,7,3,4,402,202,200
100學年,花蓮縣,4450,2296,2154,2484,1312,1172,-,-,-,40,31,9,1926,953,973
100學年,澎湖縣,944,486,458,944,486,458,-,-,-,-,-,-,-,-,-
100學年,基隆市,5554,2481,3073,2912,1139,1773,-,-,-,387,191,196,2255,1151,1104
100學年,新竹市,6810,3219,3591,2888,1447,1441,-,-,-,764,381,383,3158,1391,1767
100學年,嘉義市,6675,3212,3463,3905,1911,1994,-,-,-,-,-,-,2770,1301,1469
100學年,金門縣,649,342,307,649,342,307,-,-,-,-,-,-,-,-,-
100學年,連江縣,103,53,50,103,53,50,-,-,-,-,-,-,-,-,-
99學年,總計,282605,147955,134650,97906,51696,46210,41818,21546,20272,4744,2281,2463,138137,72432,65705
99學年,新北市,33355,17428,15927,9210,5419,3791,4814,2200,2614,-,-,-,19331,9809,9522
99學年,臺北市,41841,21321,20520,1634,977,657,22035,11926,10109,-,-,-,18172,8418,9754
99學年,臺中市,37001,19370,17631,13203,7371,5832,2182,951,1231,-,-,-,21616,11048,10568
99學年,臺南市,23813,12514,11299,11900,6243,5657,524,242,282,-,-,-,11389,6029,5360
99學年,高雄市,34087,18112,15975,5004,2640,2364,12263,6227,6036,-,-,-,16820,9245,7575
99學年,宜蘭縣,4907,2627,2280,4551,2396,2155,-,-,-,63,37,26,293,194,99
99學年,桃園縣,26942,14608,12334,7818,4120,3698,-,-,-,1430,706,724,17694,9782,7912
99學年,新竹縣,5432,3002,2430,1603,716,887,-,-,-,210,99,111,3619,2187,1432
99學年,苗栗縣,6763,3419,3344,3361,1577,1784,-,-,-,377,156,221,3025,1686,1339
99學年,彰化縣,16220,8735,7485,9953,5272,4681,-,-,-,337,158,179,5930,3305,2625
99學年,南投縣,5319,2597,2722,4199,2009,2190,-,-,-,220,97,123,900,491,409
99學年,雲林縣,7392,4125,3267,3811,2030,1781,-,-,-,311,172,139,3270,1923,1347
99學年,嘉義縣,3965,2389,1576,1113,742,371,-,-,-,97,46,51,2755,1601,1154
99學年,屏東縣,7609,4097,3512,4619,2566,2053,-,-,-,460,176,284,2530,1355,1175
99學年,臺東縣,2347,1219,1128,1936,1003,933,-,-,-,19,6,13,392,210,182
99學年,花蓮縣,4329,2251,2078,2505,1300,1205,-,-,-,40,30,10,1784,921,863
99學年,澎湖縣,925,482,443,925,482,443,-,-,-,-,-,-,-,-,-
99學年,基隆市,5661,2647,3014,2951,1166,1785,-,-,-,395,212,183,2315,1269,1046
99學年,新竹市,7089,3491,3598,2891,1466,1425,-,-,-,785,386,399,3413,1639,1774
99學年,嘉義市,6916,3188,3728,4027,1868,2159,-,-,-,-,-,-,2889,1320,1569
99學年,金門縣,596,282,314,596,282,314,-,-,-,-,-,-,-,-,-
99學年,連江縣,96,51,45,96,51,45,-,-,-,-,-,-,-,-,-
98學年,總計,278717,146852,131865,97187,51574,45613,33358,17795,15563,13182,6096,7086,134990,71387,63603
98學年,臺北市,41886,21453,20433,1611,932,679,22299,12103,10196,-,-,-,17976,8418,9558
98學年,高雄市,21385,10785,10600,475,246,229,11059,5692,5367,-,-,-,9851,4847,5004
98學年,臺北縣,32353,16812,15541,8753,5125,3628,-,-,-,4622,2058,2564,18978,9629,9349
98學年,宜蘭縣,5058,2698,2360,4652,2420,2232,-,-,-,69,42,27,337,236,101
98學年,桃園縣,27335,14816,12519,7993,4216,3777,-,-,-,1459,677,782,17883,9923,7960
98學年,新竹縣,5652,3053,2599,1557,703,854,-,-,-,230,104,126,3865,2246,1619
98學年,苗栗縣,6570,3393,3177,3255,1524,1731,-,-,-,375,171,204,2940,1698,1242
98學年,臺中縣,21171,12015,9156,5765,3518,2247,-,-,-,1224,589,635,14182,7908,6274
98學年,彰化縣,15706,8521,7185,9895,5290,4605,-,-,-,295,144,151,5516,3087,2429
98學年,南投縣,5165,2529,2636,4239,2050,2189,-,-,-,168,79,89,758,400,358
