學年別,縣市別,專科進修學校(不含空專)總計,專科進修學校(不含空專)國立,專科進修學校(不含空專)直轄市立,專科進修學校(不含空專)私立,進修學院(不含空院)總計,進修學院(不含空院)國立,進修學院(不含空院)直轄市立,進修學院(不含空院)私立,空中進修專校總計,空中進修專校國立,空中進修專校直轄市立,空中進修專校私立,空中進修學院總計,空中進修學院國立,空中進修學院直轄市立,空中進修學院私立,空中大學總計,空中大學國立,空中大學直轄市立,空中大學私立
98學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,總計,41,3,-,38,40,5,-,35,1,1,-,-,2,2,-,-,2,1,1,-
97學年,臺北市,6,1,-,5,6,1,-,5,-,-,-,-,1,1,-,-,-,-,-,-
97學年,高雄市,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-
97學年,臺北縣,5,-,-,5,5,-,-,5,1,1,-,-,-,-,-,-,1,1,-,-
97學年,宜蘭縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,桃園縣,2,-,-,2,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
97學年,新竹縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,苗栗縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺中縣,2,1,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,彰化縣,2,-,-,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,南投縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,雲林縣,1,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,嘉義縣,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺南縣,2,-,-,2,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
97學年,高雄縣,6,-,-,6,4,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-
97學年,屏東縣,3,-,-,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺東縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,花蓮縣,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,2,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-
97學年,新竹市,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺中市,2,1,-,1,2,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-
97學年,嘉義市,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,臺南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,金門縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
