學年別,縣市別,附設國小總計,附設國小國立,附設國小直轄市立,附設國小縣市立,附設國小私立,附設國中總計,附設國中國立,附設國中直轄市立,附設國中縣市立,附設國中私立
104學年,桃園市,2,-,1,-,1,9,-,2,-,7
104學年,臺中市,2,-,-,-,2,24,-,9,-,15
104學年,臺南市,2,1,-,-,1,19,1,4,-,14
104學年,高雄市,5,1,-,-,4,21,3,10,-,8
104學年,宜蘭縣,2,-,-,1,1,4,-,-,2,2
104學年,新竹縣,-,-,-,-,-,6,-,-,2,4
104學年,苗栗縣,-,-,-,-,-,8,1,-,4,3
104學年,彰化縣,-,-,-,-,-,8,-,-,5,3
104學年,南投縣,1,-,-,-,1,4,-,-,1,3
104學年,雲林縣,-,-,-,-,-,8,-,-,3,5
104學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
104學年,屏東縣,-,-,-,-,-,6,-,-,4,2
104學年,臺東縣,1,-,-,-,1,4,1,-,1,2
104學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,1,-,-,-,1,6,-,-,4,2
104學年,新竹市,1,1,-,-,-,7,1,-,3,3
104學年,嘉義市,-,-,-,-,-,4,-,-,-,4
104學年,金門縣,-,-,-,-,-,-,-,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-
103學年,總計,19,4,-,1,14,199,10,50,31,108
103學年,新北市,2,-,-,-,2,33,1,16,-,16
103學年,臺北市,1,1,-,-,-,26,3,11,-,12
103學年,臺中市,2,-,-,-,2,24,-,9,-,15
103學年,臺南市,2,1,-,-,1,19,1,4,-,14
103學年,高雄市,5,1,-,-,4,20,2,10,-,8
103學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
103學年,桃園縣,2,-,-,1,1,9,-,-,2,7
103學年,新竹縣,-,-,-,-,-,5,-,-,1,4
103學年,苗栗縣,-,-,-,-,-,9,1,-,4,4
103學年,彰化縣,-,-,-,-,-,7,-,-,5,2
103學年,南投縣,1,-,-,-,1,4,-,-,1,3
103學年,雲林縣,-,-,-,-,-,8,-,-,3,5
103學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
103學年,屏東縣,-,-,-,-,-,6,-,-,4,2
103學年,臺東縣,-,-,-,-,-,3,1,-,1,1
103學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,1,-,-,-,1,6,-,-,4,2
103學年,新竹市,1,1,-,-,-,7,1,-,3,3
103學年,嘉義市,-,-,-,-,-,4,-,-,-,4
103學年,金門縣,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-
102學年,總計,19,4,-,1,14,199,10,50,30,109
102學年,新北市,2,-,-,-,2,33,1,16,-,16
102學年,臺北市,1,1,-,-,-,27,3,11,-,13
102學年,臺中市,2,-,-,-,2,23,-,9,-,14
102學年,臺南市,2,1,-,-,1,19,1,4,-,14
102學年,高雄市,5,1,-,-,4,20,2,10,-,8
102學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
102學年,桃園縣,2,-,-,1,1,9,-,-,2,7
102學年,新竹縣,-,-,-,-,-,5,-,-,1,4
102學年,苗栗縣,-,-,-,-,-,9,1,-,4,4
102學年,彰化縣,-,-,-,-,-,7,-,-,5,2
102學年,南投縣,1,-,-,-,1,5,-,-,1,4
102學年,雲林縣,-,-,-,-,-,7,-,-,2,5
102學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
102學年,屏東縣,-,-,-,-,-,6,-,-,4,2
102學年,臺東縣,-,-,-,-,-,3,1,-,1,1
102學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,1,-,-,-,1,6,-,-,4,2
102學年,新竹市,1,1,-,-,-,7,1,-,3,3
102學年,嘉義市,-,-,-,-,-,4,-,-,-,4
102學年,金門縣,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-
101學年,總計,19,4,-,1,14,194,10,49,27,108
101學年,新北市,2,-,-,-,2,31,1,15,-,15
101學年,臺北市,1,1,-,-,-,27,3,11,-,13
101學年,臺中市,2,-,-,-,2,23,-,9,-,14
101學年,臺南市,2,1,-,-,1,19,1,4,-,14
101學年,高雄市,5,1,-,-,4,20,2,10,-,8
101學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
101學年,桃園縣,2,-,-,1,1,9,-,-,2,7
101學年,新竹縣,-,-,-,-,-,5,-,-,1,4
101學年,苗栗縣,-,-,-,-,-,7,1,-,2,4
101學年,彰化縣,-,-,-,-,-,6,-,-,4,2
101學年,南投縣,1,-,-,-,1,5,-,-,1,4
101學年,雲林縣,-,-,-,-,-,7,-,-,2,5
101學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
101學年,屏東縣,-,-,-,-,-,6,-,-,4,2
101學年,臺東縣,-,-,-,-,-,3,1,-,1,1
101學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,1,-,-,-,1,6,-,-,4,2
101學年,新竹市,1,1,-,-,-,7,1,-,3,3
101學年,嘉義市,-,-,-,-,-,4,-,-,-,4
101學年,金門縣,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-
100學年,總計,18,4,-,1,13,190,10,48,25,107
100學年,新北市,2,-,-,-,2,30,1,14,-,15
100學年,臺北市,1,1,-,-,-,27,3,11,-,13
100學年,臺中市,1,-,-,-,1,22,-,9,-,13
100學年,臺南市,2,1,-,-,1,19,1,4,-,14
100學年,高雄市,5,1,-,-,4,20,2,10,-,8
100學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
100學年,桃園縣,2,-,-,1,1,8,-,-,1,7
100學年,新竹縣,-,-,-,-,-,5,-,-,1,4
100學年,苗栗縣,-,-,-,-,-,7,1,-,2,4
100學年,彰化縣,-,-,-,-,-,6,-,-,4,2
100學年,南投縣,1,-,-,-,1,5,-,-,1,4
100學年,雲林縣,-,-,-,-,-,7,-,-,2,5
100學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
100學年,屏東縣,-,-,-,-,-,6,-,-,4,2
100學年,臺東縣,-,-,-,-,-,3,1,-,1,1
100學年,花蓮縣,1,-,-,-,1,2,-,-,-,2
100學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
100學年,基隆市,1,-,-,-,1,5,-,-,3,2
100學年,新竹市,1,1,-,-,-,7,1,-,3,3
100學年,嘉義市,-,-,-,-,-,4,-,-,-,4
100學年,金門縣,-,-,-,-,-,-,-,-,-,-
100學年,連江縣,-,-,-,-,-,-,-,-,-,-
99學年,總計,14,4,-,1,9,192,10,15,58,109
99學年,臺北市,1,1,-,-,-,27,3,11,-,13
99學年,高雄市,4,1,-,-,3,11,2,4,-,5
99學年,臺北縣,2,-,-,-,2,30,1,-,14,15
99學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
99學年,桃園縣,2,-,-,1,1,9,-,-,2,7
99學年,新竹縣,-,-,-,-,-,5,-,-,1,4
99學年,苗栗縣,-,-,-,-,-,7,1,-,2,4
99學年,臺中縣,-,-,-,-,-,13,-,-,5,8
99學年,彰化縣,-,-,-,-,-,5,-,-,3,2
99學年,南投縣,1,-,-,-,1,5,-,-,1,4
99學年,雲林縣,-,-,-,-,-,7,-,-,2,5
99學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
99學年,臺南縣,1,1,-,-,-,10,1,-,2,7
99學年,高雄縣,1,-,-,-,1,10,-,-,6,4
99學年,屏東縣,-,-,-,-,-,6,-,-,4,2
99學年,臺東縣,-,-,-,-,-,3,1,-,1,1
99學年,花蓮縣,-,-,-,-,-,2,-,-,-,2
99學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
99學年,基隆市,-,-,-,-,-,5,-,-,3,2
99學年,新竹市,1,1,-,-,-,7,1,-,3,3
99學年,臺中市,-,-,-,-,-,10,-,-,4,6
99學年,嘉義市,-,-,-,-,-,4,-,-,-,4
99學年,臺南市,-,-,-,-,-,9,-,-,2,7
99學年,金門縣,-,-,-,-,-,-,-,-,-,-
99學年,連江縣,-,-,-,-,-,-,-,-,-,-
98學年,總計,14,4,-,1,9,192,10,15,58,109
98學年,臺北市,1,1,-,-,-,27,3,11,-,13
98學年,高雄市,4,1,-,-,3,11,2,4,-,5
98學年,臺北縣,2,-,-,-,2,30,1,-,14,15
98學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
98學年,桃園縣,2,-,-,1,1,11,-,-,4,7
98學年,新竹縣,-,-,-,-,-,5,-,-,1,4
98學年,苗栗縣,-,-,-,-,-,7,1,-,2,4
98學年,臺中縣,-,-,-,-,-,14,-,-,5,9
98學年,彰化縣,-,-,-,-,-,4,-,-,2,2
98學年,南投縣,1,-,-,-,1,4,-,-,1,3
98學年,雲林縣,-,-,-,-,-,7,-,-,2,5
98學年,嘉義縣,-,-,-,-,-,4,-,-,2,2
98學年,臺南縣,1,1,-,-,-,10,1,-,2,7
98學年,高雄縣,1,-,-,-,1,10,-,-,6,4
98學年,屏東縣,-,-,-,-,-,5,-,-,3,2
98學年,臺東縣,-,-,-,-,-,3,1,-,1,1
98學年,花蓮縣,-,-,-,-,-,2,-,-,-,2
98學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
98學年,基隆市,-,-,-,-,-,5,-,-,3,2
98學年,新竹市,1,1,-,-,-,7,1,-,3,3
98學年,臺中市,-,-,-,-,-,10,-,-,4,6
98學年,嘉義市,-,-,-,-,-,4,-,-,-,4
98學年,臺南市,-,-,-,-,-,9,-,-,2,7
98學年,金門縣,-,-,-,-,-,-,-,-,-,-
98學年,連江縣,-,-,-,-,-,-,-,-,-,-
97學年,總計,13,4,-,1,8,184,10,15,53,106
97學年,臺北市,1,1,-,-,-,27,3,11,-,13
97學年,高雄市,4,1,-,-,3,11,2,4,-,5
97學年,臺北縣,1,-,-,-,1,28,1,-,13,14
97學年,宜蘭縣,1,-,-,-,1,3,-,-,1,2
97學年,桃園縣,2,-,-,1,1,9,-,-,2,7
97學年,新竹縣,-,-,-,-,-,5,-,-,1,4
97學年,苗栗縣,-,-,-,-,-,6,1,-,2,3
97學年,臺中縣,-,-,-,-,-,14,-,-,5,9
97學年,彰化縣,-,-,-,-,-,4,-,-,2,2
97學年,南投縣,1,-,-,-,1,4,-,-,1,3
97學年,雲林縣,-,-,-,-,-,6,-,-,2,4
97學年,嘉義縣,-,-,-,-,-,3,-,-,1,2
97學年,臺南縣,1,1,-,-,-,10,1,-,2,7
97學年,高雄縣,1,-,-,-,1,10,-,-,6,4
97學年,屏東縣,-,-,-,-,-,5,-,-,3,2
97學年,臺東縣,-,-,-,-,-,3,1,-,1,1
97學年,花蓮縣,-,-,-,-,-,2,-,-,-,2
97學年,澎湖縣,-,-,-,-,-,-,-,-,-,-
97學年,基隆市,-,-,-,-,-,5,-,-,3,2
97學年,新竹市,1,1,-,-,-,7,1,-,3,3
97學年,臺中市,-,-,-,-,-,9,-,-,3,6
97學年,嘉義市,-,-,-,-,-,4,-,-,-,4
97學年,臺南市,-,-,-,-,-,9,-,-,2,7
97學年,金門縣,-,-,-,-,-,-,-,-,-,-
97學年,連江縣,-,-,-,-,-,-,-,-,-,-
""
