學年別,縣市別,總計計,總計國立,總計直轄市立,總計縣市立,總計私立,普通科計,普通科國立,普通科直轄市立,普通科縣市立,普通科私立,專業群(職業)科計,專業群(職業)科國立,專業群(職業)科直轄市立,專業群(職業)科縣市立,專業群(職業)科私立
105學年,宜蘭縣,6,5,-,1,-,-,-,-,-,-,6,5,-,1,-
105學年,新竹縣,6,1,-,-,5,1,1,-,-,-,6,1,-,-,5
105學年,苗栗縣,6,2,-,-,4,-,-,-,-,-,6,2,-,-,4
105學年,彰化縣,14,11,-,2,1,2,-,-,2,-,12,11,-,-,1
105學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
105學年,雲林縣,7,3,-,1,3,1,-,-,1,-,6,3,-,-,3
105學年,嘉義縣,4,1,-,-,3,1,-,-,-,1,3,1,-,-,2
105學年,屏東縣,6,3,-,-,3,-,-,-,-,-,6,3,-,-,3
105學年,臺東縣,2,2,-,-,-,-,-,-,-,-,2,2,-,-,-
105學年,花蓮縣,6,4,-,-,2,1,-,-,-,1,5,4,-,-,1
105學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
105學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
105學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
105學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
105學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,總計,212,79,26,3,104,27,5,11,2,9,191,76,15,1,99
104學年,新北市,28,-,15,-,13,9,-,9,-,-,19,-,6,-,13
104學年,臺北市,24,1,5,-,18,3,-,-,-,3,22,1,5,-,16
104學年,桃園市,17,5,-,-,12,1,-,-,-,1,17,5,-,-,12
104學年,臺中市,21,9,1,-,11,2,-,1,-,1,20,9,-,-,11
104學年,臺南市,22,13,-,-,9,2,1,-,-,1,20,12,-,-,8
104學年,高雄市,18,2,5,-,11,1,-,1,-,-,17,2,4,-,11
104學年,宜蘭縣,6,5,-,1,-,-,-,-,-,-,6,5,-,1,-
104學年,新竹縣,6,1,-,-,5,2,1,-,-,1,6,1,-,-,5
104學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
104學年,彰化縣,13,12,-,-,1,1,1,-,-,-,12,11,-,-,1
104學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
104學年,雲林縣,6,3,-,1,2,1,-,-,1,-,5,3,-,-,2
104學年,嘉義縣,4,1,-,-,3,1,-,-,-,1,3,1,-,-,2
104學年,屏東縣,7,3,-,-,4,-,-,-,-,-,7,3,-,-,4
104學年,臺東縣,2,2,-,-,-,-,-,-,-,-,2,2,-,-,-
104學年,花蓮縣,6,4,-,-,2,1,-,-,-,1,5,4,-,-,1
104學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
104學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
104學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
104學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
104學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,總計,220,81,27,3,109,28,5,12,2,9,198,78,15,1,104
103學年,新北市,30,-,16,-,14,10,-,10,-,-,20,-,6,-,14
103學年,臺北市,24,1,5,-,18,3,-,-,-,3,22,1,5,-,16
103學年,臺中市,22,10,1,-,11,2,-,1,-,1,21,10,-,-,11
103學年,臺南市,23,13,-,-,10,2,1,-,-,1,21,12,-,-,9
103學年,高雄市,19,2,5,-,12,1,-,1,-,-,18,2,4,-,12
103學年,宜蘭縣,7,6,-,1,-,-,-,-,-,-,7,6,-,1,-
103學年,桃園縣,17,5,-,-,12,1,-,-,-,1,17,5,-,-,12
103學年,新竹縣,6,1,-,-,5,2,1,-,-,1,6,1,-,-,5
103學年,苗栗縣,7,2,-,-,5,-,-,-,-,-,7,2,-,-,5
103學年,彰化縣,15,12,-,-,3,1,1,-,-,-,14,11,-,-,3
103學年,南投縣,7,6,-,-,1,1,1,-,-,-,7,6,-,-,1
103學年,雲林縣,6,3,-,1,2,1,-,-,1,-,5,3,-,-,2
103學年,嘉義縣,4,1,-,-,3,1,-,-,-,1,3,1,-,-,2
103學年,屏東縣,7,3,-,-,4,-,-,-,-,-,7,3,-,-,4
103學年,臺東縣,2,2,-,-,-,-,-,-,-,-,2,2,-,-,-
103學年,花蓮縣,6,4,-,-,2,1,-,-,-,1,5,4,-,-,1
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,5,3,-,-,2,-,-,-,-,-,5,3,-,-,2
103學年,新竹市,6,2,-,1,3,1,-,-,1,-,5,2,-,-,3
103學年,嘉義市,6,4,-,-,2,1,1,-,-,-,5,3,-,-,2
103學年,金門縣,1,1,-,-,-,-,-,-,-,-,1,1,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
""
