學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,延修生計,延修生男,延修生女
102學年,22歲以上,7,2,5,1,1,-,2,-,2,4,1,3,-,-,-
101學年,總計,79519,37392,42127,25815,12374,13441,26824,12653,14171,26857,12347,14510,23,18,5
101學年,未滿14歲,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
101學年,14至未滿15歲,140,65,75,140,65,75,-,-,-,-,-,-,-,-,-
101學年,15至未滿16歲,25147,11934,13213,24775,11775,13000,371,159,212,1,-,1,-,-,-
101學年,16至未滿17歲,26485,12419,14066,733,436,297,25325,11795,13530,427,188,239,-,-,-
101學年,17至未滿18歲,26406,12179,14227,116,69,47,970,597,373,25320,11513,13807,-,-,-
101學年,18至未滿19歲,1103,649,454,36,21,15,129,86,43,922,531,391,16,11,5
101學年,19至未滿20歲,173,104,69,5,3,2,17,9,8,146,87,59,5,5,-
101學年,20至未滿21歲,39,28,11,5,4,1,6,4,2,27,19,8,1,1,-
101學年,21至未滿22歲,17,8,9,3,1,2,3,1,2,10,5,5,1,1,-
101學年,22歲以上,8,6,2,1,-,1,3,2,1,4,4,-,-,-,-
100學年,總計,83674,39252,44422,27660,13192,14468,27719,12916,14803,28250,13109,15141,45,35,10
100學年,未滿14歲,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
100學年,14至未滿15歲,372,163,209,371,163,208,1,-,1,-,-,-,-,-,-
100學年,15至未滿16歲,26644,12597,14047,26199,12399,13800,444,198,246,1,-,1,-,-,-
100學年,16至未滿17歲,27368,12668,14700,887,503,384,25962,11935,14027,519,230,289,-,-,-
100學年,17至未滿18歲,27588,12860,14728,159,106,53,1083,647,436,26346,12107,14239,-,-,-
100學年,18至未滿19歲,1371,765,606,26,11,15,176,105,71,1144,628,516,25,21,4
100學年,19至未滿20歲,233,139,94,3,1,2,34,20,14,186,111,75,10,7,3
100學年,20至未滿21歲,62,40,22,9,7,2,9,4,5,38,24,14,6,5,1
100學年,21至未滿22歲,21,14,7,-,-,-,8,6,2,13,8,5,-,-,-
100學年,22歲以上,14,6,8,5,2,3,2,1,1,3,1,2,4,2,2
99學年,總計,89088,41555,47533,28449,13327,15122,28928,13557,15371,31656,14635,17021,55,36,19
99學年,未滿14歲,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-
99學年,14至未滿15歲,472,210,262,472,210,262,-,-,-,-,-,-,-,-,-
99學年,15至未滿16歲,27348,12706,14642,26821,12467,14354,526,238,288,1,1,-,-,-,-
99學年,16至未滿17歲,28599,13330,15269,940,519,421,26989,12514,14475,670,297,373,-,-,-
99學年,17至未滿18歲,30737,14151,16586,161,103,58,1172,659,513,29404,13389,16015,-,-,-
99學年,18至未滿19歲,1571,936,635,38,22,16,184,110,74,1322,787,535,27,17,10
99學年,19至未滿20歲,268,162,106,10,2,8,38,22,16,200,124,76,20,14,6
99學年,20至未滿21歲,68,46,22,4,3,1,14,10,4,47,31,16,3,2,1
99學年,21至未滿22歲,19,10,9,1,-,1,2,2,-,11,5,6,5,3,2
99學年,22歲以上,5,4,1,1,1,-,3,2,1,1,1,-,-,-,-
98學年,總計,96396,45183,51213,29924,14166,15758,32378,15094,17284,33875,15763,18112,219,160,59
98學年,未滿14歲,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-
98學年,14至未滿15歲,547,245,302,546,244,302,1,1,-,-,-,-,-,-,-
98學年,15至未滿16歲,28597,13404,15193,27916,13101,14815,681,303,378,-,-,-,-,-,-
98學年,16至未滿17歲,32013,14753,17260,1213,669,544,29971,13739,16232,829,345,484,-,-,-
98學年,17至未滿18歲,32820,15332,17488,177,109,68,1452,888,564,31187,14333,16854,4,2,2
98學年,18至未滿19歲,1981,1157,824,47,27,20,212,126,86,1593,912,681,129,92,37
98學年,19至未滿20歲,330,226,104,21,13,8,43,30,13,209,142,67,57,41,16
98學年,20至未滿21歲,69,40,29,1,1,-,12,4,8,44,24,20,12,11,1
98學年,21至未滿22歲,28,18,10,3,2,1,4,3,1,12,6,6,9,7,2
98學年,22歲以上,10,8,2,-,-,-,1,-,1,1,1,-,8,7,1
97學年,總計,103575,48820,54755,33319,15632,17687,34649,16315,18334,35382,16721,18661,225,152,73
97學年,未滿14歲,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-
97學年,14至未滿15歲,687,314,373,687,314,373,-,-,-,-,-,-,-,-,-
