學年別,學程類別,總計學生數計,總計學生數男,總計學生數女,總計1年級計,總計1年級男,總計1年級女,總計2年級計,總計2年級男,總計2年級女,總計3年級計,總計3年級男,總計3年級女,總計延修生計,總計延修生男,總計延修生女,總計上學年畢業生數計,總計上學年畢業生數男,總計上學年畢業生數女,國立學生數計,國立學生數男,國立學生數女,國立1年級計,國立1年級男,國立1年級女,國立2年級計,國立2年級男,國立2年級女,國立3年級計,國立3年級男,國立3年級女,國立延修生計,國立延修生男,國立延修生女,國立上學年畢業生數計,國立上學年畢業生數男,國立上學年畢業生數女,直轄市立學生數計,直轄市立學生數男,直轄市立學生數女,直轄市立1年級計,直轄市立1年級男,直轄市立1年級女,直轄市立2年級計,直轄市立2年級男,直轄市立2年級女,直轄市立3年級計,直轄市立3年級男,直轄市立3年級女,直轄市立延修生計,直轄市立延修生男,直轄市立延修生女,直轄市立上學年畢業生數計,直轄市立上學年畢業生數男,直轄市立上學年畢業生數女,縣市立學生數計,縣市立學生數男,縣市立學生數女,縣市立1年級計,縣市立1年級男,縣市立1年級女,縣市立2年級計,縣市立2年級男,縣市立2年級女,縣市立3年級計,縣市立3年級男,縣市立3年級女,縣市立延修生計,縣市立延修生男,縣市立延修生女,縣市立上學年畢業生數計,縣市立上學年畢業生數男,縣市立上學年畢業生數女,私立學生數計,私立學生數男,私立學生數女,私立1年級計,私立1年級男,私立1年級女,私立2年級計,私立2年級男,私立2年級女,私立3年級計,私立3年級男,私立3年級女,私立延修生計,私立延修生男,私立延修生女,私立上學年畢業生數計,私立上學年畢業生數男,私立上學年畢業生數女
100學年,專門學程,33637,15633,18004,-,-,-,16658,7756,8902,16949,7854,9095,30,23,7,19455,8868,10587,10177,4814,5363,-,-,-,4927,2349,2578,5234,2453,2781,16,12,4,5718,2562,3156,2536,1445,1091,-,-,-,1329,760,569,1206,684,522,1,1,-,1226,631,595,739,319,420,-,-,-,391,170,221,348,149,199,-,-,-,455,203,252,20185,9055,11130,-,-,-,10011,4477,5534,10161,4568,5593,13,10,3,12056,5472,6584
99學年,總計,89088,41555,47533,28449,13327,15122,28928,13557,15371,31656,14635,17021,55,36,19,33319,15342,17977,36475,16902,19573,11675,5440,6235,12158,5702,6456,12614,5741,6873,28,19,9,12121,5498,6623,7868,4248,3620,2653,1487,1166,2607,1420,1187,2608,1341,1267,-,-,-,2531,1294,1237,4333,1897,2436,1426,650,776,1385,614,771,1522,633,889,-,-,-,1512,664,848,40412,18508,21904,12695,5750,6945,12778,5821,6957,14912,6920,7992,27,17,10,17155,7886,9269
99學年,學術學程,51688,24112,27576,28449,13327,15122,11496,5359,6137,11738,5422,6316,5,4,1,11134,5215,5919,25140,11634,13506,11675,5440,6235,6750,3132,3618,6712,3060,3652,3,2,1,6264,2839,3425,5765,3040,2725,2653,1487,1166,1564,796,768,1548,757,791,-,-,-,1371,677,694,3120,1367,1753,1426,650,776,867,389,478,827,328,499,-,-,-,777,339,438,17663,8071,9592,12695,5750,6945,2315,1042,1273,2651,1277,1374,2,2,-,2722,1360,1362
99學年,專門學程,37400,17443,19957,-,-,-,17432,8198,9234,19918,9213,10705,50,32,18,22185,10127,12058,11335,5268,6067,-,-,-,5408,2570,2838,5902,2681,3221,25,17,8,5857,2659,3198,2103,1208,895,-,-,-,1043,624,419,1060,584,476,-,-,-,1160,617,543,1213,530,683,-,-,-,518,225,293,695,305,390,-,-,-,735,325,410,22749,10437,12312,-,-,-,10463,4779,5684,12261,5643,6618,25,15,10,14433,6526,7907
98學年,總計,96396,45183,51213,29924,14166,15758,32378,15094,17284,33875,15763,18112,219,160,59,34748,16278,18470,37607,17396,20211,12315,5774,6541,12829,5875,6954,12347,5661,6686,116,86,30,12001,5571,6430,7905,4201,3704,2584,1406,1178,2670,1396,1274,2630,1387,1243,21,12,9,2481,1342,1139,4526,1985,2541,1428,642,786,1570,666,904,1527,677,850,1,-,1,1489,668,821,46358,21601,24757,13597,6344,7253,15309,7157,8152,17371,8038,9333,81,62,19,18777,8697,10080
98學年,學術學程,53130,24959,28171,29924,14166,15758,11863,5469,6394,11296,5285,6011,47,39,8,12115,5708,6407,25445,11792,13653,12315,5774,6541,6739,3084,3655,6359,2907,3452,32,27,5,6238,2922,3316,5584,2903,2681,2584,1406,1178,1582,786,796,1414,708,706,4,3,1,1465,726,739,3079,1344,1735,1428,642,786,862,352,510,788,350,438,1,-,1,760,336,424,19022,8920,10102,13597,6344,7253,2680,1247,1433,2735,1320,1415,10,9,1,3652,1724,1928
98學年,專門學程,43266,20224,23042,-,-,-,20515,9625,10890,22579,10478,12101,172,121,51,22633,10570,12063,12162,5604,6558,-,-,-,6090,2791,3299,5988,2754,3234,84,59,25,5763,2649,3114,2321,1298,1023,-,-,-,1088,610,478,1216,679,537,17,9,8,1016,616,400,1447,641,806,-,-,-,708,314,394,739,327,412,-,-,-,729,332,397,27336,12681,14655,-,-,-,12629,5910,6719,14636,6718,7918,71,53,18,15125,6973,8152
97學年,總計,103575,48820,54755,33319,15632,17687,34649,16315,18334,35382,16721,18661,225,152,73,36746,17152,19594,37815,17550,20265,12842,5856,6986,12597,5864,6733,12246,5743,6503,130,87,43,11747,5427,6320,7906,4208,3698,2644,1378,1266,2686,1418,1268,2555,1401,1154,21,11,10,2461,1352,1109,4674,2061,2613,1594,670,924,1571,708,863,1505,679,826,4,4,-,1553,687,866,53180,25001,28179,16239,7728,8511,17795,8325,9470,19076,8898,10178,70,50,20,20985,9686,11299
97學年,學術學程,57392,27130,30262,33319,15632,17687,11608,5540,6068,12415,5927,6488,50,31,19,13555,6477,7078,25726,11961,13765,12842,5856,6986,6532,3078,3454,6322,3007,3315,30,20,10,6242,2920,3322,5563,2839,2724,2644,1378,1266,1441,717,724,1469,739,730,9,5,4,1462,804,658,3187,1389,1798,1594,670,924,811,365,446,782,354,428,-,-,-,891,396,495,22916,10941,11975,16239,7728,8511,2824,1380,1444,3842,1827,2015,11,6,5,4960,2357,2603
97學年,專門學程,46183,21690,24493,-,-,-,23041,10775,12266,22967,10794,12173,175,121,54,23191,10675,12516,12089,5589,6500,-,-,-,6065,2786,3279,5924,2736,3188,100,67,33,5505,2507,2998,2343,1369,974,-,-,-,1245,701,544,1086,662,424,12,6,6,999,548,451,1487,672,815,-,-,-,760,343,417,723,325,398,4,4,-,662,291,371,30264,14060,16204,-,-,-,14971,6945,8026,15234,7071,8163,59,44,15,16025,7329,8696
""
