學年別,學門別,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
102學年,商業及管理學門,32,9,-,23,38,4,-,34,4,3,-,1,111,30,-,81,668,140,-,528,509,229,-,280,78,56,-,22
102學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,41,13,-,28,53,30,-,23,10,6,-,4
102學年,生命科學學門,1,-,-,1,1,-,-,1,-,-,-,-,3,-,-,3,76,32,-,44,111,62,-,49,52,42,-,10
102學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,47,2,19,88,70,3,15,61,52,-,9
102學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,24,1,22,54,33,2,19,20,17,-,3
102學年,電算機學門,23,3,-,20,14,2,-,12,-,-,-,-,41,5,-,36,247,36,-,211,121,48,-,73,14,12,-,2
102學年,工程學門,28,2,-,26,28,4,-,24,3,3,-,-,76,32,-,44,722,265,1,456,726,401,2,323,229,166,-,63
102學年,建築及都市規劃學門,1,-,-,1,3,2,-,1,-,-,-,-,2,1,-,1,51,11,-,40,56,19,-,37,7,5,-,2
102學年,農業科學學門,2,2,-,-,4,4,-,-,-,-,-,-,-,-,-,-,94,65,-,29,79,67,-,12,29,28,-,1
102學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,11,11,-,-,5,5,-,-
102學年,醫藥衛生學門,40,2,-,38,11,-,-,11,2,-,-,2,60,3,-,57,172,23,-,149,206,71,1,134,98,50,-,48
102學年,社會服務學門,14,-,-,14,23,2,-,21,-,-,-,-,38,2,-,36,93,12,-,81,40,11,-,29,5,4,-,1
102學年,民生學門,52,3,-,49,65,9,-,56,1,-,-,1,82,10,-,72,493,66,7,420,143,61,9,73,7,5,2,-
102學年,運輸服務學門,2,1,-,1,1,-,-,1,2,1,-,1,4,2,-,2,30,13,-,17,23,14,-,9,3,3,-,-
102學年,環境保護學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,-,8,13,6,-,7,2,2,-,-
102學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,1,-,-,1,-,-,-,-
102學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,3,1,-,2,1,-,-,1
101學年,總計,257,30,-,227,206,25,-,181,16,9,-,7,500,107,-,393,3858,1099,24,2735,3289,1823,46,1420,822,615,5,202
101學年,教育學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,100,76,6,18,277,225,16,36,58,55,2,1
101學年,藝術學門,9,4,-,5,1,-,-,1,1,-,-,1,9,4,-,5,114,69,4,41,132,100,6,26,12,11,-,1
101學年,人文學門,32,3,-,29,2,1,-,1,-,-,-,-,36,8,-,28,357,110,2,245,270,153,4,113,69,49,1,19
101學年,設計學門,19,1,-,18,7,-,-,7,1,1,-,-,24,5,-,19,234,26,-,208,93,34,-,59,9,6,-,3
101學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,122,60,2,60,246,146,3,97,60,46,-,14
101學年,傳播學門,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,4,79,12,-,67,60,24,-,36,5,4,-,1
101學年,商業及管理學門,32,9,-,23,36,3,-,33,5,3,-,2,108,30,-,78,700,139,-,561,500,230,-,270,76,55,-,21
101學年,法律學門,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,42,13,-,29,54,30,-,24,10,6,-,4
101學年,生命科學學門,1,-,-,1,1,-,-,1,-,-,-,-,5,-,-,5,77,33,-,44,115,63,-,52,51,41,-,10
101學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,46,2,20,89,70,3,16,59,50,-,9
101學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,24,1,23,54,32,2,20,19,17,-,2
101學年,電算機學門,25,3,-,22,18,2,-,16,-,-,-,-,49,4,-,45,246,37,-,209,118,47,-,71,13,11,-,2
101學年,工程學門,31,2,-,29,32,4,-,28,4,4,-,-,80,32,-,48,744,262,1,481,714,404,2,308,229,166,-,63
101學年,建築及都市規劃學門,1,-,-,1,3,2,-,1,-,-,-,-,3,1,-,2,53,10,-,43,57,19,-,38,7,5,-,2
