學年別,學門別,五專(含七年)總計,五專(含七年)國立,五專(含七年)直轄市立,五專(含七年)私立,二專總計,二專國立,二專直轄市立,二專私立,學士後學士學位總計,學士後學士學位國立,學士後學士學位直轄市立,學士後學士學位私立,大學二年制(含二技)總計,大學二年制(含二技)國立,大學二年制(含二技)直轄市立,大學二年制(含二技)私立,大學四年制(含四技)總計,大學四年制(含四技)國立,大學四年制(含四技)直轄市立,大學四年制(含四技)私立,碩士班總計,碩士班國立,碩士班直轄市立,碩士班私立,博士班總計,博士班國立,博士班直轄市立,博士班私立
97學年,設計學門,6,-,-,6,10,-,-,10,-,-,-,-,36,5,-,31,151,24,-,127,65,28,-,37,7,5,-,2
97學年,社會及行為科學學門,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,2,125,59,2,64,260,156,2,102,62,46,-,16
97學年,傳播學門,-,-,-,-,2,-,-,2,-,-,-,-,12,1,-,11,86,12,-,74,58,23,-,35,3,2,-,1
97學年,商業及管理學門,46,10,-,36,71,10,-,61,-,-,-,-,242,41,-,201,731,141,-,590,469,214,-,255,73,55,-,18
97學年,法律學門,1,-,-,1,-,-,-,-,-,-,-,-,2,2,-,-,45,12,-,33,47,26,-,21,9,6,-,3
97學年,生命科學學門,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,6,79,32,-,47,115,68,-,47,48,39,-,9
97學年,自然科學學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,46,-,20,89,74,-,15,52,45,-,7
97學年,數學及統計學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,25,-,24,53,33,-,20,21,18,-,3
97學年,電算機學門,25,2,-,23,41,3,-,38,-,-,-,-,93,9,-,84,214,36,-,178,103,44,-,59,13,11,-,2
97學年,工程學門,49,1,-,48,94,9,-,85,-,-,-,-,252,69,-,183,813,260,1,552,702,392,1,309,214,152,-,62
97學年,建築及都市規劃學門,2,-,-,2,3,2,-,1,-,-,-,-,7,3,-,4,52,10,-,42,56,17,-,39,7,5,-,2
97學年,農業科學學門,1,-,-,1,8,3,-,5,-,-,-,-,12,5,-,7,89,62,-,27,76,65,-,11,26,25,-,1
97學年,獸醫學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,10,10,-,-,5,5,-,-
97學年,醫藥衛生學門,39,2,-,37,27,3,-,24,-,-,-,-,91,2,-,89,164,20,-,144,194,76,-,118,79,43,-,36
97學年,社會服務學門,9,-,-,9,25,-,-,25,-,-,-,-,47,3,-,44,92,11,-,81,39,14,1,24,4,3,-,1
97學年,民生學門,38,1,-,37,85,9,-,76,-,-,-,-,89,14,-,75,310,50,6,254,114,52,9,53,3,2,-,1
97學年,運輸服務學門,2,1,-,1,5,1,-,4,-,-,-,-,8,4,-,4,27,12,-,15,23,14,-,9,4,4,-,-
97學年,環境保護學門,-,-,-,-,1,-,-,1,-,-,-,-,3,-,-,3,19,3,-,16,28,10,-,18,3,3,-,-
97學年,軍警國防安全學門,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-
97學年,其他學門,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,-,2,3,1,-,2,1,-,-,1
""
