學年別,年齡別,總計計,總計男,總計女,1年級計,1年級男,1年級女,2年級計,2年級男,2年級女,3年級計,3年級男,3年級女,4年級計,4年級男,4年級女,5年級計,5年級男,5年級女,6年級計,6年級男,6年級女
103學年,6至未滿7歲,197817,103597,94220,197669,103522,94147,148,75,73,-,-,-,-,-,-,-,-,-,-,-,-
103學年,7至未滿8歲,198755,103723,95032,374,242,132,198229,103402,94827,152,79,73,-,-,-,-,-,-,-,-,-
103學年,8至未滿9歲,201743,105827,95916,16,8,8,459,289,170,201124,105442,95682,141,85,56,3,3,-,-,-,-
103學年,9至未滿10歲,208876,108812,100064,4,2,2,33,17,16,553,329,224,208088,108361,99727,194,101,93,4,2,2
103學年,10至未滿11歲,214704,112960,101744,3,1,2,13,6,7,45,24,21,607,351,256,213786,112455,101331,250,123,127
103學年,11至未滿12歲,229637,120203,109434,2,1,1,3,2,1,15,8,7,66,33,33,693,409,284,228858,119750,109108
103學年,12至未滿13歲,919,564,355,-,-,-,1,1,-,2,1,1,13,8,5,64,40,24,839,514,325
103學年,13至未滿14歲,121,62,59,-,-,-,-,-,-,1,1,-,3,1,2,16,13,3,101,47,54
103學年,14至未滿15歲,24,9,15,-,-,-,-,-,-,-,-,-,1,-,1,5,3,2,18,6,12
103學年,15歲以上,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-
102學年,總計,1297120,678774,618346,198820,103758,95062,201826,105844,95982,208888,108868,100020,214687,112993,101694,230015,120391,109624,242884,126920,115964
102學年,未滿6歲,179,90,89,179,90,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,6至未滿7歲,198179,103374,94805,197999,103281,94718,180,93,87,-,-,-,-,-,-,-,-,-,-,-,-
102學年,7至未滿8歲,201649,105774,95875,602,367,235,200881,105300,95581,166,107,59,-,-,-,-,-,-,-,-,-
102學年,8至未滿9歲,208801,108820,99981,27,16,11,711,418,293,207856,108277,99579,202,105,97,5,4,1,-,-,-
102學年,9至未滿10歲,214551,112882,101669,10,2,8,38,20,18,773,435,338,213492,112305,101187,235,118,117,3,2,1
102學年,10至未滿11歲,230009,120418,109591,3,2,1,8,7,1,66,33,33,909,531,378,228684,119669,109015,339,176,163
102學年,11至未滿12歲,242203,126540,115663,-,-,-,5,3,2,20,12,8,59,36,23,987,553,434,241132,125936,115196
102學年,12至未滿13歲,1391,796,595,-,-,-,3,3,-,5,3,2,16,13,3,89,41,48,1278,736,542
102學年,13至未滿14歲,127,65,62,-,-,-,-,-,-,2,1,1,8,3,5,14,6,8,103,55,48
102學年,14至未滿15歲,29,14,15,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,27,14,13
102學年,15歲以上,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1
101學年,總計,1373366,718515,654851,201869,105875,95994,208809,108827,99982,214692,113065,101627,230001,120437,109564,242778,126900,115878,275217,143411,131806
101學年,未滿6歲,196,98,98,195,98,97,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-
101學年,6至未滿7歲,201239,105528,95711,201105,105449,95656,134,79,55,-,-,-,-,-,-,-,-,-,-,-,-
101學年,7至未滿8歲,208756,108790,99966,536,313,223,208048,108382,99666,172,95,77,-,-,-,-,-,-,-,-,-
101學年,8至未滿9歲,214618,113001,101617,26,11,15,559,333,226,213777,112525,101252,254,130,124,2,2,-,-,-,-
101學年,9至未滿10歲,229936,120409,109527,4,2,2,55,24,31,644,381,263,228888,119814,109074,341,184,157,4,4,-
101學年,10至未滿11歲,242483,126729,115754,3,2,1,8,6,2,70,47,23,758,450,308,241373,126086,115287,271,138,133
101學年,11至未滿12歲,274887,143229,131658,-,-,-,3,3,-,25,17,8,84,37,47,944,563,381,273831,142609,131222
101學年,12至未滿13歲,1104,650,454,-,-,-,1,-,1,3,-,3,16,6,10,90,48,42,994,596,398
101學年,13至未滿14歲,113,64,49,-,-,-,-,-,-,-,-,-,-,-,-,26,17,9,87,47,40
101學年,14至未滿15歲,23,14,9,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,20,14,6
101學年,15歲以上,11,3,8,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,10,3,7
100學年,總計,1457004,762016,694988,208843,108858,99985,214680,112998,101682,230038,120463,109575,242697,126844,115853,275045,143340,131705,285701,149513,136188
100學年,未滿6歲,131,76,55,131,76,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,6至未滿7歲,208321,108535,99786,208123,108433,99690,198,102,96,-,-,-,-,-,-,-,-,-,-,-,-
100學年,7至未滿8歲,214612,112942,101670,535,324,211,213798,112484,101314,279,134,145,-,-,-,-,-,-,-,-,-
100學年,8至未滿9歲,229878,120378,109500,41,16,25,612,370,242,228892,119824,109068,333,168,165,-,-,-,-,-,-
100學年,9至未滿10歲,242475,126745,115730,10,7,3,52,29,23,758,452,306,241344,126093,115251,309,162,147,2,2,-
100學年,10至未滿11歲,275223,143420,131803,3,2,1,16,13,3,79,41,38,913,521,392,273681,142575,131106,531,268,263
100學年,11至未滿12歲,285065,149147,135918,-,-,-,3,-,3,28,11,17,84,45,39,944,542,402,284006,148549,135457
100學年,12至未滿13歲,1147,683,464,-,-,-,1,-,1,1,1,-,22,17,5,82,45,37,1041,620,421
100學年,13至未滿14歲,115,72,43,-,-,-,-,-,-,1,-,1,1,-,1,23,13,10,90,59,31
100學年,14至未滿15歲,31,17,14,-,-,-,-,-,-,-,-,-,-,-,-,6,3,3,25,14,11
100學年,15歲以上,6,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,5
99學年,總計,1519746,794652,725094,214638,112978,101660,230027,120458,109569,242778,126929,115849,275073,143390,131683,285589,149417,136172,271641,141480,130161
99學年,未滿6歲,184,93,91,184,93,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99學年,6至未滿7歲,213972,112563,101409,213728,112443,101285,244,120,124,-,-,-,-,-,-,-,-,-,-,-,-
99學年,7至未滿8歲,229815,120370,109445,665,406,259,228812,119788,109024,338,176,162,-,-,-,-,-,-,-,-,-
99學年,8至未滿9歲,242449,126737,115712,43,28,15,847,493,354,241275,126063,115212,281,151,130,3,2,1,-,-,-
99學年,9至未滿10歲,275264,143483,131781,10,7,3,78,35,43,1051,620,431,273572,142545,131027,548,271,277,5,5,-
99學年,10至未滿11歲,285674,149422,136252,6,1,5,27,14,13,72,43,29,1126,641,485,283713,148379,135334,730,344,386
99學年,11至未滿12歲,270828,141103,129725,1,-,1,17,8,9,39,27,12,71,39,32,1229,710,519,269471,140319,129152
99學年,12至未滿13歲,1398,791,607,1,-,1,2,-,2,3,-,3,19,12,7,79,45,34,1294,734,560
99學年,13至未滿14歲,124,71,53,-,-,-,-,-,-,-,-,-,3,1,2,15,10,5,106,60,46
99學年,14至未滿15歲,31,16,15,-,-,-,-,-,-,-,-,-,1,1,-,2,-,2,28,15,13
99學年,15歲以上,7,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,3,4
98學年,總計,1593398,831989,761409,230133,120504,109629,242715,126854,115861,275122,143444,131678,285606,149485,136121,271518,141442,130076,288304,150260,138044
98學年,未滿6歲,342,171,171,342,171,171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,6至未滿7歲,229285,119996,109289,228906,119814,109092,379,182,197,-,-,-,-,-,-,-,-,-,-,-,-
98學年,7至未滿8歲,242261,126609,115652,823,494,329,241149,125966,115183,289,149,140,-,-,-,-,-,-,-,-,-
98學年,8至未滿9歲,275245,143488,131757,45,19,26,1060,634,426,273572,142549,131023,566,284,282,2,2,-,-,-,-
98學年,9至未滿10歲,285657,149508,136149,12,3,9,73,39,34,1135,671,464,283710,148442,135268,727,353,374,-,-,-
98學年,10至未滿11歲,271371,141381,129990,3,2,1,33,20,13,81,44,37,1229,700,529,269360,140278,129082,665,337,328
98學年,11至未滿12歲,287354,149728,137626,1,-,1,17,10,7,39,28,11,78,47,31,1290,726,564,285929,148917,137012
98學年,12至未滿13歲,1708,1012,696,1,1,-,3,2,1,6,3,3,19,12,7,110,64,46,1569,930,639
98學年,13至未滿14歲,134,76,58,-,-,-,-,-,-,-,-,-,3,-,3,20,13,7,111,63,48
98學年,14至未滿15歲,29,15,14,-,-,-,-,-,-,-,-,-,1,-,1,7,5,2,21,10,11
98學年,15歲以上,12,5,7,-,-,-,1,1,-,-,-,-,-,-,-,2,1,1,9,3,6
97學年,總計,1677439,875122,802317,242676,126814,115862,274990,143349,131641,285688,149555,136133,271615,141501,130114,288336,150234,138102,314134,163669,150465
97學年,未滿6歲,598,254,344,598,254,344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,6至未滿7歲,241475,126165,115310,241048,125951,115097,427,214,213,-,-,-,-,-,-,-,-,-,-,-,-
97學年,7至未滿8歲,275013,143370,131643,973,578,395,273324,142427,130897,716,365,351,-,-,-,-,-,-,-,-,-
97學年,8至未滿9歲,285541,149426,136115,43,23,20,1126,645,481,283536,148342,135194,836,416,420,-,-,-,-,-,-
97學年,9至未滿10歲,271655,141547,130108,10,5,5,66,32,34,1283,752,531,269186,140194,128992,1107,562,545,3,2,1
97學年,10至未滿11歲,287561,149833,137728,3,2,1,28,19,9,107,65,42,1440,807,633,284420,148148,136272,1563,792,771
97學年,11至未滿12歲,311038,162037,149001,-,-,-,16,9,7,41,27,14,117,66,51,2669,1448,1221,308195,160487,147708
97學年,12至未滿13歲,4205,2358,1847,1,1,-,3,3,-,4,3,1,26,12,14,111,60,51,4060,2279,1781
97學年,13至未滿14歲,312,113,199,-,-,-,-,-,-,1,1,-,6,4,2,21,12,9,284,96,188
97學年,14至未滿15歲,26,13,13,-,-,-,-,-,-,-,-,-,2,2,-,5,2,3,19,9,10
97學年,15歲以上,15,6,9,-,-,-,-,-,-,-,-,-,2,-,2,3,2,1,10,4,6
""
