學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
102學年,嘉義縣,77,26,26,25,33,11,11,11,-,-,-,-,19,7,6,6,25,8,9,8
102學年,屏東縣,257,82,88,87,156,52,52,52,-,-,-,-,58,19,20,19,43,11,16,16
102學年,臺東縣,23,7,8,8,21,7,7,7,-,-,-,-,-,-,-,-,2,-,1,1
102學年,花蓮縣,124,41,42,41,78,26,26,26,-,-,-,-,6,2,2,2,40,13,14,13
102學年,澎湖縣,36,12,12,12,36,12,12,12,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,170,53,60,57,104,30,36,38,-,-,-,-,44,16,16,12,22,7,8,7
102學年,新竹市,221,74,74,73,132,44,44,44,-,-,-,-,60,20,20,20,29,10,10,9
102學年,嘉義市,167,55,55,57,111,37,37,37,-,-,-,-,-,-,-,-,56,18,18,20
102學年,金門縣,30,10,10,10,30,10,10,10,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,8147,2739,2718,2690,3121,1049,1041,1031,2445,818,816,811,535,191,179,165,2046,681,682,683
101學年,新北市,984,329,329,326,375,124,127,124,300,104,98,98,-,-,-,-,309,101,104,104
101學年,臺北市,1704,561,574,569,99,32,34,33,1253,415,421,417,-,-,-,-,352,114,119,119
101學年,臺中市,925,314,305,306,409,137,136,136,208,72,68,68,-,-,-,-,308,105,101,102
101學年,臺南市,719,240,240,239,372,125,125,122,51,17,17,17,-,-,-,-,296,98,98,100
101學年,高雄市,989,326,332,331,204,68,68,68,633,210,212,211,-,-,-,-,152,48,52,52
101學年,宜蘭縣,167,56,56,55,129,43,43,43,-,-,-,-,5,2,2,1,33,11,11,11
101學年,桃園縣,685,232,226,227,309,103,103,103,-,-,-,-,219,76,71,72,157,53,52,52
101學年,新竹縣,83,28,29,26,48,16,16,16,-,-,-,-,13,4,5,4,22,8,8,6
