學年別,學門別,總計計,總計男,總計女,五專(含七年)計,五專(含七年)男,五專(含七年)女,二專計,二專男,二專女,學士後學士學位計,學士後學士學位男,學士後學士學位女,大學二年制(含二技)計,大學二年制(含二技)男,大學二年制(含二技)女,大學四年制(含四技)計,大學四年制(含四技)男,大學四年制(含四技)女,碩士班計,碩士班男,碩士班女,博士班計,博士班男,博士班女
100學年,教育學門,2038,335,1703,-,-,-,-,-,-,-,-,-,84,1,83,1284,112,1172,609,201,408,61,21,40
100學年,藝術學門,4940,1402,3538,1977,463,1514,20,10,10,-,-,-,514,38,476,2155,817,1338,274,74,200,-,-,-
100學年,人文學門,40028,9174,30854,7817,1369,6448,182,59,123,-,-,-,2276,484,1792,28663,6955,21708,1090,307,783,-,-,-
100學年,設計學門,39667,15233,24434,1695,684,1011,247,143,104,72,34,38,1013,451,562,34602,12912,21690,1827,905,922,211,104,107
100學年,社會及行為科學學門,313,99,214,-,-,-,-,-,-,-,-,-,-,-,-,219,54,165,94,45,49,-,-,-
100學年,傳播學門,5680,2332,3348,-,-,-,3,2,1,11,7,4,45,29,16,5581,2268,3313,40,26,14,-,-,-
100學年,商業及管理學門,130605,47392,83213,7743,1979,5764,2064,1057,1007,36,19,17,7041,2630,4411,105470,37468,68002,7725,3906,3819,526,333,193
100學年,法律學門,1457,667,790,-,-,-,-,-,-,25,17,8,-,-,-,1096,437,659,336,213,123,-,-,-
100學年,生命科學學門,5057,2828,2229,34,22,12,-,-,-,-,-,-,327,98,229,4034,2345,1689,618,330,288,44,33,11
100學年,自然科學學門,1083,728,355,-,-,-,-,-,-,-,-,-,-,-,-,882,594,288,143,89,54,58,45,13
100學年,數學及統計學門,227,95,132,-,-,-,-,-,-,-,-,-,-,-,-,227,95,132,-,-,-,-,-,-
100學年,電算機學門,55771,36771,19000,5135,3024,2111,1307,779,528,16,16,-,2813,1814,999,44233,29423,14810,2142,1614,528,125,101,24
100學年,工程學門,164131,148561,15570,6241,5705,536,1655,1490,165,44,28,16,5466,4801,665,132001,120067,11934,16848,14747,2101,1876,1723,153
100學年,建築及都市規劃學門,5487,3237,2250,201,153,48,204,139,65,-,-,-,148,93,55,4301,2478,1823,572,326,246,61,48,13
