學年別,縣市別,總計計,總計1年級,總計2年級,總計3年級,國立計,國立1年級,國立2年級,國立3年級,直轄市立計,直轄市立1年級,直轄市立2年級,直轄市立3年級,縣市立計,縣市立1年級,縣市立2年級,縣市立3年級,私立計,私立1年級,私立2年級,私立3年級
103學年,臺東縣,18,6,6,6,18,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-
103學年,花蓮縣,34,11,11,12,25,8,8,9,-,-,-,-,-,-,-,-,9,3,3,3
103學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103學年,基隆市,27,9,10,8,20,7,7,6,-,-,-,-,-,-,-,-,7,2,3,2
103學年,新竹市,62,19,20,23,15,5,5,5,-,-,-,-,3,1,1,1,44,13,14,17
103學年,嘉義市,43,13,14,16,33,10,11,12,-,-,-,-,-,-,-,-,10,3,3,4
103學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
103學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,總計,2248,710,739,799,745,236,248,261,235,90,70,75,8,2,3,3,1260,382,418,460
102學年,新北市,307,95,100,112,-,-,-,-,121,40,39,42,-,-,-,-,186,55,61,70
102學年,臺北市,270,97,85,88,9,2,3,4,43,27,8,8,-,-,-,-,218,68,74,76
102學年,臺中市,323,96,108,119,123,36,41,46,3,1,1,1,-,-,-,-,197,59,66,72
102學年,臺南市,163,51,56,56,98,31,33,34,-,-,-,-,-,-,-,-,65,20,23,22
102學年,高雄市,228,76,74,78,33,11,11,11,68,22,22,24,-,-,-,-,127,43,41,43
102學年,宜蘭縣,55,16,19,20,54,16,18,20,-,-,-,-,1,-,1,-,-,-,-,-
102學年,桃園縣,280,82,91,107,57,17,19,21,-,-,-,-,-,-,-,-,223,65,72,86
102學年,新竹縣,52,15,17,20,6,2,2,2,-,-,-,-,-,-,-,-,46,13,15,18
102學年,苗栗縣,58,19,18,21,15,5,5,5,-,-,-,-,-,-,-,-,43,14,13,16
102學年,彰化縣,157,50,53,54,134,46,46,42,-,-,-,-,-,-,-,-,23,4,7,12
102學年,南投縣,54,17,18,19,50,16,16,18,-,-,-,-,-,-,-,-,4,1,2,1
102學年,雲林縣,29,9,10,10,14,4,5,5,-,-,-,-,3,1,1,1,12,4,4,4
102學年,嘉義縣,12,4,4,4,6,2,2,2,-,-,-,-,-,-,-,-,6,2,2,2
102學年,屏東縣,60,20,19,21,25,9,7,9,-,-,-,-,-,-,-,-,35,11,12,12
102學年,臺東縣,20,6,6,8,19,6,6,7,-,-,-,-,1,-,-,1,-,-,-,-
102學年,花蓮縣,35,11,12,12,26,8,9,9,-,-,-,-,-,-,-,-,9,3,3,3
102學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102學年,基隆市,31,11,9,11,24,8,7,9,-,-,-,-,-,-,-,-,7,3,2,2
102學年,新竹市,66,20,23,23,15,5,5,5,-,-,-,-,3,1,1,1,48,14,17,17
102學年,嘉義市,45,14,16,15,34,11,12,11,-,-,-,-,-,-,-,-,11,3,4,4
102學年,金門縣,3,1,1,1,3,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-
102學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,總計,2387,759,807,821,857,276,291,290,152,48,49,55,9,3,3,3,1369,432,464,473
101學年,新北市,324,102,112,110,73,23,26,24,50,17,16,17,-,-,-,-,201,62,70,69
101學年,臺北市,272,90,88,94,12,3,4,5,26,8,8,10,-,-,-,-,234,79,76,79
101學年,臺中市,355,109,120,126,135,41,46,48,3,1,1,1,-,-,-,-,217,67,73,77
101學年,臺南市,174,57,57,60,101,33,34,34,-,-,-,-,-,-,-,-,73,24,23,26
101學年,高雄市,228,75,78,75,33,11,11,11,73,22,24,27,-,-,-,-,122,42,43,37
101學年,宜蘭縣,59,19,20,20,58,18,20,20,-,-,-,-,1,1,-,-,-,-,-,-
101學年,桃園縣,310,95,110,105,63,20,23,20,-,-,-,-,-,-,-,-,247,75,87,85
101學年,新竹縣,55,17,20,18,6,2,2,2,-,-,-,-,-,-,-,-,49,15,18,16
101學年,苗栗縣,61,19,21,21,15,5,5,5,-,-,-,-,-,-,-,-,46,14,16,16
101學年,彰化縣,166,55,56,55,136,48,44,44,-,-,-,-,-,-,-,-,30,7,12,11
101學年,南投縣,57,19,19,19,52,16,18,18,-,-,-,-,-,-,-,-,5,3,1,1
101學年,雲林縣,33,11,10,12,17,6,5,6,-,-,-,-,3,1,1,1,13,4,4,5
101學年,嘉義縣,12,4,4,4,6,2,2,2,-,-,-,-,-,-,-,-,6,2,2,2
101學年,屏東縣,62,19,21,22,25,7,9,9,-,-,-,-,-,-,-,-,37,12,12,13
101學年,臺東縣,21,6,8,7,20,6,7,7,-,-,-,-,1,-,1,-,-,-,-,-
101學年,花蓮縣,41,12,12,17,28,9,9,10,-,-,-,-,-,-,-,-,13,3,3,7
101學年,澎湖縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,基隆市,36,10,12,14,26,8,9,9,-,-,-,-,-,-,-,-,10,2,3,5
101學年,新竹市,72,23,23,26,15,5,5,5,-,-,-,-,4,1,1,2,53,17,17,19
101學年,嘉義市,47,16,15,16,34,12,11,11,-,-,-,-,-,-,-,-,13,4,4,5
101學年,金門縣,2,1,1,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
101學年,連江縣,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100學年,總計,2515,835,833,847,889,295,293,301,156,49,56,51,9,3,3,3,1461,488,481,492
100學年,新北市,348,118,113,117,75,26,24,25,49,16,17,16,-,-,-,-,224,76,72,76
100學年,臺北市,284,91,96,97,14,4,5,5,26,8,10,8,-,-,-,-,244,79,81,84
100學年,臺中市,379,121,127,131,144,46,48,50,2,1,1,-,-,-,-,-,233,74,78,81
100學年,臺南市,179,58,60,61,106,34,34,38,-,-,-,-,-,-,-,-,73,24,26,23
100學年,高雄市,228,79,76,73,33,11,11,11,79,24,28,27,-,-,-,-,116,44,37,35
