學年別,學校級別,總計計小計,總計計男,總計計女,總計國立小計,總計國立男,總計國立女,總計直轄市立小計,總計直轄市立男,總計直轄市立女,總計私立小計,總計私立男,總計私立女,教授計小計,教授計男,教授計女,教授國立小計,教授國立男,教授國立女,教授直轄市立小計,教授直轄市立男,教授直轄市立女,教授私立小計,教授私立男,教授私立女,副教授計小計,副教授計男,副教授計女,副教授國立小計,副教授國立男,副教授國立女,副教授直轄市立小計,副教授直轄市立男,副教授直轄市立女,副教授私立小計,副教授私立男,副教授私立女,助理教授計小計,助理教授計男,助理教授計女,助理教授國立小計,助理教授國立男,助理教授國立女,助理教授直轄市立小計,助理教授直轄市立男,助理教授直轄市立女,助理教授私立小計,助理教授私立男,助理教授私立女,講師計小計,講師計男,講師計女,講師國立小計,講師國立男,講師國立女,講師直轄市立小計,講師直轄市立男,講師直轄市立女,講師私立小計,講師私立男,講師私立女,其他計小計,其他計男,其他計女,其他國立小計,其他國立男,其他國立女,其他直轄市立小計,其他直轄市立男,其他直轄市立女,其他私立小計,其他私立男,其他私立女
100學年,大學,995,789,206,404,324,80,2,2,-,589,463,126,158,138,20,99,88,11,-,-,-,59,50,9,175,145,30,73,56,17,-,-,-,102,89,13,370,287,83,152,128,24,-,-,-,218,159,59,253,185,68,63,37,26,2,2,-,188,146,42,39,34,5,17,15,2,-,-,-,22,19,3
99學年,總計,1071,846,225,377,307,70,2,2,-,692,537,155,155,140,15,91,83,8,-,-,-,64,57,7,190,153,37,72,57,15,-,-,-,118,96,22,394,302,92,137,111,26,-,-,-,257,191,66,303,224,79,59,39,20,2,2,-,242,183,59,29,27,2,18,17,1,-,-,-,11,10,1
99學年,專科學校,4,2,2,-,-,-,-,-,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,1,1,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
99學年,獨立學院,77,58,19,10,8,2,-,-,-,67,50,17,1,1,-,-,-,-,-,-,-,1,1,-,8,6,2,1,1,-,-,-,-,7,5,2,31,22,9,6,4,2,-,-,-,25,18,7,36,28,8,3,3,-,-,-,-,33,25,8,1,1,-,-,-,-,-,-,-,1,1,-
99學年,大學,990,786,204,367,299,68,2,2,-,621,485,136,154,139,15,91,83,8,-,-,-,63,56,7,182,147,35,71,56,15,-,-,-,111,91,20,361,279,82,131,107,24,-,-,-,230,172,58,265,195,70,56,36,20,2,2,-,207,157,50,28,26,2,18,17,1,-,-,-,10,9,1
98學年,總計,1059,833,226,363,293,70,3,3,-,693,537,156,148,135,13,80,73,7,-,-,-,68,62,6,186,147,39,67,53,14,-,-,-,119,94,25,393,296,97,135,107,28,1,1,-,257,188,69,295,220,75,58,38,20,2,2,-,235,180,55,37,35,2,23,22,1,-,-,-,14,13,1
98學年,專科學校,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98學年,獨立學院,98,74,24,18,13,5,1,1,-,79,60,19,1,1,-,-,-,-,-,-,-,1,1,-,7,5,2,1,1,-,-,-,-,6,4,2,39,30,9,7,4,3,1,1,-,31,25,6,49,36,13,8,6,2,-,-,-,41,30,11,2,2,-,2,2,-,-,-,-,-,-,-
98學年,大學,959,758,201,345,280,65,2,2,-,612,476,136,147,134,13,80,73,7,-,-,-,67,61,6,179,142,37,66,52,14,-,-,-,113,90,23,352,265,87,128,103,25,-,-,-,224,162,62,246,184,62,50,32,18,2,2,-,194,150,44,35,33,2,21,20,1,-,-,-,14,13,1
97學年,總計,1055,834,221,338,273,65,3,3,-,714,558,156,156,143,13,74,69,5,-,-,-,82,74,8,190,146,44,66,51,15,-,-,-,124,95,29,366,287,79,119,97,22,1,1,-,246,189,57,311,229,82,58,37,21,2,2,-,251,190,61,32,29,3,21,19,2,-,-,-,11,10,1
97學年,專科學校,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97學年,獨立學院,109,82,27,16,11,5,1,1,-,92,70,22,2,2,-,-,-,-,-,-,-,2,2,-,9,7,2,1,1,-,-,-,-,8,6,2,43,33,10,6,3,3,1,1,-,36,29,7,55,40,15,9,7,2,-,-,-,46,33,13,-,-,-,-,-,-,-,-,-,-,-,-
97學年,大學,943,750,193,322,262,60,2,2,-,619,486,133,154,141,13,74,69,5,-,-,-,80,72,8,181,139,42,65,50,15,-,-,-,116,89,27,320,252,68,113,94,19,-,-,-,207,158,49,256,189,67,49,30,19,2,2,-,205,157,48,32,29,3,21,19,2,-,-,-,11,10,1
""
